N,t_pkt_s,offered_kbps,S_sat_kbps,rho,p_col,pdr_a,tput_a_kbps,delay_ms_a
10,1.0,10.24,45.59,0.2246,0.5,0.9961,10.2,31.6
10,2.0,5.12,45.59,0.1123,0.5,0.9961,5.1,27.6
10,5.0,2.048,45.59,0.0449,0.5,0.9961,2.04,25.6
10,10.0,1.024,45.59,0.0225,0.5,0.9961,1.02,25.0
10,20.0,0.512,45.59,0.0112,0.5,0.9961,0.51,24.8
25,1.0,25.6,59.1,0.4332,0.5175,0.9949,25.468,44.5
25,2.0,12.8,59.1,0.2166,0.5175,0.9949,12.734,32.2
25,5.0,5.12,59.1,0.0866,0.5175,0.9949,5.094,27.6
25,10.0,2.56,59.1,0.0433,0.5175,0.9949,2.547,26.4
25,20.0,1.28,59.1,0.0217,0.5175,0.9949,1.273,25.8
50,1.0,51.2,53.51,0.9569,0.6029,0.9825,50.306,99999.0
50,2.0,25.6,53.51,0.4784,0.6029,0.9825,25.153,55.8
50,5.0,10.24,53.51,0.1914,0.6029,0.9825,10.061,36.0
50,10.0,5.12,53.51,0.0957,0.6029,0.9825,5.031,32.2
50,20.0,2.56,53.51,0.0478,0.6029,0.9825,2.515,30.6
100,1.0,102.4,47.25,2.1672,0.6854,0.4614,47.25,99999.0
100,2.0,51.2,47.25,1.0836,0.6854,0.9229,47.25,99999.0
100,5.0,20.48,47.25,0.4334,0.6854,0.9513,19.483,57.6
100,10.0,10.24,47.25,0.2167,0.6854,0.9513,9.741,41.6
100,20.0,5.12,47.25,0.1084,0.6854,0.9513,4.871,36.6
200,1.0,204.8,39.96,5.1253,0.7666,0.1951,39.959,99999.0
200,2.0,102.4,39.96,2.5626,0.7666,0.3902,39.959,99999.0
200,5.0,40.96,39.96,1.0251,0.7666,0.8807,36.075,99999.0
200,10.0,20.48,39.96,0.5125,0.7666,0.8807,18.038,70.6
200,20.0,10.24,39.96,0.2563,0.7666,0.8807,9.019,46.2
