N,t_pkt_s,pdr,avg_delay_ms,p95_delay_ms,retry_rate,tput_sim_kbps
10,1.0,0.9997,11.6433,17.2833,0.0301,1.0237
10,2.0,1.0,11.6467,17.32,0.0303,0.512
10,5.0,1.0,11.6467,17.3533,0.0303,0.205
10,10.0,1.0,11.68,17.3533,0.0303,0.102
10,20.0,1.0,11.6533,17.13,0.0303,0.051
25,1.0,0.9998,12.14,17.59,0.0508,1.024
25,2.0,1.0,12.0367,16.6333,0.0458,0.512
25,5.0,1.0,12.0367,16.5967,0.0451,0.205
25,10.0,1.0,12.0433,16.6167,0.0395,0.102
25,20.0,1.0,12.0367,16.4933,0.0466,0.051
50,1.0,0.8806,320.9933,1566.4767,0.2407,0.9017
50,2.0,1.0,12.9667,20.5,0.0787,0.512
50,5.0,1.0,12.7467,19.4767,0.0668,0.205
50,10.0,1.0,12.8733,19.77,0.0723,0.102
50,20.0,1.0,12.69,19.4767,0.0615,0.051
100,1.0,0.1191,4159.0033,5043.0233,0.8827,0.122
100,2.0,0.226,3481.58,4951.2233,0.8894,0.1157
100,5.0,0.5888,1886.2,4632.1467,0.8822,0.1203
100,10.0,1.0,310.9367,817.17,0.8623,0.102
100,20.0,1.0,305.54,811.5767,0.8626,0.051
200,1.0,0.056,4106.02,5171.1633,0.8997,0.057
200,2.0,0.1061,3636.5467,5060.9,0.9062,0.054
200,5.0,0.2496,2547.62,4872.6333,0.9124,0.051
200,10.0,0.4806,1259.0767,4406.3167,0.9128,0.0493
200,20.0,1.0,890.11,2064.4033,0.8927,0.051
