mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
tabular,100,1,0,1.0,25,0.05,2,241
tabular,100,2,100,0.9108333333333334,39,0.05,3,241
tabular,100,3,200,1.0,49,0.05,4,241
tabular,100,4,300,0.9995833333333334,50,0.05,5,241
tabular,100,5,400,0.9641666666666666,55,0.05,6,241
tabular,100,6,13,0.9995833333333334,55,0.05,7,241
tabular,100,7,77,1.0,56,0.05,8,241
tabular,100,8,31,0.9883333333333333,58,0.05,9,241
tabular,100,9,55,0.9870833333333333,60,0.05,10,241
tabular,100,10,88,1.0,60,0.05,11,241
tabular,100,11,21,0.9079166666666667,70,0.05,12,241
tabular,100,12,34,0.9820833333333333,71,0.05,13,241
tabular,100,13,89,0.98875,73,0.05,14,241
tabular,100,14,144,0.9004166666666666,84,0.05,15,241
tabular,100,15,233,0.9708333333333333,84,0.05,16,241
tabular,100,16,377,0.9483333333333334,90,0.05,17,241
tabular,100,17,610,0.9554166666666667,92,0.05,18,241
tabular,100,18,987,0.8104166666666667,101,0.05,19,241
tabular,100,19,1597,0.9629166666666666,108,0.05,20,241
tabular,100,20,2584,0.9195833333333333,110,0.05,21,241
tabular,200,1,0,0.525625,36,0.05,2,241
tabular,200,2,100,0.903125,45,0.05,3,241
tabular,200,3,200,0.5741666666666667,46,0.05,4,241
tabular,200,4,300,0.8710416666666667,47,0.05,5,241
tabular,200,5,400,0.8620833333333333,48,0.05,6,241
tabular,200,6,13,0.9208333333333333,48,0.05,7,241
tabular,200,7,77,0.9108333333333334,48,0.05,8,241
tabular,200,8,31,0.7775,49,0.05,9,241
tabular,200,9,55,0.903125,51,0.05,10,241
tabular,200,10,88,0.881875,53,0.05,11,241
tabular,200,11,21,0.88,53,0.05,12,241
tabular,200,12,34,0.815,53,0.05,13,241
tabular,200,13,89,0.8964583333333334,53,0.05,14,241
tabular,200,14,144,0.9004166666666666,54,0.05,15,241
tabular,200,15,233,0.9035416666666667,54,0.05,16,241
tabular,400,1,0,0.4671875,20,0.05,2,241
tabular,400,2,100,0.5191666666666667,22,0.05,3,241
tabular,400,3,200,0.5192708333333333,23,0.05,4,241
tabular,400,4,300,0.5183333333333333,24,0.05,5,241
tabular,600,1,0,0.25979166666666664,26,0.05,2,241
tabular,600,2,100,0.24,37,0.05,3,241
tabular,600,3,200,0.33368055555555554,39,0.05,4,241
tabular,600,4,300,0.3040277777777778,41,0.05,5,241
tabular,600,5,400,0.30756944444444445,43,0.05,6,241
tabular,600,6,13,0.3354861111111111,43,0.05,7,241
tabular,600,7,77,0.33618055555555554,44,0.05,8,241
tabular,600,8,31,0.3186805555555556,44,0.05,9,241
tabular,600,9,55,0.333125,45,0.05,10,241
tabular,600,10,88,0.3308333333333333,45,0.05,11,241
