policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
chang2019,100,42,1.0,20.48,750.901906,1578.36241,0.0,1.0,0.20904,0.20904,0.997784,422.508607,53.821143,207.393366,58.166862,17604.525282
chang2019,100,7,1.0,20.48,748.33344,1608.833893,0.0,1.0,0.201824,0.201824,0.998718,420.444504,53.859948,205.911362,58.452423,17518.521009
chang2019,100,99,1.0,20.48,740.292216,1609.525638,0.0,1.0,0.202506,0.202506,0.995533,419.539039,53.883911,204.950065,58.578577,17480.793288
chang2019,200,42,0.433333,17.749333,2240.227418,5277.567145,0.566667,0.766223,0.691619,0.685763,1.0,645.484328,48.419612,422.163556,16.498619,62065.800812
chang2019,200,7,0.422083,17.288533,2254.157095,5171.196662,0.577917,0.788875,0.708183,0.700315,1.0,647.265317,48.411438,422.315549,16.026071,63895.885153
chang2019,200,99,0.447917,18.346667,2183.324789,5193.467875,0.552083,0.775275,0.690746,0.683148,1.0,645.737282,48.435566,421.413408,17.04718,60068.584365
chang2019,400,42,0.185729,15.214933,2572.583765,5188.082557,0.814271,0.691046,0.763192,0.737375,1.0,964.692832,39.615197,777.472654,4.731537,216420.152906
chang2019,400,7,0.187292,15.342933,2532.189591,5172.885442,0.812708,0.681796,0.760202,0.736048,1.0,955.860806,39.841795,768.407312,4.815429,212649.789937
chang2019,400,99,0.189792,15.547733,2484.430344,5133.604295,0.810208,0.703179,0.755131,0.733211,1.0,913.004229,40.939104,724.519922,5.108761,200440.006355
chang2019,600,42,0.118125,14.5152,2933.495129,6041.658793,0.881875,0.654764,0.733509,0.710092,1.0,985.902394,38.723017,814.88221,2.944551,347760.985362
chang2019,600,7,0.117014,14.378667,2994.162122,6413.155541,0.882986,0.627675,0.734223,0.711237,1.0,968.510562,39.169454,797.022045,2.969233,344870.229875
chang2019,600,99,0.118472,14.557867,3007.206604,6406.640469,0.881528,0.670923,0.73302,0.708045,1.0,974.040683,39.027373,802.706885,2.98917,342569.994095
chang2019,800,42,0.082552,13.525333,3598.820339,7931.819819,0.917448,0.723972,0.709955,0.686614,1.0,1061.557636,36.607678,900.36352,1.911154,535801.961383
chang2019,800,7,0.08349,13.678933,3547.267741,7581.303135,0.91651,0.706713,0.708222,0.685356,1.0,1060.150628,36.643818,898.91734,1.935423,529083.282891
chang2019,800,99,0.083125,13.6192,3547.609457,7460.671463,0.916875,0.713839,0.708519,0.685947,1.0,1065.296259,36.511623,904.206449,1.917664,533983.087144
chang2019,1000,42,0.065583,13.431467,4040.302575,8849.208746,0.934417,0.739545,0.672434,0.65618,1.0,1163.581671,33.884457,1009.819539,1.385185,739251.379076
chang2019,1000,7,0.065125,13.3376,4044.350832,8641.051065,0.934875,0.758922,0.674704,0.657032,1.0,1157.717724,34.034947,1003.799752,1.382472,740702.318818
chang2019,1000,99,0.065167,13.346133,3884.225915,8495.320972,0.934833,0.764405,0.673872,0.657267,1.0,1169.350481,33.737045,1015.713605,1.369595,747666.547956
