[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=static seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_csv seed=42 ...
  -> pdr=0.9833 tput=20.14kbps delay=690ms assoc_frac=1.000 ee=52.51kbit/J elapsed=2.5s
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=laca seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=100 interval=5.0 policy=etaroa seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=static seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_csv seed=42 ...
  -> pdr=0.7294 tput=29.88kbps delay=2043ms assoc_frac=1.000 ee=29.39kbit/J elapsed=7.4s
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=laca seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=200 interval=5.0 policy=etaroa seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=400 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=400 interval=5.0 policy=static seed=42 -- cached, skipping
[etaroa_vs_n_seeds.csv] N=400 interval=5.0 policy=adaptive seed=42 -- cached, skipping
