policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,300,5.0,1,0.105694,0.105694,0.105694,6.493867,6.493867,6.493867,2474.9003,2474.9003,2474.9003,4818.913995,4818.913995,4818.913995,0.894306,0.894306,0.894306,0.990441,0.990441,0.990441,0.966728,0.966728,0.966728,0.858393,0.858393,0.858393,1.0,1.0,1.0,3155.992876,3155.992876,3155.992876,32962.630667,32962.630667,32962.630667,2002.145105,2002.145105,2002.145105,368.055733,368.055733,368.055733,785.792038,785.792038,785.792038,0.233333,0.233333,0.233333,2526.826677,2526.826677,2526.826677,65.31208,65.31208,65.31208,101.519825,101.519825,101.519825,2359.994772,2359.994772,2359.994772,0.0,0.0,0.0,53.613312,53.613312,53.613312,2.121765,2.121765,2.121765,57.813333,57.813333,57.813333,1.027988,1.027988,1.027988,996120.897486,996120.897486,996120.897486
static,300,5.0,1,0.398056,0.398056,0.398056,24.456533,24.456533,24.456533,3062.780253,3062.780253,3062.780253,7894.08423,7894.08423,7894.08423,0.601944,0.601944,0.601944,0.681057,0.681057,0.681057,0.49455,0.49455,0.49455,0.494338,0.494338,0.494338,1.0,1.0,1.0,11223.354138,11223.354138,11223.354138,21408.192,21408.192,21408.192,7752.788342,7752.788342,7752.788342,1691.910778,1691.910778,1691.910778,1778.655018,1778.655018,1778.655018,1.0,1.0,1.0,560.675742,560.675742,560.675742,41.297888,41.297888,41.297888,102.893888,102.893888,102.893888,366.593304,366.593304,366.593304,49.890662,49.890662,49.890662,17.62856,17.62856,17.62856,3.144163,3.144163,3.144163,11.943333,11.943333,11.943333,17.447898,17.447898,17.447898,58689.016964,58689.016964,58689.016964
adaptive,300,5.0,1,0.57125,0.57125,0.57125,35.0976,35.0976,35.0976,2549.445145,2549.445145,2549.445145,6309.431038,6309.431038,6309.431038,0.42875,0.42875,0.42875,0.876548,0.876548,0.876548,0.487736,0.487736,0.487736,0.487402,0.487402,0.487402,1.0,1.0,1.0,18287.37504,18287.37504,18287.37504,34281.572,34281.572,34281.572,7751.568778,7751.568778,7751.568778,4672.79084,4672.79084,4672.79084,5857.640422,5857.640422,5857.640422,1.0,1.0,1.0,717.327673,717.327673,717.327673,54.75864,54.75864,54.75864,103.340272,103.340272,103.340272,513.040265,513.040265,513.040265,46.188497,46.188497,46.188497,21.105664,21.105664,21.105664,2.942263,2.942263,2.942263,14.053333,14.053333,14.053333,19.571307,19.571307,19.571307,52321.493324,52321.493324,52321.493324
cluster_csv,300,5.0,1,0.571111,0.571111,0.571111,35.089067,35.089067,35.089067,2433.788708,2433.788708,2433.788708,6400.641804,6400.641804,6400.641804,0.428889,0.428889,0.428889,0.842983,0.842983,0.842983,0.463764,0.463764,0.463764,0.463322,0.463322,0.463322,1.0,1.0,1.0,16345.751151,16345.751151,16345.751151,27997.572,27997.572,27997.572,7753.068369,7753.068369,7753.068369,4130.268133,4130.268133,4130.268133,4453.559853,4453.559853,4453.559853,1.0,1.0,1.0,681.975594,681.975594,681.975594,51.88304,51.88304,51.88304,103.25281,103.25281,103.25281,479.811843,479.811843,479.811843,47.0279,47.0279,47.0279,19.796816,19.796816,19.796816,2.902863,2.902863,2.902863,13.13,13.13,13.13,20.580834,20.580834,20.580834,49755.028752,49755.028752,49755.028752
cluster_adaptive,300,5.0,1,0.608889,0.608889,0.608889,37.410133,37.410133,37.410133,2335.948962,2335.948962,2335.948962,5612.088522,5612.088522,5612.088522,0.391111,0.391111,0.391111,0.89699,0.89699,0.89699,0.468454,0.468454,0.468454,0.468119,0.468119,0.468119,1.0,1.0,1.0,14695.247431,14695.247431,14695.247431,27165.869333,27165.869333,27165.869333,7752.816773,7752.816773,7752.816773,3362.430013,3362.430013,3362.430013,3573.936049,3573.936049,3573.936049,1.0,1.0,1.0,650.722607,650.722607,650.722607,55.801504,55.801504,55.801504,103.306874,103.306874,103.306874,443.694721,443.694721,443.694721,47.919508,47.919508,47.919508,21.364448,21.364448,21.364448,3.283188,3.283188,3.283188,14.006667,14.006667,14.006667,22.996056,22.996056,22.996056,44529.375482,44529.375482,44529.375482
laca,300,5.0,1,0.523611,0.523611,0.523611,32.170667,32.170667,32.170667,2902.373769,2902.373769,2902.373769,7383.183602,7383.183602,7383.183602,0.476389,0.476389,0.476389,0.862548,0.862548,0.862548,0.46826,0.46826,0.46826,0.467614,0.467614,0.467614,0.990299,0.990299,0.990299,16372.987298,16372.987298,16372.987298,27963.913333,27963.913333,27963.913333,7749.782662,7749.782662,7749.782662,4089.568573,4089.568573,4089.568573,4519.873342,4519.873342,4519.873342,1.0,1.0,1.0,690.090865,690.090865,690.090865,48.474816,48.474816,48.474816,103.203177,103.203177,103.203177,491.671597,491.671597,491.671597,46.741274,46.741274,46.741274,17.129728,17.129728,17.129728,2.482242,2.482242,2.482242,11.786667,11.786667,11.786667,18.647206,18.647206,18.647206,54914.392437,54914.392437,54914.392437
chang2019,300,5.0,1,0.239583,0.239583,0.239583,14.72,14.72,14.72,2098.59036,2098.59036,2098.59036,4876.046975,4876.046975,4876.046975,0.760417,0.760417,0.760417,0.740813,0.740813,0.740813,0.711356,0.711356,0.711356,0.697027,0.697027,0.697027,1.0,1.0,1.0,23844.270902,23844.270902,23844.270902,37669.990667,37669.990667,37669.990667,7751.567809,7751.567809,7751.567809,8850.076942,8850.076942,8850.076942,7225.031924,7225.031924,7225.031924,1.0,1.0,1.0,1163.964522,1163.964522,1163.964522,55.86352,55.86352,55.86352,102.672871,102.672871,102.672871,970.678272,970.678272,970.678272,34.74986,34.74986,34.74986,37.691552,37.691552,37.691552,3.238205,3.238205,3.238205,23.353333,23.353333,23.353333,5.058573,5.058573,5.058573,202428.612592,202428.612592,202428.612592
etaroa,300,5.0,1,0.574861,0.574861,0.574861,35.319467,35.319467,35.319467,2541.103654,2541.103654,2541.103654,6303.945294,6303.945294,6303.945294,0.425139,0.425139,0.425139,0.884421,0.884421,0.884421,0.490048,0.490048,0.490048,0.489628,0.489628,0.489628,1.0,1.0,1.0,17419.13988,17419.13988,17419.13988,32989.408,32989.408,32989.408,7751.660693,7751.660693,7751.660693,4303.820249,4303.820249,4303.820249,5353.682244,5353.682244,5353.682244,1.0,1.0,1.0,703.250952,703.250952,703.250952,55.154784,55.154784,55.154784,103.286682,103.286682,103.286682,498.25195,498.25195,498.25195,46.557536,46.557536,46.557536,21.196016,21.196016,21.196016,3.014005,3.014005,3.014005,13.923333,13.923333,13.923333,20.089254,20.089254,20.089254,50972.526121,50972.526121,50972.526121
no_raw,300,3.0,1,0.10775,0.10775,0.10775,11.0336,11.0336,11.0336,1203.457986,1203.457986,1203.457986,4372.18346,4372.18346,4372.18346,0.89225,0.89225,0.89225,0.967421,0.967421,0.967421,0.884764,0.884764,0.884764,0.803744,0.803744,0.803744,1.0,1.0,1.0,16043.915733,16043.915733,16043.915733,74515.265333,74515.265333,74515.265333,1500.163147,1500.163147,1500.163147,322.245413,322.245413,322.245413,14221.507173,14221.507173,14221.507173,0.166667,0.166667,0.166667,2525.534161,2525.534161,2525.534161,63.429264,63.429264,63.429264,102.082399,102.082399,102.082399,2360.022498,2360.022498,2360.022498,0.0,0.0,0.0,50.64888,50.64888,50.64888,2.005472,2.005472,2.005472,48.63,48.63,48.63,1.747527,1.747527,1.747527,585970.803032,585970.803032,585970.803032
static,300,3.0,1,0.25225,0.25225,0.25225,25.8304,25.8304,25.8304,3890.294541,3890.294541,3890.294541,8861.600517,8861.600517,8861.600517,0.74775,0.74775,0.74775,0.607437,0.607437,0.607437,0.499133,0.499133,0.499133,0.498725,0.498725,0.498725,1.0,1.0,1.0,11501.614716,11501.614716,11501.614716,21446.713333,21446.713333,21446.713333,7753.077729,7753.077729,7753.077729,1825.6194,1825.6194,1825.6194,1919.855364,1919.855364,1919.855364,1.0,1.0,1.0,571.450234,571.450234,571.450234,43.270512,43.270512,43.270512,102.927275,102.927275,102.927275,375.592515,375.592515,375.592515,49.659933,49.659933,49.659933,17.68528,17.68528,17.68528,3.094807,3.094807,3.094807,12.02,12.02,12.02,18.080595,18.080595,18.080595,56635.305685,56635.305685,56635.305685
