policy,num_stas,packet_interval,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,elapsed_s
no_raw,500,5.0,42,0.042416666666666665,4.343466666666666,2447.765439656295,4902.3111418486305,0.9575833333333333,0.9901436979286097,0.9797886674703922,0.8622083540174456,1.0,2679.033311111307,4798.6880000002975,1742.4979777778672,428.5308666667621,508.00446666667784,0.12,2502.9410639999733,38.56219199999994,101.36049333331334,2363.018378666679,0.0,31.854643200000048,1.272688504662305,46.688,0.41648283892633087,2458684.7387033137,401.25
static,500,5.0,42,0.26758333333333334,27.400533333333332,3696.853141053653,9135.254406800741,0.7324166666666667,0.728581493127937,0.5282249091313701,0.5277056598175209,1.0,24041.408194665943,52289.15599999094,12748.033045333774,4799.4966746662285,6489.698719999277,1.0,755.117850790622,32.490710400000005,102.72011199997976,575.2058137066422,44.70121468400076,14.52416640000002,1.9234304135166391,10.244,8.708743930652249,117582.9727173189,28.4
adaptive,500,5.0,42,0.27708333333333335,28.37333333333333,3374.4527629613794,8389.384113708915,0.7229166666666667,0.7197906832904717,0.5209153184666958,0.519967934703396,1.0,34455.28542933041,61539.34799999645,12748.276688000256,10073.370501331165,11608.908191998988,1.0,951.8058591185907,32.407017599999975,102.8044419199797,776.9369099199421,39.65748967866826,13.9990752,1.4707910301123477,10.086,7.154400169700526,143128.70061933695,18.63
laca,500,5.0,42,0.2534166666666667,25.949866666666665,4153.838676374067,10428.124962957505,0.7465833333333334,0.726818957047982,0.507708038382885,0.5072361176655655,0.9815942430113479,29906.182181330383,48495.59733332927,12749.270608000254,8153.902853331551,8995.181469331912,1.0,867.4784660092566,29.27857920000001,102.7155785599797,693.7374246932748,41.74688355600163,12.349555200000003,1.4236151886066788,9.16,7.179392047218315,142630.46136291625,17.7
chang2019,500,5.0,42,0.13283333333333333,13.602133333333333,2796.6314089751395,7379.714136964157,0.8671666666666666,0.6300114059013141,0.6663850161949021,0.6544148711449091,1.0,45068.33890132801,65470.62266666316,12749.289989333582,18413.977706663092,13868.57761333134,1.0,1467.2451394118825,33.658415999999995,102.53380447997957,1304.5880000532336,26.464918878669323,22.477209599999995,1.5319328036083706,15.008,2.224926096063619,460240.0060890472,53.67
etaroa,500,5.0,42,0.273,27.9552,3267.5341400588004,8212.540490936904,0.727,0.7115883835035142,0.5254077564334904,0.5248278361725263,1.0,34738.8704586602,61482.91866665988,12749.10298133359,10207.82319999841,11768.063847994865,1.0,957.0602076625396,32.5333344,102.80511978664643,782.1960998932242,39.52565358266957,14.228764800000004,1.4867157453710667,10.25,7.010267427569914,146071.46026595536,19.19
no_raw,500,3.0,42,0.02115,3.6096,2916.521905598735,4910.23213878969,0.97885,0.9783207759685938,0.9864027650971697,0.8635385418025303,1.0,3696.2287017532362,73491.04933328668,1194.2543508772037,301.29270175439706,2200.681649121635,0.076,2502.821643306638,38.46138239999998,101.3164849066467,2363.0437760000104,0.0,31.9705536,1.2773804192360128,51.244,0.34613093678360163,2958418.018092953,391.52
static,500,3.0,42,0.16615,28.356266666666667,4528.128390712109,10052.533207350907,0.83385,0.6432487111525355,0.5235416049748297,0.5228753331359195,1.0,25036.241898665714,52992.81999999842,12747.481880000381,5237.18236266562,7042.6722453330485,1.0,774.298505998621,32.45903040000002,102.73883103997983,594.8916384533077,44.209006105334076,14.497929600000008,1.8723953988910098,10.254,8.789251105712609,116505.9443272075,31.78
adaptive,500,3.0,42,0.16845,28.7488,4224.42175799077,9614.66712700578,0.83155,0.6889114746138205,0.5212408759124088,0.5202189781021898,1.0,35542.42487199665,61501.570666659456,12748.040224000384,10410.828738662323,12372.352408000615,1.0,972.2658979519092,32.376758399999986,102.80867775997974,797.9482045865946,39.132257205335314,14.027500800000002,1.4427638395575857,10.068,7.096527826939456,144295.91836626732,19.77
laca,500,3.0,42,0.1554,26.5216,5025.637448928676,11876.499262448939,0.8446,0.6735228001673407,0.5020048745970596,0.5012186492648794,0.9836293007769146,31013.76425866335,49011.85333332763,12749.111730666968,8647.724415998802,9598.855349330912,1.0,888.5283566025774,29.263699200000005,102.73029322664628,715.3273049599298,41.20705921600194,12.457439999999997,1.4020306619850493,9.212,7.163737603533829,142942.14231058196,19.4
chang2019,500,3.0,42,0.086,14.677333333333333,3126.655491274136,8109.014869468129,0.914,0.4960429242119383,0.6567612921269752,0.6435463571528458,1.0,47746.21257331887,69985.4413333301,12748.109256000329,20236.342370660677,14683.601293324537,1.0,1496.9070076943792,33.55014719999996,102.58021354664622,1335.0739503463926,25.702696601340328,21.958319999999983,1.4669127666000727,14.79,2.353225672599159,435147.3859576684,54.31
etaroa,500,3.0,42,0.17055,29.107200000000002,4064.8385542223104,8932.631680912487,0.82945,0.6402840161791817,0.5189228529839883,0.5185589519650655,1.0,35525.60017333046,62011.09066666438,12749.125050666906,10571.063546664762,12201.14361066546,1.0,972.2904470666024,32.55133439999998,102.8083867733132,797.7951242666213,39.13560162666795,13.928121599999999,1.4325062682679959,10.036,7.184816040387852,142522.78614286167,20.28
no_raw,500,2.0,42,0.0152,3.8912,3170.1417110896027,4945.666599315213,0.9848,0.9852545392517342,0.9851246804130558,0.8623368861440383,1.0,3499.5085591399024,21075.81466666666,1010.708559139798,261.6245591397634,2227.175440860341,0.062,2502.8514831999732,38.49382079999994,101.31796959998002,2363.0396928000023,0.0,31.960732799999963,1.276972805399431,50.33,0.37312961087327295,2744354.6964911986,326.42
static,500,2.0,42,0.11163333333333333,28.578133333333334,5413.94982849195,10272.542734562316,0.8883666666666666,0.6369899758625586,0.5215787532275913,0.5206196975285873,1.0,25346.33144533183,54595.14133332801,12747.010845333807,5289.788855999711,7302.110978664979,1.0,779.898152254609,32.392185600000026,102.75731861331313,600.6844250132946,44.064223028001116,14.7928128,1.8967621294184924,10.452,8.794420117770533,116437.46674449224,29.01
adaptive,500,2.0,42,0.11476666666666667,29.380266666666667,5109.870065262621,10282.05333124124,0.8852333333333333,0.6433959673261147,0.5141209954024666,0.5130993213165,1.0,35150.680765330275,58001.286666663764,12749.075778666916,10501.631461331748,11888.414087998282,1.0,963.5295863812547,32.21879999999998,102.82509205331317,789.1327442132736,39.35295011466832,14.13271680000001,1.4667652140375373,10.18,7.318160334320981,139925.87661650518,21.08
laca,500,2.0,42,0.10706666666666667,27.409066666666664,5854.358766209069,12359.50170787959,0.8929333333333334,0.6792825915196208,0.4961038961038961,0.49523809523809526,0.9801664355062414,31023.4224479951,48997.43733332495,12748.156946667139,8665.591421332114,9597.316826662516,1.0,888.7998909985555,29.25263999999999,102.73560042664634,715.6117136532406,41.19993691866915,12.677270399999994,1.4263357284795837,9.334,7.401189026485481,138356.14741571536,19.89
chang2019,500,2.0,42,0.0607,15.539200000000001,3657.338898069644,8218.96744229177,0.9393,0.40382889849601167,0.6549748956933739,0.6417509369917261,1.0,46952.879967992514,67977.45466666544,12747.087901333618,19877.428391992817,14273.683143999402,1.0,1478.4552621091693,33.70954559999997,102.54469663997955,1316.022185493186,26.178834376003838,21.66911999999999,1.4656594998408508,14.48,2.5225031122548907,405945.98080976645,1458.79
etaroa,500,2.0,42,0.11503333333333333,29.448533333333334,4958.859052225442,9710.51485255259,0.8849666666666667,0.6265962170836293,0.5131922296317774,0.5122499275152218,1.0,35895.80426133005,59494.31733333179,12748.872264000374,11153.22196799795,11972.98922666506,1.0,978.0357322159147,32.36034239999994,102.83178805331322,803.8592617599335,38.984340002668475,14.092406399999993,1.4408887053718507,10.226,7.226369924120237,141703.23561517164,19.97
