policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,100,5.0,1,0.615833,0.615833,0.615833,12.612267,12.612267,12.612267,1874.016786,1874.016786,1874.016786,4673.037518,4673.037518,4673.037518,0.384167,0.384167,0.384167,0.980381,0.980381,0.980381,0.862987,0.862987,0.862987,0.824106,0.824106,0.824106,1.0,1.0,1.0,6999.02708,6999.02708,6999.02708,14959.036,14959.036,14959.036,2759.112667,2759.112667,2759.112667,1768.626987,1768.626987,1768.626987,2471.287427,2471.287427,2471.287427,1.0,1.0,1.0,2645.724129,2645.724129,2645.724129,197.99328,197.99328,197.99328,102.934913,102.934913,102.934913,2344.795936,2344.795936,2344.795936,0.0,0.0,0.0,155.760192,155.760192,155.760192,5.887242,5.887242,5.887242,88.44,88.44,88.44,5.720445,5.720445,5.720445,179007.045268,179007.045268,179007.045268
static,100,5.0,1,0.48125,0.48125,0.48125,9.856,9.856,9.856,3347.626328,3347.626328,3347.626328,8480.213057,8480.213057,8480.213057,0.51875,0.51875,0.51875,0.772765,0.772765,0.772765,0.492317,0.492317,0.492317,0.492027,0.492027,0.492027,1.0,1.0,1.0,3375.423293,3375.423293,3375.423293,5801.04,5801.04,5801.04,2757.5616,2757.5616,2757.5616,278.514653,278.514653,278.514653,339.34704,339.34704,339.34704,1.0,1.0,1.0,472.108326,472.108326,472.108326,48.086304,48.086304,48.086304,102.95105,102.95105,102.95105,268.753637,268.753637,268.753637,52.317336,52.317336,52.317336,18.903792,18.903792,18.903792,4.004122,4.004122,4.004122,12.35,12.35,12.35,25.051878,25.051878,25.051878,40875.179719,40875.179719,40875.179719
adaptive,100,5.0,1,0.983333,0.983333,0.983333,20.138667,20.138667,20.138667,661.884037,661.884037,661.884037,1595.849572,1595.849572,1595.849572,0.016667,0.016667,0.016667,0.999569,0.999569,0.999569,0.272401,0.272401,0.272401,0.272401,0.272401,0.272401,1.0,1.0,1.0,4456.383613,4456.383613,4456.383613,7719.613333,7719.613333,7719.613333,2758.2468,2758.2468,2758.2468,765.11316,765.11316,765.11316,933.023653,933.023653,933.023653,1.0,1.0,1.0,440.864362,440.864362,440.864362,60.210672,60.210672,60.210672,103.925954,103.925954,103.925954,223.316,223.316,223.316,53.411736,53.411736,53.411736,15.382944,15.382944,15.382944,3.489269,3.489269,3.489269,10.5,10.5,10.5,54.815953,54.815953,54.815953,18680.693294,18680.693294,18680.693294
cluster_csv,100,5.0,1,0.983333,0.983333,0.983333,20.138667,20.138667,20.138667,689.905869,689.905869,689.905869,1815.621556,1815.621556,1815.621556,0.016667,0.016667,0.016667,0.999569,0.999569,0.999569,0.260807,0.260807,0.260807,0.260324,0.260324,0.260324,1.0,1.0,1.0,4537.959387,4537.959387,4537.959387,8112.648,8112.648,8112.648,2753.2216,2753.2216,2753.2216,827.550507,827.550507,827.550507,951.5494,951.5494,951.5494,1.0,1.0,1.0,460.218359,460.218359,460.218359,58.76592,58.76592,58.76592,103.979721,103.979721,103.979721,244.589234,244.589234,244.589234,52.883484,52.883484,52.883484,13.78896,13.78896,13.78896,2.996178,2.996178,2.996178,9.78,9.78,9.78,52.510726,52.510726,52.510726,19500.777913,19500.777913,19500.777913
cluster_adaptive,100,5.0,1,0.985833,0.985833,0.985833,20.189867,20.189867,20.189867,683.848066,683.848066,683.848066,1639.504614,1639.504614,1639.504614,0.014167,0.014167,0.014167,0.999599,0.999599,0.999599,0.257486,0.257486,0.257486,0.257241,0.257241,0.257241,1.0,1.0,1.0,4183.88844,4183.88844,4183.88844,7490.501333,7490.501333,7490.501333,2758.011733,2758.011733,2758.011733,661.978787,661.978787,661.978787,752.619813,752.619813,752.619813,1.0,1.0,1.0,422.038375,422.038375,422.038375,58.949088,58.949088,58.949088,103.907486,103.907486,103.907486,205.316423,205.316423,205.316423,53.865378,53.865378,53.865378,13.95288,13.95288,13.95288,3.306069,3.306069,3.306069,9.55,9.55,9.55,57.406723,57.406723,57.406723,17837.632098,17837.632098,17837.632098
laca,100,5.0,1,0.982917,0.982917,0.982917,20.130133,20.130133,20.130133,730.645503,730.645503,730.645503,1813.693988,1813.693988,1813.693988,0.017083,0.017083,0.017083,0.999565,0.999565,0.999565,0.254648,0.254648,0.254648,0.254159,0.254159,0.254159,0.996379,0.996379,0.996379,4242.048827,4242.048827,4242.048827,7948.849333,7948.849333,7948.849333,2757.6892,2757.6892,2757.6892,664.26312,664.26312,664.26312,813.270507,813.270507,813.270507,1.0,1.0,1.0,498.592429,498.592429,498.592429,58.097664,58.097664,58.097664,103.967502,103.967502,103.967502,284.643172,284.643172,284.643172,51.884091,51.884091,51.884091,13.114608,13.114608,13.114608,2.630326,2.630326,2.630326,9.31,9.31,9.31,48.44871,48.44871,48.44871,21135.753682,21135.753682,21135.753682
chang2019,100,5.0,1,0.986667,0.986667,0.986667,20.206933,20.206933,20.206933,771.320203,771.320203,771.320203,1716.044318,1716.044318,1716.044318,0.013333,0.013333,0.013333,0.999612,0.999612,0.999612,0.249501,0.249501,0.249501,0.249501,0.249501,0.249501,0.997721,0.997721,0.997721,4193.708413,4193.708413,4193.708413,7882.026667,7882.026667,7882.026667,2757.316533,2757.316533,2757.316533,622.519133,622.519133,622.519133,813.872747,813.872747,813.872747,1.0,1.0,1.0,466.5005,466.5005,466.5005,58.322784,58.322784,58.322784,103.860118,103.860118,103.860118,251.607371,251.607371,251.607371,52.710226,52.710226,52.710226,13.319424,13.319424,13.319424,2.855179,2.855179,2.855179,9.12,9.12,9.12,51.979194,51.979194,51.979194,19700.190033,19700.190033,19700.190033
etaroa,100,5.0,1,0.98625,0.98625,0.98625,20.1984,20.1984,20.1984,661.736999,661.736999,661.736999,1632.939897,1632.939897,1632.939897,0.01375,0.01375,0.01375,0.999606,0.999606,0.999606,0.264078,0.264078,0.264078,0.263592,0.263592,0.263592,1.0,1.0,1.0,4144.49596,4144.49596,4144.49596,7754.817333,7754.817333,7754.817333,2757.951867,2757.951867,2757.951867,628.607467,628.607467,628.607467,745.15124,745.15124,745.15124,1.0,1.0,1.0,433.580473,433.580473,433.580473,59.629824,59.629824,59.629824,103.906048,103.906048,103.906048,216.459684,216.459684,216.459684,53.584918,53.584918,53.584918,14.673744,14.673744,14.673744,3.384318,3.384318,3.384318,10.01,10.01,10.01,55.902148,55.902148,55.902148,18317.721725,18317.721725,18317.721725
no_raw,200,5.0,1,0.321458,0.321458,0.321458,13.166933,13.166933,13.166933,1478.41433,1478.41433,1478.41433,4611.33229,4611.33229,4611.33229,0.678542,0.678542,0.678542,0.985027,0.985027,0.985027,0.841756,0.841756,0.841756,0.807989,0.807989,0.807989,1.0,1.0,1.0,10081.436033,10081.436033,10081.436033,34643.349333,34643.349333,34643.349333,2259.799667,2259.799667,2259.799667,563.654283,563.654283,563.654283,7134.987883,7134.987883,7134.987883,0.4,0.4,0.4,2556.145993,2556.145993,2556.145993,97.699512,97.699512,97.699512,102.302926,102.302926,102.302926,2356.143555,2356.143555,2356.143555,0.0,0.0,0.0,77.31984,77.31984,77.31984,3.02486,3.02486,3.02486,48.5,48.5,48.5,3.090653,3.090653,3.090653,331321.580436,331321.580436,331321.580436
static,200,5.0,1,0.440833,0.440833,0.440833,18.056533,18.056533,18.056533,3037.32764,3037.32764,3037.32764,7807.981932,7807.981932,7807.981932,0.559167,0.559167,0.559167,0.732472,0.732472,0.732472,0.495284,0.495284,0.495284,0.494535,0.494535,0.494535,1.0,1.0,1.0,6637.17492,6637.17492,6637.17492,12764.429333,12764.429333,12764.429333,5252.976873,5252.976873,5252.976873,657.609733,657.609733,657.609733,726.588313,726.588313,726.588313,1.0,1.0,1.0,504.974612,504.974612,504.974612,45.216288,45.216288,45.216288,102.936624,102.936624,102.936624,305.412753,305.412753,305.412753,51.408946,51.408946,51.408946,18.52476,18.52476,18.52476,3.668454,3.668454,3.668454,12.355,12.355,12.355,21.454386,21.454386,21.454386,47729.169379,47729.169379,47729.169379
