pkt_interval_s,num_stas,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
1.0,500,static,42,0.059683,30.557867,11269.468421,25326.314796,0.940317,0.781237,0.002861,0.002861,0.060783,376.662151,14.42521,102.068166,206.186641,53.982134,0.0252,0.00669,0.014,19.470733,52591.755185,7556.381563,9134.9,7.1,3767.749008,3781.532555,1.0
1.0,500,static,7,0.059783,30.609067,11249.023189,25427.32661,0.940217,0.793051,0.003397,0.003397,0.060884,378.86363,14.433466,102.068166,208.436125,53.925874,0.0108,0.002851,0.006,19.390027,52810.653747,7664.765776,9257.8,7.1,3792.594851,3865.070925,1.0
1.0,500,static,99,0.059717,30.574933,11314.563915,26333.407608,0.940283,0.80116,0.002326,0.002326,0.060765,377.822774,14.420717,102.069446,207.380318,53.952294,0.0108,0.002858,0.006,19.421762,52724.361449,7639.566648,9211.152,7.1,3810.115371,3822.351277,1.0
1.0,500,laca,42,0.088583,45.354667,5785.436103,9057.230657,0.911417,0.773436,0.40163,0.400102,0.991333,494.305896,36.639974,102.278034,303.912296,51.475592,12.348,2.498048,6.86,22.02102,46501.025047,10217.087213,16068.045333,7.1,3774.973157,6435.014056,1.0
1.0,500,laca,7,0.088483,45.303467,5820.780654,9320.392614,0.911517,0.751785,0.401019,0.399915,0.990613,492.352088,36.62592,102.278318,301.922476,51.525374,12.3912,2.516736,6.884,22.083449,46369.569411,10120.464491,16107.438667,7.1,3772.733328,6340.631163,1.0
1.0,500,laca,99,0.08945,45.7984,5711.012978,8962.725969,0.91055,0.730872,0.394202,0.392927,0.9907,492.468559,36.587261,102.288556,302.071058,51.521685,12.1104,2.459121,6.728,22.319427,45879.314271,10137.277397,16220.786667,7.1,3810.057952,6320.119445,1.0
1.0,500,chang2019,42,0.032167,16.469333,4859.425748,6215.269424,0.967833,0.714952,0.741766,0.708323,1.0,929.225367,36.758822,101.708292,750.44163,40.316623,24.2136,2.605783,13.452,4.253694,240731.960429,15246.479875,25973.872,7.1,3774.538589,11464.841285,1.0
1.0,500,chang2019,7,0.032517,16.648533,4855.529027,6094.224636,0.967483,0.728847,0.739995,0.707082,1.0,928.277123,36.793814,101.71142,749.4301,40.341789,24.2892,2.616589,13.494,4.30437,237897.77631,15304.009424,25982.812,7.1,3774.013923,11522.895501,1.0
1.0,500,chang2019,99,0.032167,16.469333,4862.579778,6144.181193,0.967833,0.704007,0.74149,0.708806,1.0,929.372746,36.766781,101.709429,750.58349,40.313045,24.2352,2.607694,13.464,4.253019,240770.141395,15352.107747,26002.42,7.1,3815.564384,11529.443363,1.0
1.0,500,adaptive,42,0.119117,60.987733,7751.228661,15204.080038,0.880883,0.810593,0.002729,0.002729,0.114305,414.545894,27.255034,102.574777,231.40411,53.311973,0.0288,0.006947,0.016,35.30865,29001.39178,7745.579629,9648.806667,7.1,3776.749565,3961.730064,1.0
