num_stas,pkt_interval_s,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
100,5.0,static,42,0.39375,8.064,5376.059769,14946.986881,0.60625,0.9814,0.0,0.0,0.073973,298.198549,18.532608,102.241207,121.334091,56.090642,0.0,0.0,0.0,32.450862,31555.401961,1524.175107,1777.849333,7.1,774.555893,742.519213,1.0
100,5.0,static,7,0.394583,8.081067,5543.784002,14393.353869,0.605417,0.941548,0.0,0.0,0.074222,297.508158,18.537648,102.233387,120.628799,56.108324,0.0,0.0,0.0,32.595005,31415.856139,1488.292107,1749.84,7.1,750.517707,730.6744,1.0
100,5.0,static,99,0.394167,8.072533,5424.069749,13920.966896,0.605833,0.954388,0.0,0.0,0.074132,296.820038,18.492816,102.225567,119.976845,56.12481,0.0,0.0,0.0,32.636072,31376.325337,1449.862987,1695.94,7.1,738.266427,704.49656,1.0
100,5.0,laca,42,0.645833,13.226667,585.342145,1405.316066,0.354167,0.984197,0.158009,0.15671,0.998436,321.720032,35.886096,102.667057,127.269333,55.897546,6.246,1.94144,3.47,49.33482,20756.13108,1669.07944,2174.116,7.1,774.555893,887.423547,1.0
100,5.0,laca,7,0.63625,13.0304,583.081755,1392.412266,0.36375,0.984514,0.164342,0.16129,0.998423,342.468859,35.616144,102.638206,148.853573,55.360936,6.426,1.876375,3.57,45.658108,22427.561135,1622.54229,2154.792,7.1,748.423488,867.018801,0.99
100,5.0,laca,99,0.643333,13.175467,594.945757,1394.331441,0.356667,0.968405,0.165875,0.160691,0.9974,319.32893,35.943072,102.645018,124.773132,55.967708,6.354,1.989798,3.53,49.511831,20681.92551,1591.545173,2058.181333,7.1,738.80656,845.638613,1.0
100,5.0,chang2019,42,1.0,20.48,750.901906,1578.36241,0.0,1.0,0.20904,0.20904,0.997784,422.508607,58.019904,103.274194,207.393366,53.821143,13.32,3.152599,7.4,58.166862,17604.525282,1745.008613,2451.814667,7.1,774.5646,963.344013,1.0
100,5.0,chang2019,7,1.0,20.48,748.33344,1608.833893,0.0,1.0,0.201824,0.201824,0.998718,420.444504,57.404688,103.268506,205.911362,53.859948,12.744,3.031078,7.08,58.452423,17518.521009,1706.008613,2422.470667,7.1,754.3204,944.588213,1.0
100,5.0,chang2019,99,1.0,20.48,740.292216,1609.525638,0.0,1.0,0.202506,0.202506,0.995533,419.539039,57.440112,103.264951,204.950065,53.883911,12.798,3.050491,7.11,58.578577,17480.793288,1683.775347,2356.72,7.1,739.026893,937.648453,1.0
100,5.0,adaptive,42,1.0,20.48,875.467001,1857.441495,0.0,1.0,0.000357,0.000357,0.540766,364.312688,44.724096,103.275615,161.302644,55.010332,0.018,0.004941,0.01,67.458534,15179.695329,1518.097307,1784.489333,7.1,774.555893,736.441413,1.0
