num_stas,pkt_interval_s,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
100,5.0,static,42,0.381759,8.072533,4368.853418,11769.111848,0.618241,0.901072,0.0,0.0,0.074424,297.876949,18.529968,102.234098,121.014178,56.098705,0.0,0.0,0.0,32.520274,31488.049565,1493.224613,1754.657333,7.1,757.530707,728.593907,1.0
100,5.0,static,7,0.376592,8.072533,4572.997038,12229.97277,0.623408,0.896587,0.0,0.0,0.074848,297.319706,18.509328,102.231965,120.465927,56.112486,0.0,0.0,0.0,32.581224,31429.144366,1478.918707,1730.074667,7.1,749.025027,722.79368,1.0
100,5.0,static,99,0.381973,8.064,4313.599817,11790.936088,0.618027,0.95813,0.000743,0.000743,0.074109,297.516037,18.519648,102.237653,120.65095,56.107786,0.0,0.0,0.0,32.525306,31483.178467,1496.736893,1755.7,7.1,745.362,744.274893,1.0
100,5.0,laca,42,0.646148,13.525333,397.413599,1414.384669,0.353852,0.945854,0.064775,0.061939,1.0,310.365026,32.361648,102.683408,119.207799,56.112171,2.142,0.690155,1.19,52.294552,19581.389679,1621.813547,2093.72,7.1,751.692867,863.02068,1.0
100,5.0,laca,7,0.652569,14.088533,416.660281,1485.510528,0.347431,0.946228,0.052315,0.051852,1.0,314.936063,33.155136,102.727486,123.041177,56.012264,1.872,0.594406,1.04,53.681499,19075.47324,1627.420147,2182.744,7.1,747.222987,873.09716,1.0
100,5.0,laca,99,0.636142,13.3376,401.44229,1431.225965,0.363858,0.941276,0.058682,0.056758,0.999405,308.387468,31.703328,102.668478,117.863924,56.151737,1.908,0.618702,1.06,51.899385,19730.48419,1601.085787,2106.725333,7.1,745.398693,848.587093,1.0
100,5.0,chang2019,42,0.994433,21.341867,499.935122,1730.184489,0.005567,0.962323,0.101858,0.101858,0.999295,431.613376,52.398624,103.338178,222.415896,53.460678,5.31,1.230268,2.95,59.336066,17257.632,1729.603667,2419.332,7.1,757.92076,964.582907,1.0
100,5.0,chang2019,7,0.990087,21.307733,501.37507,1790.64111,0.009913,0.97308,0.114644,0.114644,1.0,414.856171,53.136624,103.334623,204.477815,53.907109,5.796,1.397111,3.22,61.634084,16614.183862,1725.21092,2420.281333,7.1,749.068987,969.041933,1.0
100,5.0,chang2019,99,0.994823,21.316267,464.131123,1552.284839,0.005177,0.968704,0.082331,0.082331,0.998553,408.469362,51.098496,103.336756,200.009653,54.024457,4.338,1.062014,2.41,62.622861,16351.855976,1745.21484,2430.277333,7.1,745.398693,992.716147,1.0
100,5.0,adaptive,42,0.995523,20.872533,600.23047,1972.431115,0.004477,0.96614,0.000351,0.000351,0.760883,367.617746,45.55416,103.299076,163.819596,54.944914,0.018,0.004896,0.01,68.133381,15029.343662,1526.325933,1824.798667,7.1,757.92076,761.305173,1.0
100,5.0,adaptive,7,0.992424,21.239467,614.273741,2075.687739,0.007576,0.966704,0.001728,0.001728,0.764093,371.950642,46.363008,103.328935,167.405931,54.852768,0.09,0.024197,0.05,68.523501,14943.778299,1509.81712,1837.293333,7.1,749.025027,753.692093,1.0
100,5.0,adaptive,99,0.995635,21.410133,612.415799,2133.341938,0.004365,0.957034,0.000344,0.000344,0.764778,373.094921,46.681968,103.345287,168.236685,54.830981,0.018,0.004825,0.01,68.862261,14870.263901,1526.47144,1872.752,7.1,749.779427,769.592013,1.0
200,5.0,static,42,0.372733,15.957333,5125.973946,15006.428506,0.627267,0.833637,0.0,0.0,0.077082,319.270613,18.304104,102.228055,143.193557,55.544897,0.0,0.0,0.0,29.988353,34146.589619,2977.02104,3485.458667,7.1,1507.29108,1462.62996,1.0
200,5.0,static,7,0.368183,15.957333,5575.117131,15539.414819,0.631817,0.828962,0.000749,0.000749,0.078034,319.431769,18.326808,102.222368,143.34141,55.541183,0.0,0.0,0.0,29.973224,34163.825563,2981.280233,3484.772,7.1,1503.851307,1470.328927,1.0
200,5.0,static,99,0.383022,15.940267,5422.116068,15918.102172,0.616978,0.777886,0.000749,0.000749,0.078864,319.596512,18.31884,102.225211,143.515634,55.536827,0.0,0.0,0.0,29.925733,34218.042021,2988.752633,3498.654667,7.1,1509.833747,1471.818887,1.0
200,5.0,laca,42,0.637447,26.9312,625.803392,3408.801628,0.362553,0.956043,0.100775,0.098723,0.999165,349.625859,33.745008,102.676299,158.07828,55.126272,3.195,0.913834,1.775,46.217176,22156.264849,3429.580913,4808.594667,7.1,1507.7442,1914.736713,1.0
200,5.0,laca,7,0.630261,26.837333,633.040844,3375.187403,0.369739,0.957702,0.072924,0.071983,0.998553,346.449836,32.521752,102.678431,156.069788,55.179865,2.394,0.691009,1.33,46.478302,22031.786093,3390.026127,4707.213333,7.1,1514.993773,1867.932353,1.0
200,5.0,laca,99,0.636914,26.914133,591.841898,2928.370705,0.363086,0.953603,0.090385,0.08854,0.998589,349.057997,33.304008,102.675232,157.947994,55.130763,2.862,0.819921,1.59,46.263028,22134.305459,3493.378707,4973.045333,7.1,1508.071153,1978.207553,1.0
200,5.0,chang2019,42,0.384722,16.5888,1830.589219,5274.280266,0.615278,0.748522,0.664951,0.655846,0.999853,645.796217,62.480232,102.17829,432.959251,48.178444,36.792,5.697153,20.44,15.412416,66439.939993,3654.477347,4922.016,7.1,1513.996967,2133.38038,1.0
