num_stas,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
100,no_raw,42,0.61625,12.6208,1904.235341,4627.573318,0.38375,0.986443,0.883509,0.84237,1.0,2648.879349,202.07112,102.241803,2344.566427,0.0,5.717497,179099.347487,2872.240472,5042.352,7.1,768.418417,2096.722056,0.96
100,no_raw,7,0.592083,12.125867,1964.860001,4596.914665,0.407917,0.984179,0.896251,0.850294,1.0,2649.236481,202.560576,102.126747,2344.549157,0.0,5.492541,186434.657321,2831.719453,4659.409333,7.1,756.09316,2068.526293,1.0
100,no_raw,99,0.619583,12.689067,1859.445034,4587.654061,0.380417,0.979736,0.884206,0.842406,1.0,2648.955531,202.17168,102.22231,2344.561541,0.0,5.748258,178140.923416,2805.711488,4693.337333,7.1,736.467785,2062.143704,0.99
100,static,42,0.501667,10.274133,2974.2186,7738.820327,0.498333,0.771369,0.46988,0.468503,1.0,502.641225,46.652832,102.376169,302.120441,51.491784,24.52835,41747.610081,1538.200577,1836.645333,7.1,763.349045,767.751533,0.97
100,static,7,0.504583,10.333867,2888.748551,7851.092309,0.495417,0.774554,0.468577,0.466506,1.0,458.858224,46.437648,102.370184,257.440975,52.609416,27.024992,37890.852487,1530.607407,1825.165333,7.1,751.579017,771.928391,0.99
100,static,99,0.49125,10.0608,3063.389419,8125.784547,0.50875,0.792629,0.481456,0.480769,1.0,481.520284,46.702992,102.346723,280.436591,52.033978,25.072589,40841.415078,1476.708408,1768.974667,7.1,735.012014,734.596395,0.98
100,adaptive,42,0.96,19.6608,599.818967,1447.806471,0.04,1.0,0.20136,0.20136,1.0,466.788088,55.201632,103.201563,255.764617,52.620276,50.543192,20259.899632,1680.223028,2369.073333,7.1,758.985667,914.137361,0.96
100,adaptive,7,0.97,19.8656,599.924261,1402.984022,0.03,1.0,0.209336,0.209336,1.0,448.947822,56.371008,103.213351,236.258887,53.104576,53.099088,19284.700239,1684.011065,2272.086667,7.1,748.017017,928.894048,0.97
100,adaptive,99,0.97,19.8656,606.196895,1404.730028,0.03,1.0,0.211911,0.211911,1.0,447.267716,56.538048,103.207961,234.370337,53.151369,53.298548,19212.530737,1674.565663,2326.786667,7.1,736.450076,931.015588,0.97
100,cluster_csv,42,0.467917,9.582933,3298.057694,8201.238238,0.532083,0.748048,0.467542,0.467177,1.0,479.431274,43.706448,102.324982,281.380977,52.018867,23.985753,42692.010196,1540.79102,1829.104,7.1,767.201592,766.489429,0.98
100,cluster_csv,7,0.458333,9.386667,3386.738336,8981.379405,0.541667,0.753597,0.476468,0.476104,1.0,477.989249,43.647648,102.296247,279.991351,52.054003,23.565384,43453.568128,1531.922912,1824.697333,7.1,751.865306,772.957605,0.98
100,cluster_csv,99,0.480417,9.838933,3401.002172,9258.700066,0.519583,0.73835,0.454845,0.453748,1.0,453.553766,43.516944,102.331794,255.026836,52.678192,26.031577,39336.840061,1482.729535,1771.929333,7.1,736.467785,739.161751,0.99
100,traffic_split,42,0.98,20.0704,687.474316,1726.106748,0.02,1.0,0.245335,0.245335,1.0,427.386105,59.901696,103.246765,210.499152,53.738492,56.352979,18171.177942,1659.167415,2299.797333,7.1,765.597578,886.469837,0.98
100,traffic_split,7,0.98,20.0704,719.721515,1731.668077,0.02,1.0,0.355134,0.355134,1.0,455.395147,71.074944,103.236812,227.808592,53.2748,52.886993,19362.038577,1649.549129,2275.977333,7.1,750.875905,891.573224,0.98
