policy,num_stas,seed,critical_generated,critical_delivered,critical_pdr,high_generated,high_delivered,high_pdr,normal_generated,normal_delivered,normal_pdr,overall_pdr,elapsed_s
static,100,42,266,43,0.16165413533834586,606,94,0.1551155115511551,1558,326,0.2092426187419769,0.19053497942386832,2.35
adaptive,100,42,299,272,0.9096989966555183,612,590,0.9640522875816994,1597,1522,0.9530369442705072,0.9505582137161085,2.57
cluster_csv,100,42,269,38,0.1412639405204461,582,175,0.3006872852233677,1636,432,0.26405867970660146,0.25934861278648974,3.28
cluster_adaptive,100,42,275,266,0.9672727272727273,657,639,0.9726027397260274,1587,1534,0.9666036546943919,0.9682413656212783,2.71
laca,100,42,266,249,0.9360902255639098,609,581,0.9540229885057471,1587,1516,0.9552614996849401,0.9528838342810723,2.42
chang2019,100,42,266,253,0.9511278195488722,669,653,0.976083707025411,1574,1521,0.9663278271918678,0.9673176564368274,2.25
static,200,42,423,84,0.19858156028368795,1094,166,0.15173674588665448,3441,633,0.1839581517000872,0.17809600645421542,5.01
adaptive,200,42,449,171,0.38084632516703787,1096,500,0.4562043795620438,3442,1478,0.42940151074956423,0.4309203930218568,7.54
cluster_csv,200,42,424,85,0.20047169811320756,1092,295,0.27014652014652013,3430,1129,0.3291545189504373,0.30509502628386576,6.84
cluster_adaptive,200,42,438,219,0.5,1113,580,0.5211141060197664,3444,2003,0.5815911730545877,0.5609609609609609,7.89
laca,200,42,444,167,0.3761261261261261,998,356,0.35671342685370744,3471,1396,0.40218957072889655,0.3905963769590881,7.54
chang2019,200,42,427,253,0.5925058548009368,1138,711,0.624780316344464,3498,2323,0.6640937678673527,0.6492198301402331,13.87
static,400,42,939,170,0.1810436634717785,2188,342,0.1563071297989031,6726,1097,0.16309842402616712,0.1633005176088501,11.28
adaptive,400,42,1041,169,0.16234390009606148,2202,339,0.1539509536784741,6771,1085,0.16024220942253728,0.1590772917914919,15.11
cluster_csv,400,42,985,199,0.2020304568527919,2194,462,0.2105742935278031,6612,1477,0.22338173018753782,0.21836380349300377,14.98
cluster_adaptive,400,42,996,258,0.25903614457831325,2215,556,0.2510158013544018,6830,1899,0.2780380673499268,0.27019221193108256,15.99
laca,400,42,1006,142,0.1411530815109344,2169,292,0.13462425080682341,6755,1089,0.1612139156180607,0.15337361530715005,14.83
chang2019,400,42,1005,278,0.2766169154228856,2178,463,0.2125803489439853,6933,1631,0.23525169479301888,0.23448003163305656,28.92
static,600,42,1438,155,0.10778859527121001,3548,304,0.08568207440811725,10038,1021,0.10171348874277744,0.09850905218317359,16.28
adaptive,600,42,1441,148,0.10270645385149202,3543,360,0.10160880609652836,9976,898,0.09001603849238171,0.09398395721925133,21.87
cluster_csv,600,42,1432,166,0.11592178770949721,3536,545,0.1541289592760181,10097,1522,0.15073784292364067,0.1482243611018918,22.33
cluster_adaptive,600,42,1416,281,0.1984463276836158,3610,638,0.17673130193905817,9912,1831,0.18472558514931398,0.18409425625920472,23.61
laca,600,42,1433,167,0.11653872993719469,3603,312,0.08659450457951708,9940,838,0.08430583501006036,0.08794070512820513,21.59
chang2019,600,42,1387,199,0.14347512617159336,3481,433,0.12438954323470267,10032,1209,0.12051435406698564,0.12355704697986578,41.52
static,800,42,1782,139,0.07800224466891134,4852,279,0.057502061005770815,13426,938,0.06986444212721585,0.06759720837487537,19.75
adaptive,800,42,1760,107,0.06079545454545455,4820,302,0.06265560165975104,13239,922,0.06964272225998942,0.06715777788990362,28.77
cluster_csv,800,42,1790,194,0.10837988826815642,4893,521,0.10647864295932966,13256,1599,0.1206246228123114,0.11605396459200562,29.69
cluster_adaptive,800,42,1853,257,0.13869400971397733,4824,566,0.11733001658374792,13298,1822,0.13701308467438714,0.13241551939924906,28.84
laca,800,42,1773,105,0.05922165820642978,4774,281,0.05886049434436531,13195,846,0.06411519514967791,0.06240502482018032,27.73
chang2019,800,42,1727,153,0.08859293572669369,4808,352,0.07321131447587355,13202,1142,0.08650204514467505,0.08344733242134063,50.88
static,1000,42,2221,125,0.05628095452498874,6339,261,0.041173686701372454,16304,835,0.0512144259077527,0.049107142857142856,23.38
adaptive,1000,42,2273,115,0.050593928728552576,6152,334,0.054291287386215865,16457,874,0.05310809989670049,0.053170966964070414,32.96
cluster_csv,1000,42,2311,215,0.09303331890956296,6184,717,0.11594437257438552,16538,1736,0.10497037126617487,0.10657931530379898,36.27
cluster_adaptive,1000,42,2350,209,0.08893617021276595,6242,587,0.09404037167574496,16407,1648,0.10044493204120193,0.09776391055642225,31.67
laca,1000,42,2258,111,0.0491585473870682,6243,330,0.05285920230658337,16239,877,0.05400578853377671,0.053274050121261116,33.1
chang2019,1000,42,2203,148,0.06718111665910123,6272,387,0.06170280612244898,16377,970,0.0592294070953166,0.06055850635763721,59.69
no_raw,100,42,263,254,0.9657794676806084,621,602,0.9694041867954911,1620,1570,0.9691358024691358,0.9688498402555911,1.74
no_raw,200,42,439,160,0.36446469248291574,1130,364,0.32212389380530976,3443,961,0.2791170490851002,0.2962889066241022,59.82
no_raw,400,42,1015,177,0.17438423645320197,2215,410,0.18510158013544017,6766,1106,0.16346438072716524,0.16936774709883953,46.48
no_raw,600,42,1428,89,0.062324929971988796,3610,222,0.06149584487534626,9989,553,0.05536089698668535,0.057496506288680374,257.84
no_raw,800,42,1765,84,0.04759206798866856,4963,195,0.03929075156155551,13209,472,0.03573321220380044,0.037668656267241814,449.54
no_raw,1000,42,2261,86,0.03803626713843432,6225,216,0.03469879518072289,16302,535,0.03281805913384861,0.03376633855091173,563.0
