num_stas,seed,traffic,priority_metrics_enable,cluster_csv_generated,cluster_csv_delivered,cluster_csv_dropped,cluster_csv_pdr,cluster_csv_throughput,cluster_csv_delay,cluster_csv_collisions,cluster_csv_retries,cluster_csv_ack_timeouts,cluster_csv_tx_attempts,cluster_csv_critical_generated,cluster_csv_critical_delivered,cluster_csv_critical_pdr,cluster_csv_critical_throughput,cluster_csv_critical_delay,cluster_csv_high_generated,cluster_csv_high_delivered,cluster_csv_high_pdr,cluster_csv_high_throughput,cluster_csv_high_delay,cluster_csv_normal_generated,cluster_csv_normal_delivered,cluster_csv_normal_pdr,cluster_csv_normal_throughput,cluster_csv_normal_delay,cluster_csv_critical_throughput_share,cluster_csv_high_throughput_share,cluster_csv_normal_throughput_share,cluster_adaptive_generated,cluster_adaptive_delivered,cluster_adaptive_dropped,cluster_adaptive_pdr,cluster_adaptive_throughput,cluster_adaptive_delay,cluster_adaptive_collisions,cluster_adaptive_retries,cluster_adaptive_ack_timeouts,cluster_adaptive_tx_attempts,cluster_adaptive_critical_generated,cluster_adaptive_critical_delivered,cluster_adaptive_critical_pdr,cluster_adaptive_critical_throughput,cluster_adaptive_critical_delay,cluster_adaptive_high_generated,cluster_adaptive_high_delivered,cluster_adaptive_high_pdr,cluster_adaptive_high_throughput,cluster_adaptive_high_delay,cluster_adaptive_normal_generated,cluster_adaptive_normal_delivered,cluster_adaptive_normal_pdr,cluster_adaptive_normal_throughput,cluster_adaptive_normal_delay,cluster_adaptive_critical_throughput_share,cluster_adaptive_high_throughput_share,cluster_adaptive_normal_throughput_share,adaptive_generated,adaptive_delivered,adaptive_dropped,adaptive_pdr,adaptive_throughput,adaptive_delay,adaptive_collisions,adaptive_retries,adaptive_ack_timeouts,adaptive_tx_attempts,adaptive_critical_generated,adaptive_critical_delivered,adaptive_critical_pdr,adaptive_critical_throughput,adaptive_critical_delay,adaptive_high_generated,adaptive_high_delivered,adaptive_high_pdr,adaptive_high_throughput,adaptive_high_delay,adaptive_normal_generated,adaptive_normal_delivered,adaptive_normal_pdr,adaptive_normal_throughput,adaptive_normal_delay,adaptive_critical_throughput_share,adaptive_high_throughput_share,adaptive_normal_throughput_share,static_generated,static_delivered,static_dropped,static_pdr,static_throughput,static_delay,static_collisions,static_retries,static_ack_timeouts,static_tx_attempts,static_critical_generated,static_critical_delivered,static_critical_pdr,static_critical_throughput,static_critical_delay,static_high_generated,static_high_delivered,static_high_pdr,static_high_throughput,static_high_delay,static_normal_generated,static_normal_delivered,static_normal_pdr,static_normal_throughput,static_normal_delay,static_critical_throughput_share,static_high_throughput_share,static_normal_throughput_share
100,42,periodic,1,4000,1600,2381,0.4,8.0,2.7512579249413482,0,0,0,1600,440,122,0.2772727272727273,0.61,2.861747374009231,1000,399,0.399,1.995,3.131048019893107,2560,1079,0.421484375,5.395,2.598323763058092,0.07625,0.249375,0.674375,4000,1598,2753,0.3995,7.99,5.1637222076232066,0,0,0,1598,440,129,0.29318181818181815,0.645,6.725904530579056,1000,400,0.4,2.0,5.950017609959875,2560,1069,0.417578125,5.345,4.680990981621362,0.08072590738423029,0.2503128911138924,0.6689612015018773,4000,4000,0,1.0,20.0,1.4782648922354498,0,0,0,4000,440,440,1.0,2.2,1.2904197798056352,1000,1000,1.0,5.0,1.5475326120659312,2560,2560,1.0,12.8,1.4834930678755422,0.11,0.25,0.64,4000,1598,2753,0.3995,7.99,5.1637222076232066,0,0,0,1598,440,129,0.29318181818181815,0.645,6.725904530579056,1000,400,0.4,2.0,5.950017609959875,2560,1069,0.417578125,5.345,4.680990981621362,0.08072590738423029,0.2503128911138924,0.6689612015018773
200,42,periodic,1,8000,3912,4127,0.489,19.56,2.699353402105165,0,0,0,3912,720,283,0.39305555555555555,1.415,2.6416604532624106,1760,768,0.43636363636363634,3.84,3.3566104210820846,5520,2861,0.5182971014492753,14.305,2.528627681709578,0.07234151329243353,0.19631901840490798,0.7313394683026585,8000,3994,4753,0.49925,19.97,4.668415062421134,0,0,0,3994,720,429,0.5958333333333333,2.145,4.762850788930546,1760,860,0.48863636363636365,4.3,4.545105018392527,5520,2705,0.490036231884058,13.525,4.692641942713948,0.10741111667501252,0.21532298447671508,0.6772658988482724,8000,6383,3039,0.797875,31.915,4.665607030912161,0,0,0,6383,720,528,0.7333333333333333,2.64,4.801640120688625,1760,1384,0.7863636363636364,6.92,4.837932250991598,5520,4471,0.8099637681159421,22.355,4.596198939659217,0.08271972426758578,0.21682594391352028,0.7004543318188939,8000,3191,5428,0.398875,15.955,4.972800900737809,0,0,0,3191,720,319,0.44305555555555554,1.595,4.548124316848783,1760,686,0.38977272727272727,3.43,5.855537959508617,5520,2186,0.3960144927536232,10.93,4.757757080035076,0.09996866186148542,0.21497963020996552,0.6850517079285491
300,42,periodic,1,12000,6265,5665,0.5220833333333333,31.325,2.6477779321608748,0,0,0,6265,1160,521,0.44913793103448274,2.605,2.325256167440215,2800,1293,0.4617857142857143,6.465,3.077006626898328,8040,4451,0.5536069651741293,22.255,2.5608404208429545,0.08316041500399042,0.20638467677573824,0.7104549082202714,12000,5588,7544,0.4656666666666667,27.94,4.86812540404241,0,0,0,5588,1160,628,0.5413793103448276,3.14,5.163255366597278,2800,1157,0.4132142857142857,5.785,5.3232441048504455,8040,3803,0.4730099502487562,19.015,4.680927414739399,0.11238367931281316,0.20705082319255547,0.6805654974946314,12000,6383,6974,0.5319166666666667,31.915,4.947523303353686,0,0,0,6383,1160,544,0.4689655172413793,2.72,5.028097267818135,2800,1519,0.5425,7.595,5.1035454501498565,8040,4320,0.5373134328358209,21.6,4.882516387230526,0.08522638257872474,0.23797587341375528,0.67679774400752,12000,4787,8175,0.39891666666666664,23.935,4.828725098164764,0,0,0,4787,1160,455,0.3922413793103448,2.275,3.939696459717305,2800,1074,0.38357142857142856,5.37,5.096629176065169,8040,3258,0.4052238805970149,16.29,4.864568882949467,0.09504909128890746,0.22435763526216837,0.6805932734489242
400,42,periodic,1,16000,7977,8308,0.4985625,39.885,3.160529573850261,0,0,0,7977,1640,770,0.4695121951219512,3.85,2.9332459225637346,3480,1462,0.42011494252873566,7.31,3.824237587971497,10880,5745,0.5280330882352942,28.725,3.022090460681484,0.09652751661025448,0.18327692114830135,0.7201955622414441,16000,7184,10255,0.449,35.92,4.9239255706643075,0,0,0,7184,1640,768,0.4682926829268293,3.84,5.70964107450225,3480,1397,0.4014367816091954,6.985,5.162238979530868,10880,5019,0.46130514705882353,25.095,4.737363837423795,0.10690423162583519,0.1944599109131403,0.6986358574610245,16000,6384,10858,0.399,31.92,4.94053650561677,0,0,0,6384,1640,681,0.41524390243902437,3.405,5.48124992973719,3480,1597,0.4589080459770115,7.985,4.58791031420557,10880,4106,0.37738970588235293,20.53,4.988008055996137,0.10667293233082707,0.25015664160401,0.643170426065163,16000,5788,11153,0.36175,28.94,4.435114932715328,0,0,0,5788,1640,538,0.3280487804878049,2.69,4.290804560650886,3480,1325,0.3807471264367816,6.625,4.632211737322871,10880,3925,0.36075367647058826,19.625,4.38835970063015,0.09295093296475467,0.22892190739460955,0.6781271596406357
500,42,periodic,1,20000,8424,11723,0.4212,42.12,2.942538315125115,0,0,0,8424,1960,815,0.41581632653061223,4.075,2.745480220375056,4560,1602,0.3513157894736842,8.01,3.4356837549589527,13480,6007,0.44562314540059345,30.035,2.8377577845120787,0.09674738841405509,0.19017094017094016,0.7130816714150048,20000,9176,12710,0.4588,45.88,4.913778623025555,0,0,0,9176,1960,1040,0.5306122448979592,5.2,4.725028446538327,4560,1781,0.3905701754385965,8.905,5.566486232360043,13480,6355,0.4714391691394659,31.775,4.761745252659229,0.11333914559721012,0.1940932868352223,0.6925675675675675,20000,6383,14870,0.31915,31.915,4.97995780979744,0,0,0,6384,1960,645,0.32908163265306123,3.225,5.095367847625531,4560,1479,0.3243421052631579,7.395,5.095293722515336,13480,4259,0.31594955489614246,21.295,4.922427570466874,0.10104966316778945,0.23170922763590787,0.6672411091963026,20000,6383,14870,0.31915,31.915,4.97995780979744,0,0,0,6384,1960,645,0.32908163265306123,3.225,5.095367847625531,4560,1479,0.3243421052631579,7.395,5.095293722515336,13480,4259,0.31594955489614246,21.295,4.922427570466874,0.10104966316778945,0.23170922763590787,0.6672411091963026
600,42,periodic,1,24000,9576,14773,0.399,47.88,3.2917097578622045,0,0,0,9576,2320,957,0.4125,4.785,3.0703336069827167,5720,1867,0.3263986013986014,9.335,3.833829368505521,15960,6752,0.4230576441102757,33.76,3.1731848264819615,0.09993734335839599,0.19496658312447787,0.7050960735171261,24000,9977,15945,0.41570833333333335,49.885,4.86107124320099,0,0,0,9977,2320,1142,0.49224137931034484,5.71,4.389323111138314,5720,2037,0.3561188811188811,10.185,5.683394860275229,15960,6798,0.4259398496240602,33.99,4.693913720228844,0.11446326551067455,0.2041695900571314,0.681367144432194,24000,6384,18732,0.266,31.92,5.010382324156567,0,0,0,6384,2320,479,0.20646551724137932,2.395,6.094036749004661,5720,1513,0.2645104895104895,7.565,4.6966763711989605,15960,4392,0.27518796992481204,21.96,5.000265438301061,0.075031328320802,0.23699874686716793,0.6879699248120301,24000,6384,18671,0.266,31.92,5.046362825611258,0,0,0,6384,2320,650,0.2801724137931034,3.25,4.860983571118127,5720,1460,0.25524475524475526,7.3,5.335250378806104,15960,4274,0.26779448621553886,21.37,4.975871643523298,0.10181704260651629,0.2286967418546366,0.6694862155388471
700,42,periodic,1,28000,11172,17191,0.399,55.86,3.2445269709759077,0,0,0,11172,2560,986,0.38515625,4.93,3.1582238466023456,6680,2223,0.33278443113772455,11.115,3.601482832983899,18760,7963,0.4244669509594883,39.815,3.1555632637535758,0.08825635517364841,0.1989795918367347,0.7127640529896169,28000,11967,18473,0.42739285714285713,59.835,4.911859145381205,0,0,0,11967,2560,1204,0.4703125,6.02,4.542771224928988,6680,2677,0.400748502994012,13.385,5.431018082969918,18760,8086,0.43102345415778254,40.43,4.794940196617845,0.10061001086320716,0.22369850421993817,0.6756914849168547,28000,6384,22669,0.228,31.92,4.94879738336275,0,0,0,6384,2560,509,0.198828125,2.545,4.729128705649434,6680,1401,0.20973053892215568,7.005,6.254716168710468,18760,4474,0.2384861407249467,22.37,4.564849940064566,0.07973057644110276,0.21945488721804512,0.7008145363408521,28000,6388,22631,0.22814285714285715,31.94,4.96340880185536,0,0,0,6388,2560,654,0.25546875,3.27,4.645333991712923,6680,1477,0.22110778443113774,7.385,5.074944175112849,18760,4257,0.22691897654584223,21.285,4.973576332870593,0.1023794614902943,0.23121477770820287,0.6664057608015028
800,42,periodic,1,32000,11174,21098,0.3491875,55.87,3.2941605734178614,0,0,0,11174,2880,959,0.3329861111111111,4.795,3.1421774561056783,7800,2202,0.2823076923076923,11.01,3.6351066816448143,21320,8013,0.37584427767354595,40.065,3.218656826904275,0.08582423483085734,0.19706461428315733,0.7171111508859853,32000,11969,22381,0.37403125,59.845,4.979577065930309,0,0,0,11969,2880,1153,0.40034722222222224,5.765,4.96947869489923,7800,2454,0.31461538461538463,12.27,5.560985988996302,21320,8362,0.3922138836772983,41.81,4.8103431415814555,0.09633219149469463,0.20502965995488345,0.698638148550422,32000,6384,26490,0.1995,31.92,4.951059213917409,0,0,0,6384,2880,575,0.1996527777777778,2.875,4.610095147614551,7800,1713,0.21961538461538463,8.565,4.936864973851083,21320,4096,0.19212007504690432,20.48,5.004860256729361,0.09006892230576441,0.2683270676691729,0.6416040100250626,32000,6388,26531,0.199625,31.94,4.988958494662195,0,0,0,6388,2880,641,0.22256944444444443,3.205,5.094573826065609,7800,1483,0.19012820512820514,7.415,5.49407019232221,21320,4264,0.2,21.32,4.797405944226128,0.10034439574201628,0.23215403882279273,0.667501565435191
900,42,periodic,1,36000,14282,22173,0.3967222222222222,71.41,3.275681990839405,0,0,0,14282,3120,1207,0.3868589743589744,6.035,3.148251406880857,8840,3117,0.35260180995475116,15.585,3.3772629844027713,24040,9958,0.41422628951747087,49.79,3.2593313941232926,0.08451197311300938,0.21824674415347992,0.6972412827335107,36000,13965,24686,0.3879166666666667,69.825,4.8496642232136455,0,0,0,13965,3120,1288,0.4128205128205128,6.44,4.816688754786559,8840,3088,0.34932126696832577,15.44,5.324246332716909,24040,9589,0.39887687188019966,47.945,4.701261141472903,0.09223057644110276,0.22112423916935195,0.6866451843895452,36000,6384,30441,0.17733333333333334,31.92,4.943715620809956,0,0,0,6384,3120,630,0.20192307692307693,3.15,4.595823770111284,8840,1635,0.18495475113122173,8.175,5.028634306211362,24040,4119,0.17133943427620632,20.595,4.963217882356173,0.09868421052631579,0.25610902255639095,0.6452067669172933,36000,6388,30391,0.17744444444444443,31.94,4.879468513013807,0,0,0,6388,3120,647,0.20737179487179488,3.235,5.01251217033049,8840,1468,0.16606334841628959,7.34,5.169118074989074,24040,4273,0.17774542429284526,21.365,4.7598137497880675,0.10128365685660613,0.2298058860363181,0.6689104571070758
1000,42,periodic,1,40000,15685,24632,0.392125,78.425,3.1411266536146143,0,0,0,15686,3640,1333,0.3662087912087912,6.665,3.1556374014022905,10040,3543,0.35288844621513943,17.715,3.204118051565499,26320,10809,0.41067629179331305,54.045,3.1186896705689158,0.08498565508447561,0.22588460312400382,0.6891297417915205,40000,15560,27398,0.389,77.8,4.829348632051855,0,0,0,15561,3640,1400,0.38461538461538464,7.0,5.663372268741984,10040,3507,0.3493027888446215,17.535,5.010396373934341,26320,10653,0.40474924012158053,53.265,4.660141129738135,0.08997429305912596,0.22538560411311054,0.6846401028277634,40000,6384,34313,0.1596,31.92,5.065059649154269,0,0,0,6384,3640,601,0.1651098901098901,3.005,4.548324187680338,10040,1712,0.17051792828685258,8.56,5.602340236165976,26320,4071,0.15467325227963527,20.355,4.915399528147584,0.09414160401002507,0.2681704260651629,0.637687969924812,40000,6388,34327,0.1597,31.94,4.965822865365607,0,0,0,6388,3640,642,0.17637362637362639,3.21,4.814191011890331,10040,1481,0.14750996015936255,7.405,5.107311640094726,26320,4265,0.16204407294832826,21.325,4.939516364675644,0.10050093926111459,0.23184095178459613,0.6676581089542893
