mode,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
tabular,100,0.973333,0.901229,1.045437,19.933867,18.457175,21.410558,1024.634591,462.81429,1586.454892,3053.514931,1122.759637,4984.270226,0.026667,-0.045437,0.098771,0.997138,0.987219,1.007057,0.290342,0.152454,0.428231,0.290261,0.152695,0.427826,442.470924,406.930414,478.011434,53.442241,52.740376,54.144106,221.913318,194.832589,248.994047,54.13237,45.900903,62.363838,18964.537229,16043.938385,21885.136072
tabular,200,0.693056,0.54477,0.841341,28.387556,22.313768,34.461343,2384.702464,1907.53379,2861.871137,6221.170255,4781.258928,7661.081581,0.306944,0.158659,0.45523,0.951441,0.908862,0.99402,0.457723,0.370128,0.545318,0.45737,0.370492,0.544247,462.521069,386.152458,538.88968,52.874081,51.16222,54.585942,245.022796,177.708193,312.337399,36.79455,34.832313,38.756788,27838.667156,26370.233856,29307.100455
tabular,400,0.345139,0.079234,0.611044,28.273778,6.490842,50.056714,4130.448578,2248.96574,6011.931416,10938.728337,4674.009754,17203.446919,0.654861,0.388956,0.920766,0.745587,0.584251,0.906922,0.480942,0.41907,0.542815,0.480629,0.419043,0.542215,446.045805,374.198304,517.893307,52.657715,51.262269,54.053161,256.939154,203.387559,310.49075,18.818886,6.577364,31.060408,57405.447837,14654.90565,100155.990024
tabular,600,0.237847,0.134497,0.341197,29.226667,16.526993,41.92634,5928.475471,3750.453761,8106.497182,16633.350371,8673.15857,24593.542172,0.762153,0.658803,0.865503,0.705425,0.655909,0.754941,0.451408,0.442495,0.46032,0.451337,0.442346,0.460328,462.666898,421.579836,503.753959,51.981944,51.088703,52.875185,285.232462,250.272284,320.19264,12.60158,7.930615,17.272545,82599.408255,49133.888605,116064.927905
tabular,800,0.173264,0.10078,0.245748,28.387556,16.511751,40.26336,7245.685885,6018.505707,8472.866063,19404.267665,15080.880076,23727.655254,0.826736,0.754252,0.89922,0.690185,0.617663,0.762706,0.431236,0.396576,0.465896,0.431236,0.396576,0.465896,483.803823,436.777732,530.829915,51.302139,50.15986,52.444417,313.122645,267.723306,358.521983,8.795321,5.285241,12.305402,118583.789525,68375.671883,168791.907167
tabular,1000,0.149833,0.129055,0.170612,30.685867,26.430429,34.941304,8582.146706,7295.321491,9868.97192,24017.625481,19592.721432,28442.529531,0.850167,0.829388,0.870945,0.692193,0.629733,0.754653,0.412148,0.361929,0.462368,0.412148,0.361929,0.462368,534.30454,504.461454,564.147626,49.950472,49.179946,50.720997,367.475548,336.620491,398.330604,6.899389,5.589871,8.208906,149020.97654,119647.362765,178394.590316
tabular_ddqn,100,0.951389,0.846782,1.055996,19.484444,17.342087,21.626802,1335.573138,139.476115,2531.670162,3572.503861,255.013685,6889.994037,0.048611,-0.055996,0.153218,0.998178,0.994083,1.002273,0.273407,0.120348,0.426466,0.273407,0.120348,0.426466,437.655425,381.346777,493.964072,53.497634,52.242601,54.752667,220.038579,170.70276,269.374398,53.594694,40.947373,66.242016,19217.220978,14865.745632,23568.696324
tabular_ddqn,200,0.837917,0.683142,0.992691,34.321067,27.98151,40.660624,2280.890656,1776.980061,2784.801251,5685.575128,4063.352316,7307.797941,0.162083,0.007309,0.316858,0.982208,0.952475,1.011941,0.372111,0.197372,0.546849,0.372111,0.197372,0.546849,486.53324,410.932583,562.133896,52.293503,50.604303,53.982703,268.013324,201.623739,334.40291,42.505728,29.596773,55.414683,24318.850091,17365.523573,31272.17661
tabular_ddqn,400,0.408889,0.264088,0.553689,33.496178,21.634118,45.358237,4097.499396,3566.059245,4628.939547,10648.812936,7782.026805,13515.599067,0.591111,0.446311,0.735912,0.787155,0.720508,0.853802,0.446012,0.374775,0.517248,0.445945,0.374479,0.51741,446.465071,424.685535,468.244607,52.71131,52.055646,53.366975,254.45474,227.661964,281.247517,22.532545,14.092013,30.973077,46198.825809,27553.376497,64844.275122
tabular_ddqn,600,0.278171,0.263911,0.292432,34.181689,32.429367,35.934011,5196.821065,4720.448806,5673.193324,13518.515441,11668.286271,15368.744611,0.721829,0.707568,0.736089,0.729103,0.690016,0.768191,0.44489,0.411569,0.47821,0.444829,0.411604,0.478053,463.042024,441.228329,484.855719,52.040036,51.479831,52.60024,282.561496,260.135594,304.987399,14.77117,13.329786,16.212555,69394.325632,62743.380303,76045.270962
tabular_ddqn,800,0.173212,0.123941,0.222483,28.379022,20.306497,36.451548,7947.76408,3887.50963,12008.018529,23389.30654,4917.214552,41861.398527,0.826788,0.777517,0.876059,0.698394,0.61038,0.786408,0.441099,0.367907,0.514292,0.440982,0.368294,0.513669,487.693765,415.045342,560.342189,51.210765,49.443269,52.978261,316.737239,246.499906,386.974572,8.734407,6.317214,11.151599,118177.060341,86706.619533,149647.501149
