mode,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
tabular,100,42,0.940833,19.268267,1284.783999,3934.04493,0.059167,0.992556,0.349253,0.349008,456.622349,53.167814,232.470809,50.636856,20222.424666
tabular,100,7,0.996667,20.411733,874.984164,2463.267409,0.003333,0.999871,0.23903,0.23903,428.015541,53.732205,210.699322,57.227081,17893.626293
tabular,100,99,0.9825,20.1216,914.135609,2763.232455,0.0175,0.998987,0.282744,0.282744,442.774882,53.426704,222.569821,54.533175,18777.560727
tabular,200,42,0.692708,28.373333,2196.268192,5777.902993,0.307292,0.945103,0.496002,0.495387,466.843784,52.889943,243.768054,36.46616,28080.829092
tabular,200,7,0.633542,25.949867,2580.214034,6877.046424,0.366458,0.938375,0.450592,0.450148,429.848491,53.555075,218.576378,36.221879,28270.206604
tabular,200,99,0.752917,30.839467,2377.625165,6008.561347,0.247083,0.970847,0.426574,0.426574,490.870931,52.177226,272.723957,37.695612,27164.965771
tabular,400,42,0.387917,31.778133,3632.078927,9409.390799,0.612083,0.739683,0.485011,0.484707,466.80326,52.226071,273.695498,20.422822,50139.984914
tabular,400,7,0.424167,34.747733,3757.314297,9557.531164,0.575833,0.813277,0.454254,0.454053,458.321498,52.454292,264.50043,22.744558,45021.758126
tabular,400,99,0.223333,18.295467,5001.95251,13849.263048,0.776667,0.683799,0.503563,0.503126,413.012659,53.292782,232.621535,13.289278,77054.600471
tabular,600,42,0.270139,33.194667,5044.941382,12979.84601,0.729861,0.70099,0.454146,0.454052,481.273017,51.569085,301.420212,13.794526,74232.342008
tabular,600,7,0.2525,31.0272,5942.305347,18965.577996,0.7475,0.7272,0.452731,0.452731,457.08929,52.15048,278.361382,13.575991,75427.275638
tabular,600,99,0.190903,23.458133,6798.179685,17954.627107,0.809097,0.688084,0.447347,0.447228,449.638385,52.226267,275.915793,10.434222,98138.607118
tabular,800,42,0.192917,31.607467,7016.298115,18019.851752,0.807083,0.723242,0.415302,0.415302,472.49585,51.615957,300.444635,10.034205,102050.939444
tabular,800,7,0.13974,22.894933,7812.63962,21357.839861,0.86026,0.679359,0.43715,0.43715,473.258886,51.516103,304.853498,7.256578,141113.346546
tabular,800,99,0.187135,30.660267,6908.11992,18835.111382,0.812865,0.667952,0.441257,0.441257,505.656735,50.774356,334.069802,9.095182,112587.082585
tabular,1000,42,0.140208,28.714667,8001.040281,21965.829312,0.859792,0.663422,0.434711,0.434711,546.665424,49.633484,380.159475,6.303234,162456.292305
tabular,1000,7,0.153958,31.530667,8750.084064,24921.101294,0.846042,0.70322,0.39569,0.39569,533.574449,49.964625,366.929328,7.091194,144404.451675
tabular,1000,99,0.155333,31.812267,8995.315772,25165.945838,0.844667,0.709935,0.406044,0.406044,522.673748,50.253305,355.33784,7.303738,140202.185642
tabular_ddqn,100,42,1.0,20.48,814.070407,2127.032064,0.0,1.0,0.208592,0.208592,414.165038,54.034639,198.85501,59.338664,17256.876587
tabular_ddqn,100,7,0.927917,19.003733,1763.133023,4760.158485,0.072083,0.99679,0.331212,0.331212,459.394316,53.03184,238.233766,49.640318,20628.393167
tabular_ddqn,100,99,0.92625,18.9696,1429.515984,3830.321033,0.07375,0.997745,0.280417,0.280417,439.40692,53.426423,223.026961,51.805101,19766.393179
tabular_ddqn,200,42,0.845208,34.619733,2392.747239,5763.905659,0.154792,0.976126,0.410461,0.410461,515.352092,51.65727,292.960161,40.306114,25405.575133
tabular_ddqn,200,7,0.89625,36.7104,2046.754362,4996.96322,0.10375,0.995996,0.290934,0.290934,454.712748,53.01002,239.811795,48.4399,21139.597753
tabular_ddqn,200,99,0.772292,31.633067,2403.170367,6295.856506,0.227708,0.974502,0.414937,0.414937,489.53488,52.213219,271.268018,38.77117,26411.377388
tabular_ddqn,400,42,0.345521,28.305067,4341.997212,11981.08413,0.654479,0.756268,0.47654,0.47654,453.875681,52.453251,265.135529,18.708912,54733.274767
tabular_ddqn,400,7,0.420938,34.4832,3944.824388,9963.28946,0.579063,0.800553,0.441848,0.441848,436.787514,52.980723,243.569101,23.684193,43235.586642
tabular_ddqn,400,99,0.460208,37.700267,4005.676588,10002.065218,0.539792,0.804644,0.419646,0.419446,448.732019,52.699957,254.65959,25.204531,40627.61602
tabular_ddqn,600,42,0.275139,33.809067,5340.653205,13950.639785,0.724861,0.733982,0.433506,0.433506,464.308744,51.98876,284.704968,14.563183,70314.297463
tabular_ddqn,600,7,0.284792,34.9952,5270.686894,13946.359273,0.715208,0.74182,0.441489,0.441397,453.696977,52.286752,272.655776,15.426684,66378.489667
tabular_ddqn,600,99,0.274583,33.7408,4979.123096,12658.547265,0.725417,0.711508,0.459675,0.459583,471.120351,51.844595,290.323746,14.323644,71490.189766
tabular_ddqn,800,42,0.15099,24.738133,9746.110087,31864.286536,0.84901,0.663001,0.42619,0.42619,468.19373,51.65999,299.023994,7.925608,129201.443205
tabular_ddqn,800,7,0.189115,30.984533,7544.103405,20341.972048,0.810885,0.733856,0.422072,0.422072,473.570385,51.581818,301.845399,9.814127,104339.385393
tabular_ddqn,800,99,0.179531,29.4144,6553.078747,17961.661035,0.820469,0.698326,0.475035,0.474682,521.317181,50.390488,349.342325,8.463485,120990.352425
tabular_ddqn,1000,42,0.216125,44.2624,8572.303755,25467.22058,0.783875,0.800853,0.258677,0.258677,515.077876,50.448181,347.513328,10.31201,99301.69197
tabular_ddqn,1000,7,0.133875,27.4176,9772.281791,32655.042746,0.866125,0.691127,0.39376,0.39376,551.2422,49.477159,386.604029,5.968542,171566.199781
