label,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
tabular+,100,0.979167,0.955494,1.00284,20.053333,19.568514,20.538153,919.695506,862.467363,976.92365,2548.513353,1839.049167,3257.977539,0.020833,-0.00284,0.044506,0.998843,0.997099,1.000586,0.282125,0.236783,0.327466,0.282125,0.236783,0.327466,444.016079,426.415538,461.616621,53.388709,52.871733,53.905685,224.120052,203.132793,245.107311,54.199895,53.326384,55.073407,18893.555474,18589.041411,19198.069538
tabular+,200,0.927083,0.905469,0.948698,37.973333,37.088008,38.858658,1773.488163,1712.379975,1834.596351,4344.94936,4177.918058,4511.980661,0.072917,0.051302,0.094531,0.994128,0.990186,0.998071,0.399862,0.386803,0.412922,0.399862,0.386803,0.412922,517.142338,511.323615,522.961061,51.726732,51.584874,51.86859,289.583957,283.949557,295.218356,44.05686,43.525256,44.588465,23243.055778,22963.30525,23522.806306
tabular+,400,0.402535,0.372576,0.432494,32.975644,30.52139,35.429899,3565.087776,3257.929454,3872.246097,8776.9141,8218.927315,9334.900885,0.597465,0.567506,0.627424,0.764407,0.711829,0.816985,0.489554,0.473461,0.505648,0.48893,0.472819,0.50504,480.302943,463.852343,496.753543,51.907601,51.456612,52.35859,286.29586,268.058155,304.533565,20.600831,18.768221,22.433441,49749.725065,45274.77675,54224.67338
tabular+,600,0.251019,0.223405,0.278632,30.845156,27.452058,34.238253,4728.509185,4538.036712,4918.981658,12218.43861,11704.117776,12732.759444,0.748981,0.721368,0.776595,0.694626,0.67062,0.718632,0.487179,0.473756,0.500602,0.487086,0.4738,0.500372,506.832451,486.044356,527.620546,50.922391,50.371277,51.473505,327.25349,305.111849,349.395131,12.176783,10.550755,13.80281,84261.948764,72650.302184,95873.595344
tabular+,800,0.197691,0.170666,0.224716,32.389689,27.961982,36.817396,6295.940168,5095.512406,7496.36793,16728.694995,13532.450246,19924.939744,0.802309,0.775284,0.829334,0.686266,0.678104,0.694429,0.450233,0.426507,0.473958,0.450144,0.426238,0.47405,513.177496,509.003066,517.351925,50.612065,50.45628,50.76785,340.408016,333.881533,346.934499,9.46806,8.133698,10.802422,108393.224351,92618.900144,124167.548558
tabular+,1000,0.149139,0.135693,0.162585,30.543644,27.789942,33.297347,7561.903294,7128.684877,7995.121711,20218.345219,19553.541482,20883.148956,0.850861,0.837415,0.864307,0.66381,0.639385,0.688236,0.439837,0.416309,0.463365,0.439837,0.416309,0.463365,572.44858,551.045394,593.851766,48.993151,48.419922,49.56638,405.667736,382.612505,428.722968,6.405973,5.593239,7.218706,160129.389742,139793.539586,180465.239898
tab_ddqn+,100,0.985556,0.973293,0.997818,20.184178,19.933041,20.435314,888.152484,856.943422,919.361546,2291.500503,2006.865735,2576.135271,0.014444,0.002182,0.026707,0.999372,0.998647,1.000097,0.269237,0.258095,0.280379,0.269237,0.258095,0.280379,446.690679,428.708254,464.673104,53.300763,52.835759,53.765768,227.729696,209.11248,246.346912,54.22981,52.710574,55.749047,18884.209797,18353.32309,19415.096505
tab_ddqn+,200,0.922569,0.837454,1.007685,37.788444,34.302122,41.274767,1766.79489,1624.414013,1909.175766,4343.444645,4018.426167,4668.463123,0.077431,-0.007685,0.162546,0.990252,0.97334,1.007164,0.403954,0.346041,0.461867,0.403915,0.345982,0.461848,513.416086,497.687542,529.144629,51.824143,51.330318,52.317968,285.68111,265.491904,305.870316,44.16037,40.408468,47.912272,23205.977726,21270.007079,25141.948373
tab_ddqn+,400,0.418854,0.383915,0.453793,34.312533,31.45034,37.174726,3327.683025,3186.116258,3469.249792,8253.838173,8110.754512,8396.921833,0.581146,0.546207,0.616085,0.765994,0.765222,0.766765,0.495712,0.485921,0.505503,0.495524,0.485995,0.505053,479.71215,461.786403,497.637896,51.968336,51.452454,52.484218,283.637438,262.715286,304.55959,21.46857,18.871954,24.065185,47771.475732,42118.641355,53424.310109
tab_ddqn+,600,0.2675,0.238244,0.296756,32.8704,29.275443,36.465357,4830.089355,4680.699181,4979.479529,12066.761262,11854.981188,12278.541336,0.7325,0.703244,0.761756,0.699651,0.654363,0.744939,0.473236,0.45321,0.493262,0.472872,0.452891,0.492854,484.420716,472.018851,496.822581,51.50971,51.160472,51.858949,303.692214,289.558361,317.826068,13.576042,11.740225,15.411859,75573.282958,65554.797999,85591.767918
