label,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
tabular+,100,42,0.98625,20.1984,904.645925,2371.022145,0.01375,0.99932,0.267602,0.267602,450.122931,53.210696,231.340307,53.84769,19016.600375
tabular+,100,7,0.968333,19.831467,946.214243,2877.936279,0.031667,0.998037,0.302611,0.302611,436.248704,53.617489,214.829544,54.550901,18771.458849
tabular+,100,99,0.982917,20.130133,908.22635,2396.581635,0.017083,0.999171,0.276161,0.276161,445.676604,53.337942,226.190305,54.201095,18892.607199
tabular+,200,42,0.937083,38.382933,1750.764295,4310.997048,0.062917,0.995924,0.39439,0.39439,519.84459,51.661751,292.157164,44.30124,23114.477096
tabular+,200,7,0.922917,37.802667,1770.093741,4301.462274,0.077083,0.993545,0.400323,0.400323,515.886607,51.749549,288.718816,43.966251,23290.591753
tabular+,200,99,0.92125,37.7344,1799.606452,4422.388758,0.07875,0.992916,0.404874,0.404874,515.695817,51.768897,287.87589,43.90309,23324.098484
tabular+,400,42,0.415729,34.056533,3434.992425,8549.828955,0.584271,0.755358,0.496923,0.49626,480.772941,51.938867,284.827728,21.251113,48185.711965
tabular+,400,7,0.399792,32.750933,3681.054273,8998.947283,0.600208,0.788591,0.486988,0.486589,473.458742,52.071471,279.799797,20.752136,49344.319174
tabular+,400,99,0.392083,32.119467,3579.216628,8781.966062,0.607917,0.749272,0.484753,0.48394,486.677146,51.712466,294.260056,19.799245,51719.144055
tabular+,600,42,0.23875,29.3376,4789.593971,12196.350062,0.76125,0.683544,0.492836,0.492647,513.740386,50.72989,335.033229,11.421177,89658.008063
tabular+,600,7,0.253889,31.197867,4753.461551,12435.622502,0.746111,0.701292,0.486631,0.486631,497.52801,51.164992,317.529306,12.54115,81651.205121
tabular+,600,99,0.260417,32.0,4642.472032,12023.343266,0.739583,0.699043,0.482071,0.48198,509.228957,50.872291,329.197935,12.568021,81476.633109
tabular+,800,42,0.18526,30.353067,6849.377543,18214.261934,0.81474,0.683078,0.439386,0.439203,514.424394,50.546944,343.179184,8.850591,115698.486167
tabular+,800,7,0.205469,33.664,5957.896048,15992.924128,0.794531,0.686079,0.457376,0.457293,513.841422,50.617211,340.091013,9.827156,104201.048771
tabular+,800,99,0.202344,33.152,6080.546912,15978.898923,0.797656,0.689642,0.453936,0.453936,511.266671,50.672041,337.953851,9.726431,105280.138115
tabular+,1000,42,0.149625,30.6432,7487.371012,19951.175362,0.850375,0.658494,0.450277,0.450277,574.145963,48.957296,407.065084,6.404615,159884.701498
tabular+,1000,7,0.154292,31.598933,7437.175543,20217.491138,0.845708,0.657782,0.437439,0.437439,563.110976,49.239717,395.768071,6.733792,152068.856542
tabular+,1000,99,0.1435,29.3888,7761.163328,20486.369157,0.8565,0.675156,0.431797,0.431797,580.088801,48.78244,414.170054,6.079511,168434.611187
tab_ddqn+,100,42,0.9825,20.1216,891.020279,2299.146496,0.0175,0.999239,0.269984,0.269984,440.89459,53.447209,221.881851,54.765743,18697.819773
tab_ddqn+,100,7,0.99125,20.3008,874.404213,2173.297347,0.00875,0.999707,0.264426,0.264426,454.80382,53.089883,236.177165,53.563666,19117.436747
tab_ddqn+,100,99,0.982917,20.130133,899.03296,2402.057665,0.017083,0.999171,0.273302,0.273302,444.373626,53.365198,225.130072,54.360022,18837.372873
tab_ddqn+,200,42,0.96125,39.3728,1712.142084,4192.385098,0.03875,0.997741,0.382383,0.382383,514.770452,51.789279,287.060569,45.891678,22313.413621
tab_ddqn+,200,7,0.896042,36.701867,1761.804136,4420.182724,0.103958,0.984439,0.428684,0.428684,506.51742,52.038044,276.953076,43.475543,23553.472227
tab_ddqn+,200,99,0.910417,37.290667,1826.438449,4417.766114,0.089583,0.988575,0.400796,0.400679,518.960384,51.645106,293.029685,43.113888,23751.04733
tab_ddqn+,400,42,0.413021,33.834667,3391.30976,8320.310464,0.586979,0.765798,0.499811,0.499432,481.071832,51.931187,285.136341,21.099552,48531.836779
tab_ddqn+,400,7,0.434896,35.626667,3281.348283,8218.819764,0.565104,0.765831,0.49195,0.491765,471.913537,52.192057,274.56701,22.648217,45213.272999
tab_ddqn+,400,99,0.408646,33.476267,3310.391033,8222.384289,0.591354,0.766352,0.495375,0.495375,486.151081,51.781764,291.208962,20.65794,49569.317418
tab_ddqn+,600,42,0.257361,31.624533,4834.35784,11980.433772,0.742639,0.685967,0.480815,0.480539,487.986585,51.407178,307.852179,12.961231,79004.84373
