policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,100,0.600139,0.578197,0.622081,12.290844,11.841464,12.740224,1929.827474,1866.084267,1993.570682,4610.450543,4531.785925,4689.115161,0.399861,0.377919,0.421803,0.981434,0.974761,0.988106,0.892696,0.881275,0.904117,0.847805,0.839772,0.855839,1.0,1.0,1.0,2649.135476,2648.794489,2649.476462,0.0,0.0,0.0,2344.554116,2344.537224,2344.571008,5.567484,5.363222,5.771747,183951.730536,177225.18541,190678.275662
static,100,0.498889,0.490085,0.507693,10.217244,10.036943,10.397546,3051.622688,2960.110714,3143.134663,7981.647754,7385.65809,8577.637417,0.501111,0.492307,0.509915,0.778848,0.743436,0.814259,0.472523,0.462991,0.482055,0.471491,0.463607,0.479375,1.0,1.0,1.0,436.472007,433.935735,439.008278,53.186936,53.126502,53.24737,234.323409,231.927332,236.719486,28.090828,27.444099,28.737557,36455.262263,35617.843675,37292.680852
laca,100,1.0,1.0,1.0,20.48,20.48,20.48,686.89413,681.594628,692.193633,1682.78005,1584.277247,1781.282853,0.0,0.0,0.0,1.0,1.0,1.0,0.18288,0.158356,0.207404,0.18288,0.158356,0.207404,1.0,1.0,1.0,447.63034,437.73801,457.52267,53.129985,52.918109,53.341862,235.270262,227.000608,243.539916,54.905341,53.691871,56.118811,18651.264177,18239.083752,19063.444603
tabular,100,0.989028,0.965415,1.01264,20.255289,19.771707,20.738871,992.242515,384.214912,1600.270118,2581.165748,1526.527159,3635.804337,0.010972,-0.01264,0.034585,0.999368,0.998006,1.000729,0.265976,0.117992,0.413961,0.265976,0.117992,0.413961,1.0,1.0,1.0,433.157078,396.706906,469.607251,53.652258,53.009426,54.295089,213.646677,189.300991,237.992363,56.152658,51.786156,60.51916,18247.822847,16840.341718,19655.303977
tab_ddqn,100,0.987778,0.95494,1.020615,20.229689,19.557176,20.902201,1192.138013,409.51423,1974.761796,3271.309399,1732.054745,4810.564053,0.012222,-0.020615,0.04506,0.999396,0.997866,1.000926,0.202893,0.070405,0.335381,0.202893,0.070405,0.335381,1.0,1.0,1.0,394.793813,322.001934,467.585693,54.506485,52.825159,56.187811,180.109687,113.747744,246.471629,61.75746,48.213991,75.300928,16663.359544,13186.204162,20140.514925
dqn,100,0.992778,0.977413,1.008143,20.332089,20.017409,20.646769,1058.253926,614.168315,1502.339536,2988.007345,1172.693592,4803.321097,0.007222,-0.008143,0.022587,0.999701,0.999074,1.000328,0.19385,0.007797,0.379903,0.19385,0.007797,0.379903,1.0,1.0,1.0,422.349547,259.855669,584.843426,53.79628,49.932465,57.660096,208.533199,55.444671,361.621727,58.701363,36.224711,81.178015,17722.832603,10959.966771,24485.698435
ddqn,100,0.968889,0.888505,1.049273,19.842844,18.196578,21.489111,1411.323147,524.343751,2298.302543,3731.776553,937.262489,6526.290616,0.031111,-0.049273,0.111495,0.997832,0.990994,1.004671,0.21935,0.040734,0.397967,0.21935,0.040734,0.397967,1.0,1.0,1.0,420.812892,351.990903,489.634882,53.849888,52.349909,55.349867,206.329223,147.601972,265.056473,56.781121,44.965973,68.596268,18120.66003,14268.56638,21972.75368
ppo,100,0.862917,0.725734,1.000099,17.672533,14.863035,20.482032,2298.384229,1841.968707,2754.799751,6835.441926,6205.306711,7465.577141,0.137083,-9.9e-05,0.274266,0.99078,0.977506,1.004054,0.302448,0.277172,0.327725,0.302448,0.277172,0.327725,1.0,1.0,1.0,435.340559,377.932832,492.748287,53.463335,52.136718,54.789952,221.909879,169.60175,274.218008,48.700128,46.003743,51.396513,21033.640832,19862.747542,22204.534123
no_raw,200,0.244653,0.240312,0.248993,10.020978,9.843187,10.198769,2811.903655,2664.822249,2958.985061,4876.411438,4805.738394,4947.084482,0.755347,0.751007,0.759688,0.966897,0.96479,0.969004,0.92307,0.921616,0.924525,0.851191,0.849606,0.852777,1.0,1.0,1.0,2559.208131,2559.185097,2559.231165,0.0,0.0,0.0,2355.927578,2355.926553,2355.928602,2.349393,2.30769,2.391097,435871.957069,428166.099768,443577.81437
static,200,0.472083,0.460383,0.483783,19.336533,18.857308,19.815759,3177.111697,3141.463024,3212.760369,8318.659079,7768.736051,8868.582107,0.527917,0.516217,0.539617,0.731152,0.700557,0.761747,0.474634,0.462912,0.486356,0.474036,0.462511,0.485562,1.0,1.0,1.0,443.22147,441.677247,444.765692,52.965329,52.928243,53.002414,243.43669,241.963872,244.909507,26.176626,25.437684,26.915568,39122.257287,38010.913424,40233.60115
