policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
tabular,100,42,0.98375,20.1472,885.192398,2750.165917,0.01625,0.999072,0.323284,0.323284,1.0,442.919788,53.519215,218.39691,54.584692,18759.838534
tabular,100,7,1.0,20.48,819.261559,2098.178388,0.0,1.0,0.270263,0.270263,1.0,440.266731,53.487093,220.165937,55.820707,18344.447138
tabular,100,99,0.983333,20.138667,1272.273587,2895.152938,0.016667,0.999031,0.204382,0.204382,1.0,416.284716,53.950465,202.377184,58.052576,17639.18287
tabular,200,42,0.919375,37.6576,2098.030511,4958.102939,0.080625,0.995643,0.295535,0.295535,1.0,466.558406,52.752447,249.880055,48.428149,21144.727207
tabular,200,7,0.9375,38.4,2093.313113,4933.527749,0.0625,0.996692,0.293378,0.293378,1.0,473.074825,52.603055,255.762359,48.702655,21025.547784
tabular,200,99,0.853542,34.961067,2198.419696,5005.002059,0.146458,0.989577,0.280118,0.280118,1.0,441.671114,53.265692,229.986823,47.493801,21560.7085
tabular,400,42,0.445625,36.5056,4282.415741,10492.442416,0.554375,0.842632,0.408781,0.408781,1.0,432.298056,53.062258,240.46511,25.333632,40420.575641
tabular,400,7,0.471458,38.621867,3977.961702,9919.864727,0.528542,0.839646,0.405577,0.405476,1.0,457.226881,52.476078,263.640575,25.340942,40408.915672
tabular,400,99,0.520312,42.624,4169.325767,10173.611674,0.479688,0.882937,0.335039,0.335039,1.0,425.835703,53.250365,232.796745,30.028483,34100.957226
tabular,600,42,0.335903,41.275733,5261.092138,13933.077218,0.664097,0.792357,0.376137,0.376137,1.0,446.135497,52.493739,264.28908,18.503676,55340.355172
tabular,600,7,0.327083,40.192,5154.61327,13527.898431,0.672917,0.785077,0.388231,0.388231,1.0,449.921512,52.394958,268.253275,17.866227,57314.842288
tabular,600,99,0.304931,37.469867,5462.243806,14200.570449,0.695069,0.787791,0.396114,0.396114,1.0,448.693523,52.400389,268.171316,16.701764,61310.889018
tabular,800,42,0.246198,40.337067,6809.686187,20119.134301,0.753802,0.787644,0.3062,0.3062,1.0,483.358448,51.334693,311.684844,12.51775,81803.841438
tabular,800,7,0.263229,43.127467,6718.243059,18970.124569,0.736771,0.8051,0.314548,0.314548,1.0,473.221259,51.62563,299.889531,13.670392,74906.412115
tabular,800,99,0.24401,39.978667,6474.8337,17128.526526,0.75599,0.766362,0.377413,0.377413,1.0,497.061353,51.03581,323.386677,12.064507,84877.071975
tabular,1000,42,0.174208,35.677867,8719.958485,23844.217299,0.825792,0.748205,0.346611,0.346611,1.0,544.959573,49.672478,378.607183,7.85626,130341.921213
tabular,1000,7,0.176417,36.130133,8470.233265,25752.471971,0.823583,0.752403,0.361223,0.361223,1.0,521.132275,50.294614,353.666764,8.319608,123082.72905
tabular,1000,99,0.191375,39.1936,7323.778962,21015.416249,0.808625,0.739809,0.357026,0.357026,1.0,555.166799,49.44442,387.558335,8.471746,120872.370875
tab_ddqn,100,42,0.97375,19.9424,1555.893763,3985.460238,0.02625,0.998769,0.24418,0.24418,1.0,408.652236,54.203809,191.964935,58.560502,17486.188947
tab_ddqn,100,7,0.989583,20.266667,1011.173153,2877.153065,0.010417,0.99942,0.221817,0.221817,1.0,414.594104,54.033878,198.842298,58.659783,17456.593837
tab_ddqn,100,99,1.0,20.48,1009.347123,2951.314894,0.0,1.0,0.142682,0.142682,1.0,361.1351,55.281769,149.521827,68.052095,15047.295847
tab_ddqn,200,42,0.912708,37.384533,2005.328647,4918.849141,0.087292,0.991577,0.392701,0.392701,1.0,461.288417,53.102019,234.858607,48.626237,21058.590131
tab_ddqn,200,7,0.935833,38.331733,2033.848147,4907.230919,0.064167,0.996822,0.296479,0.296479,1.0,458.793118,52.973198,240.937989,50.129435,20427.120116
tab_ddqn,200,99,0.914167,37.444267,2066.830459,4892.73784,0.085833,0.993281,0.35264,0.35264,1.0,444.307001,53.406665,223.317405,50.565397,20251.002802
tab_ddqn,400,42,0.490417,40.174933,4019.030805,9933.682335,0.509583,0.838831,0.395898,0.395898,1.0,438.810062,52.964266,244.026669,27.46628,37282.078333
tab_ddqn,400,7,0.537813,44.0576,3867.845839,9933.237588,0.462187,0.877177,0.36836,0.368263,1.0,429.795434,53.229103,233.249825,30.75249,33298.116168
tab_ddqn,400,99,0.503333,41.233067,4020.749293,9959.418573,0.496667,0.86105,0.38278,0.38278,1.0,439.814841,52.940667,244.954248,28.12529,36408.513341
