n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
400,42,0.526563,43.136,4068.564369,10385.081949,0.473437,0.878292,0.313673,0.313673,420.984192,53.359814,228.487548,30.739397,33312.300039
400,7,0.428646,35.114667,3729.145215,9426.09514,0.571354,0.78705,0.438515,0.438413,470.994551,52.10424,278.623537,22.366288,45783.188479
400,99,0.486146,39.825067,4101.971144,9965.032119,0.513854,0.835503,0.399264,0.399264,443.13903,52.853848,248.441935,26.96111,37980.632548
600,42,0.241319,29.653333,4802.380096,12195.015628,0.758681,0.695176,0.474498,0.474304,496.041111,51.16646,317.652889,11.955998,85647.386011
600,7,0.273472,33.604267,5238.850443,13634.978756,0.726528,0.740717,0.435706,0.435706,461.805892,52.052612,282.153809,14.553416,70361.486836
600,99,0.301806,37.085867,5257.72721,13938.29156,0.698194,0.752919,0.38434,0.38434,469.769661,51.84073,290.652859,15.788958,64855.452502
800,42,0.19401,31.786667,6076.990985,16337.275897,0.80599,0.650022,0.454932,0.454845,495.364992,51.066081,322.262349,9.625226,106387.112433
800,7,0.198229,32.477867,7657.193465,23148.816586,0.801771,0.680665,0.420699,0.420699,467.773182,51.747949,295.110664,10.41462,98323.31734
800,99,0.208594,34.176,6043.933308,16914.607268,0.791406,0.697514,0.418151,0.418064,510.093068,50.682129,337.643733,10.049931,101891.249564
1000,42,0.163542,33.493333,8947.481594,24997.14377,0.836458,0.693735,0.3838,0.3838,514.456116,50.464784,346.870018,7.812523,131071.621957
1000,7,0.160292,32.827733,8539.563924,25155.239837,0.839708,0.719151,0.379975,0.379975,539.075767,49.821181,372.676185,7.307559,140128.871186
1000,99,0.143417,29.371733,9361.516476,25905.511478,0.856583,0.679555,0.421772,0.421772,506.772894,50.6529,339.398286,6.955005,147232.10177
