policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,100,0.600139,0.578197,0.622081,12.290844,11.841464,12.740224,1929.827474,1866.084267,1993.570682,4610.450543,4531.785925,4689.115161,0.399861,0.377919,0.421803,0.981434,0.974761,0.988106,0.892696,0.881275,0.904117,0.847805,0.839772,0.855839,1.0,1.0,1.0,2649.135476,2648.794489,2649.476462,0.0,0.0,0.0,2344.554116,2344.537224,2344.571008,5.567484,5.363222,5.771747,183951.730536,177225.18541,190678.275662
no_raw,200,0.244653,0.240312,0.248993,10.020978,9.843187,10.198769,2811.903655,2664.822249,2958.985061,4876.411438,4805.738394,4947.084482,0.755347,0.751007,0.759688,0.966897,0.96479,0.969004,0.92307,0.921616,0.924525,0.851191,0.849606,0.852777,1.0,1.0,1.0,2559.208131,2559.185097,2559.231165,0.0,0.0,0.0,2355.927578,2355.926553,2355.928602,2.349393,2.30769,2.391097,435871.957069,428166.099768,443577.81437
no_raw,400,0.128958,0.125042,0.132874,10.564267,10.243457,10.885076,2869.23342,2857.780855,2880.685985,5038.317637,4957.354177,5119.281097,0.871042,0.867126,0.874958,0.877455,0.872709,0.8822,0.865654,0.864284,0.867023,0.803964,0.801139,0.80679,1.0,1.0,1.0,2513.447082,2513.42608,2513.468083,0.0,0.0,0.0,2361.654629,2361.653475,2361.655784,1.26093,1.222629,1.299231,812180.581283,787375.874486,836985.28808
no_raw,600,0.085417,0.083753,0.08708,10.496,10.291558,10.700442,2944.927091,2915.241293,2974.612889,5043.571906,5009.106047,5078.037764,0.914583,0.91292,0.916247,0.806494,0.791634,0.821355,0.817382,0.81503,0.819734,0.764382,0.76232,0.766443,1.0,1.0,1.0,2498.236226,2498.229812,2498.242639,0.0,0.0,0.0,2363.565272,2363.564863,2363.565681,0.840273,0.823907,0.856639,1218701.557819,1195060.0665,1242343.049139
no_raw,800,0.063299,0.062363,0.064235,10.370844,10.217482,10.524207,2849.52997,2777.837423,2921.222517,5015.971183,4902.875285,5129.067082,0.936701,0.935765,0.937637,0.799304,0.782962,0.815647,0.77681,0.774364,0.779257,0.726499,0.725338,0.727661,1.0,1.0,1.0,2490.673366,2490.667234,2490.679497,0.0,0.0,0.0,2364.520172,2364.519548,2364.520795,0.624581,0.615344,0.633817,1639538.607102,1615210.302591,1663866.911613
no_raw,1000,0.049181,0.048377,0.049985,10.072178,9.90751,10.236845,2883.048627,2790.202089,2975.895165,5021.286475,5014.920348,5027.652601,0.950819,0.950015,0.951623,0.799255,0.767919,0.830591,0.739041,0.737985,0.740097,0.692511,0.691176,0.693846,1.0,1.0,1.0,2486.13151,2486.124022,2486.138997,0.0,0.0,0.0,2365.09324,2365.092646,2365.093835,0.486161,0.478212,0.494111,2106356.770746,2072006.434392,2140707.107101
static,100,0.498889,0.490085,0.507693,10.217244,10.036943,10.397546,3051.622688,2960.110714,3143.134663,7981.647754,7385.65809,8577.637417,0.501111,0.492307,0.509915,0.778848,0.743436,0.814259,0.472523,0.462991,0.482055,0.471491,0.463607,0.479375,1.0,1.0,1.0,436.472007,433.935735,439.008278,53.186936,53.126502,53.24737,234.323409,231.927332,236.719486,28.090828,27.444099,28.737557,36455.262263,35617.843675,37292.680852
static,200,0.472083,0.460383,0.483783,19.336533,18.857308,19.815759,3177.111697,3141.463024,3212.760369,8318.659079,7768.736051,8868.582107,0.527917,0.516217,0.539617,0.731152,0.700557,0.761747,0.474634,0.462912,0.486356,0.474036,0.462511,0.485562,1.0,1.0,1.0,443.22147,441.677247,444.765692,52.965329,52.928243,53.002414,243.43669,241.963872,244.909507,26.176626,25.437684,26.915568,39122.257287,38010.913424,40233.60115
static,400,0.365764,0.363856,0.367671,29.963378,29.807112,30.119643,3288.725823,3176.821228,3400.630418,8846.518064,8446.653943,9246.382185,0.634236,0.632329,0.636144,0.67008,0.665719,0.674442,0.490109,0.487695,0.492523,0.489474,0.486854,0.492095,1.0,1.0,1.0,467.531435,456.57446,478.488411,52.163295,51.882386,52.444203,276.433143,265.196872,287.669415,19.227612,18.794353,19.660871,53259.675486,52055.335746,54464.015225
static,600,0.262338,0.260251,0.264425,32.236089,31.97964,32.492538,3694.94048,3489.578763,3900.302197,9064.984461,8489.049485,9640.919438,0.737662,0.735575,0.739749,0.718404,0.688344,0.748465,0.498065,0.495859,0.500271,0.497661,0.495302,0.50002,1.0,1.0,1.0,510.548836,505.196617,515.901056,50.87645,50.739668,51.013232,328.843588,323.374795,334.31238,12.628162,12.463288,12.793035,81090.09366,80033.211736,82146.975584
