policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
no_raw,100,42,0.609583,12.484267,1911.828477,4588.99523,0.390417,0.978812,0.887504,0.84415,1.0,2648.979203,0.0,2344.561867,5.655431,181064.880602
no_raw,100,7,0.592083,12.125867,1959.207386,4595.53888,0.407917,0.984179,0.896251,0.850294,1.0,2649.236481,0.0,2344.549157,5.492541,186434.657321
no_raw,100,99,0.59875,12.2624,1918.44656,4646.817517,0.40125,0.981309,0.894332,0.848972,1.0,2649.190743,0.0,2344.551323,5.554481,184355.653686
no_raw,200,42,0.243542,9.975467,2876.836683,4885.268567,0.756458,0.967682,0.923747,0.851678,1.0,2559.214125,0.0,2355.927533,2.338718,437846.727893
no_raw,200,7,0.246667,10.103467,2797.952689,4899.376667,0.753333,0.965998,0.922723,0.850469,1.0,2559.197452,0.0,2355.928011,2.368743,432296.866847
no_raw,200,99,0.24375,9.984,2760.921593,4844.589081,0.75625,0.96701,0.922742,0.851427,1.0,2559.212817,0.0,2355.927189,2.34072,437472.276467
no_raw,400,42,0.130208,10.666667,2873.785881,5052.196173,0.869792,0.876234,0.865136,0.803083,1.0,2513.438186,0.0,2361.655149,1.273156,804300.21952
no_raw,400,7,0.127188,10.4192,2869.346239,5001.086153,0.872812,0.879656,0.866233,0.805248,1.0,2513.45501,0.0,2361.654484,1.243611,823408.684597
no_raw,400,99,0.129479,10.606933,2864.56814,5061.670584,0.870521,0.876474,0.865591,0.803563,1.0,2513.448049,0.0,2361.654255,1.266022,808832.839732
no_raw,600,42,0.084931,10.436267,2958.193753,5054.899515,0.915069,0.813169,0.818231,0.764934,1.0,2498.237645,0.0,2363.565103,0.83549,1225627.626143
no_raw,600,7,0.086181,10.589867,2935.010529,5047.71785,0.913819,0.801618,0.816361,0.763428,1.0,2498.237787,0.0,2363.56528,0.847787,1207850.662584
no_raw,600,99,0.085139,10.461867,2941.576991,5028.098352,0.914861,0.804696,0.817554,0.764783,1.0,2498.233246,0.0,2363.565432,0.837541,1222626.384731
no_raw,800,42,0.06349,10.402133,2821.07284,5004.212467,0.93651,0.803883,0.775923,0.726229,1.0,2490.670544,0.0,2364.520175,0.626466,1634566.394837
no_raw,800,7,0.063542,10.410667,2848.744651,4977.480583,0.936458,0.791766,0.776637,0.72623,1.0,2490.675123,0.0,2364.519919,0.626979,1633229.588634
no_raw,800,99,0.062865,10.299733,2878.772419,5066.2205,0.937135,0.802264,0.77787,0.727039,1.0,2490.67443,0.0,2364.520421,0.620298,1650819.837835
no_raw,1000,42,0.049083,10.052267,2868.344273,5024.010971,0.950917,0.793454,0.739345,0.692754,1.0,2486.132099,0.0,2365.093369,0.4852,2110468.675224
no_raw,1000,7,0.049542,10.146133,2925.537089,5020.923859,0.950458,0.790585,0.738555,0.691895,1.0,2486.128244,0.0,2365.093388,0.489732,2090940.491348
no_raw,1000,99,0.048917,10.018133,2855.264518,5018.924593,0.951083,0.813725,0.739223,0.692884,1.0,2486.134185,0.0,2365.092964,0.483552,2117661.145667
static,100,42,0.49875,10.2144,3068.711514,8219.917263,0.50125,0.782913,0.471458,0.470426,1.0,437.029689,53.174377,234.815125,28.04679,36510.416809
static,100,7,0.495417,10.146133,3076.810116,7984.873725,0.504583,0.790627,0.47678,0.47506,1.0,437.092603,53.171456,234.942923,27.855333,36761.362723
static,100,99,0.5025,10.2912,3009.346435,7740.152273,0.4975,0.763003,0.469331,0.468987,1.0,435.293728,53.214974,233.212179,28.370361,36094.007258
static,200,42,0.474375,19.4304,3170.451969,8356.159123,0.525625,0.744868,0.470493,0.470314,1.0,442.989476,52.970509,243.232163,26.317194,38909.92322
static,200,7,0.466667,19.114667,3193.580824,8080.948413,0.533333,0.721044,0.479771,0.479234,1.0,443.925684,52.948501,244.104715,25.834955,39636.221773
static,200,99,0.475208,19.464533,3167.302296,8518.869701,0.524792,0.727544,0.473637,0.472561,1.0,442.749249,52.976976,242.973191,26.37773,38820.626869
static,400,42,0.364896,29.892267,3242.718613,8663.462893,0.635104,0.669713,0.491221,0.490692,1.0,465.222756,52.222685,274.056953,19.276099,53122.781128
static,400,7,0.366042,29.986133,3332.740538,8965.871661,0.633958,0.671991,0.489422,0.488894,1.0,472.616972,52.032903,281.648818,19.034103,53798.17551
static,400,99,0.366354,30.011733,3290.718318,8910.219637,0.633646,0.668538,0.489684,0.488837,1.0,464.754579,52.234296,273.593658,19.372633,52858.069819
static,600,42,0.262986,32.315733,3749.238456,9172.697205,0.737014,0.716979,0.497575,0.496969,1.0,512.434289,50.82835,330.766153,12.612635,81188.427044
static,600,7,0.262639,32.273067,3599.806983,8798.897284,0.737361,0.70708,0.497531,0.497271,1.0,508.200701,50.936502,326.442318,12.700914,80624.119708
static,600,99,0.261389,32.119467,3735.776002,9223.358895,0.738611,0.731154,0.49909,0.498744,1.0,511.011519,50.864498,329.322293,12.570936,81457.734228
static,800,42,0.189583,31.061333,3649.801361,8945.964256,0.810417,0.716195,0.465178,0.464764,1.0,545.77614,49.802111,372.677561,8.536833,119950.800087
static,800,7,0.188698,30.916267,3792.329807,9010.270689,0.811302,0.705877,0.467251,0.466589,1.0,545.92306,49.798362,372.828423,8.494677,120546.080141
static,800,99,0.19,31.1296,3740.242098,8994.697096,0.81,0.717833,0.466149,0.465818,1.0,548.935113,49.721501,375.90051,8.506361,120380.507258
static,1000,42,0.149208,30.557867,3778.311168,9032.259359,0.850792,0.7161,0.431183,0.430787,1.0,598.946939,48.335983,431.838916,6.122319,167256.894458
static,1000,7,0.144833,29.661867,3628.854774,8951.563961,0.855167,0.712626,0.437871,0.437554,1.0,606.14461,48.151638,439.21281,5.872236,174379.922219
static,1000,99,0.148542,30.421333,3677.15272,8917.898371,0.851458,0.708765,0.432334,0.432255,1.0,603.730424,48.213543,436.7357,6.046672,169349.347632
laca,100,42,1.0,20.48,684.433244,1637.1291,0.0,1.0,0.191452,0.191452,1.0,451.605968,53.043351,238.65929,54.419121,18816.915334
laca,100,7,1.0,20.48,688.216342,1702.592718,0.0,1.0,0.172088,0.172088,1.0,443.642242,53.213853,232.00533,55.395987,18485.093436
laca,100,99,1.0,20.48,688.032805,1708.618332,0.0,1.0,0.185099,0.185099,1.0,447.64281,53.132752,235.146165,54.900915,18651.783761
laca,200,42,0.937083,38.382933,1859.594493,4555.805024,0.062917,0.989359,0.352963,0.352963,1.0,532.790282,51.206926,310.951511,43.224812,23690.097033
laca,200,7,0.941667,38.570667,1919.545239,4625.910068,0.058333,0.993271,0.350429,0.350429,1.0,532.580466,51.215503,310.590127,43.45334,23565.507338
laca,200,99,0.940625,38.528,1948.675144,4715.010492,0.059375,0.992648,0.353394,0.353272,1.0,534.623339,51.168499,312.445177,43.239414,23682.096979
laca,400,42,0.385104,31.547733,3668.073759,9073.828949,0.614896,0.752811,0.480809,0.480187,1.0,483.368254,51.777069,291.777425,19.579937,52298.431605
laca,400,7,0.383437,31.4112,3824.230896,9421.644639,0.616563,0.756176,0.481881,0.481881,1.0,477.342258,51.930513,285.646236,19.741307,51870.932652
laca,400,99,0.381979,31.291733,3755.65761,9444.959965,0.618021,0.747332,0.482597,0.481766,1.0,477.316812,51.930645,285.642945,19.667273,52066.191653
laca,600,42,0.225903,27.758933,4927.601168,12933.004838,0.774097,0.657325,0.501592,0.501592,1.0,500.016146,51.064979,321.717756,11.103215,92225.541804
laca,600,7,0.222153,27.298133,4969.208137,13199.449165,0.777847,0.660883,0.50816,0.507677,1.0,503.211675,50.982394,325.025936,10.849563,94381.683292
laca,600,99,0.219028,26.914133,5026.633388,13271.189607,0.780972,0.646779,0.512162,0.511583,1.0,501.941118,51.015567,323.697272,10.72402,95486.579191
laca,800,42,0.148906,24.3968,5995.049102,16921.583599,0.851094,0.616729,0.51402,0.513839,1.0,550.670712,49.622199,380.162738,6.645569,154087.642347
laca,800,7,0.149062,24.4224,5818.671409,15526.628156,0.850938,0.612955,0.514366,0.513824,1.0,551.444439,49.603032,380.926434,6.643208,154142.400968
laca,800,99,0.151146,24.763733,5921.533041,16782.927195,0.848854,0.613943,0.508928,0.508837,1.0,553.736706,49.542794,383.34171,6.70817,152649.677848
laca,1000,42,0.111208,22.775467,7285.879327,21916.501744,0.888792,0.611097,0.507507,0.507422,1.0,614.755154,47.891887,449.815454,4.445763,230331.642671
laca,1000,7,0.111583,22.852267,7280.087391,21436.588451,0.888417,0.61098,0.507674,0.507077,1.0,617.469953,47.822664,452.582724,4.441142,230571.304187
laca,1000,99,0.109875,22.5024,7256.776544,21121.898048,0.890125,0.614236,0.509246,0.509161,1.0,614.645464,47.895175,449.681942,4.393245,233085.120895
tabular,100,42,0.990833,20.292267,1016.350497,2848.382654,0.009167,0.999661,0.235974,0.235974,1.0,425.371208,53.787235,208.560225,57.245811,17887.771583
tabular,100,7,0.8425,17.2544,1553.738628,4787.507489,0.1575,0.993411,0.330704,0.330704,1.0,452.556193,53.049,238.360928,45.751843,22381.611942
tabular,100,99,0.9875,20.224,968.81941,2746.526841,0.0125,0.999555,0.264667,0.264667,1.0,455.402378,53.069827,237.004374,53.290894,19215.290205
tabular,200,42,0.880417,36.061867,2169.866936,5130.443805,0.119583,0.988875,0.388746,0.388746,1.0,507.746766,51.856141,284.970918,42.613999,24029.66236
tabular,200,7,0.820208,33.595733,2111.123062,5858.521827,0.179792,0.97746,0.40028,0.400153,1.0,495.543333,52.103885,275.401844,40.677452,25173.651675
tabular,200,99,0.77,31.5392,1904.923416,5306.965492,0.23,0.968989,0.47789,0.47789,1.0,464.903773,53.004407,238.848845,40.704165,25157.130556
tabular,400,42,0.470833,38.570667,4219.887935,9988.908121,0.529167,0.844059,0.396596,0.396493,1.0,447.475498,52.711688,254.285643,25.858846,39599.601558
tabular,400,7,0.447292,36.642133,3750.601552,8992.294714,0.552708,0.813929,0.431282,0.431081,1.0,456.809964,52.493014,262.942004,24.063923,42553.326889
tabular,400,99,0.391042,32.034133,4090.167543,11028.385978,0.608958,0.771406,0.4498,0.4498,1.0,451.130694,52.562552,260.555345,21.302563,48069.333372
tabular,600,42,0.294375,36.1728,5234.439845,13948.849242,0.705625,0.738249,0.404278,0.404278,1.0,450.648495,52.341127,270.590973,16.053665,63786.057356
tabular,600,7,0.258958,31.8208,4821.922913,12901.358135,0.741042,0.692865,0.472238,0.472145,1.0,480.865388,51.582639,300.867321,13.234806,77371.743907
tabular,600,99,0.281597,34.602667,4519.013887,11062.670451,0.718403,0.685088,0.460014,0.459745,1.0,509.16064,50.885919,328.585792,13.592043,75338.19583
tabular,800,42,0.186719,30.592,6241.423694,16937.481097,0.813281,0.689113,0.455995,0.455995,1.0,517.393202,50.485126,345.582989,8.869077,115457.339273
tabular,800,7,0.14776,24.209067,11350.978296,39423.442565,0.85224,0.682869,0.421109,0.421109,1.0,455.822709,51.965243,286.874352,7.966606,128536.541203
