n,seed,pdr,tput_kbps,avg_delay_ms,col_rate,retry_rate
100,42,0.973333,19.933867,1346.852562,0.362913,0.362913
100,7,1.0,20.48,869.003191,0.291139,0.291139
100,99,0.817083,16.733867,1519.60804,0.391495,0.391495
200,42,0.967292,39.620267,1823.352501,0.362363,0.362363
200,7,0.9475,38.8096,1959.579684,0.371439,0.371439
200,99,0.963958,39.483733,1849.955955,0.361798,0.361798
400,42,0.529062,43.3408,3571.169059,0.396016,0.396016
400,7,0.535729,43.886933,3619.025406,0.388816,0.388816
400,99,0.524167,42.939733,3651.835827,0.39942,0.399327
600,42,0.308542,37.9136,4712.165373,0.437434,0.437434
600,7,0.30875,37.9392,4821.159746,0.437681,0.437681
600,99,0.306806,37.700267,4730.049304,0.441001,0.440826
800,42,0.235677,38.613333,6042.153775,0.402228,0.402228
800,7,0.23599,38.664533,5832.093983,0.401239,0.401239
800,99,0.23724,38.869333,5960.042887,0.39938,0.39938
1000,42,0.190375,38.9888,7362.323895,0.372898,0.372898
1000,7,0.190792,39.074133,7252.982397,0.372568,0.372568
1000,99,0.189583,38.826667,7340.498467,0.373469,0.373469
