mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
tabular,100,1,0,0.98375,21,0.05,2,241
tabular,100,2,100,0.99,34,0.05,3,241
tabular,100,3,200,1.0,42,0.05,4,241
tabular,100,4,300,0.9870833333333333,52,0.05,5,241
tabular,100,5,400,0.9895833333333334,65,0.05,6,241
tabular,100,6,13,0.9879166666666667,76,0.05,7,241
tabular,200,1,0,0.86875,23,0.05,2,241
tabular,200,2,100,0.896875,25,0.05,3,241
tabular,200,3,200,0.7397916666666666,35,0.05,4,241
tabular,200,4,300,0.7658333333333334,38,0.05,5,241
tabular,200,5,400,0.8647916666666666,39,0.05,6,241
tabular,200,6,13,0.88875,41,0.05,7,241
tabular,200,7,77,0.9239583333333333,41,0.05,8,241
tabular,200,8,31,0.8852083333333334,43,0.05,9,241
tabular,200,9,55,0.9233333333333333,43,0.05,10,241
tabular,200,10,88,0.9197916666666667,46,0.05,11,241
tabular,200,11,21,0.9233333333333333,46,0.05,12,241
tabular,400,1,0,0.461875,13,0.05,2,241
tabular,400,2,100,0.5048958333333333,23,0.05,3,241
tabular,400,3,200,0.4739583333333333,26,0.05,4,241
tabular,400,4,300,0.5302083333333333,28,0.05,5,241
tabular,400,5,400,0.4897916666666667,29,0.05,6,241
tabular,400,6,13,0.506875,29,0.05,7,241
tabular,400,7,77,0.49385416666666665,29,0.05,8,241
tabular,400,8,31,0.4977083333333333,29,0.05,9,241
tabular,400,9,55,0.49041666666666667,33,0.05,10,241
tabular,600,1,0,0.2733333333333333,18,0.05,2,241
tabular,600,2,100,0.288125,25,0.05,3,241
tabular,600,3,200,0.2966666666666667,26,0.05,4,241
tabular,600,4,300,0.3325694444444444,27,0.05,5,241
tabular,600,5,400,0.35125,28,0.05,6,241
tabular,600,6,13,0.33979166666666666,30,0.05,7,241
tabular,600,7,77,0.3172916666666667,33,0.05,8,241
tabular,600,8,31,0.329375,34,0.05,9,241
tabular,600,9,55,0.31569444444444444,35,0.05,10,241
tabular,600,10,88,0.32881944444444444,35,0.05,11,241
tabular,600,11,21,0.31881944444444443,36,0.05,12,241
tabular,600,12,34,0.2959027777777778,37,0.05,13,241
tabular,600,13,89,0.3003472222222222,38,0.05,14,241
tabular,600,14,144,0.3275,38,0.05,15,241
tabular,600,15,233,0.32631944444444444,38,0.05,16,241
tabular,600,16,377,0.3238888888888889,38,0.05,17,241
tabular,800,1,0,0.1775,25,0.05,2,241
tabular,800,2,100,0.21609375,30,0.05,3,241
tabular,800,3,200,0.2365625,31,0.05,4,241
tabular,800,4,300,0.23171875,36,0.05,5,241
tabular,800,5,400,0.26703125,36,0.05,6,241
tabular,800,6,13,0.23135416666666667,36,0.05,7,241
tabular,800,7,77,0.23453125,37,0.05,8,241
tabular,800,8,31,0.22296875,38,0.05,9,241
tabular,800,9,55,0.255625,39,0.05,10,241
tabular,800,10,88,0.21802083333333333,41,0.05,11,241
tabular,800,11,21,0.22859375,41,0.05,12,241
tabular,800,12,34,0.23151041666666666,42,0.05,13,241
tabular,800,13,89,0.23755208333333333,42,0.05,14,241
tabular,1000,1,0,0.14458333333333334,24,0.05,2,241
tabular,1000,2,100,0.14679166666666665,36,0.05,3,241
tabular,1000,3,200,0.195375,45,0.05,4,241
tabular,1000,4,300,0.17845833333333333,46,0.05,5,241
tabular,1000,5,400,0.17141666666666666,47,0.05,6,241
tabular,1000,6,13,0.15304166666666666,49,0.05,7,241
tabular,1000,7,77,0.16320833333333334,50,0.05,8,241
tabular,1000,8,31,0.1895,50,0.05,9,241
tabular,1000,9,55,0.16166666666666665,52,0.05,10,241
tabular,1000,10,88,0.1785,52,0.05,11,241
tabular,1000,11,21,0.17158333333333334,52,0.05,12,241
tabular,1000,12,34,0.170375,52,0.05,13,241
tabular_ddqn,100,1,0,0.9683333333333334,34,0.05,2,241
tabular_ddqn,100,2,100,0.95,54,0.05,3,241
tabular_ddqn,100,3,200,0.9233333333333333,57,0.05,4,241
tabular_ddqn,100,4,300,0.9733333333333334,61,0.05,5,241
tabular_ddqn,100,5,400,0.9658333333333333,69,0.05,6,241
tabular_ddqn,100,6,13,0.7804166666666666,77,0.05,7,241
tabular_ddqn,100,7,77,0.9966666666666667,79,0.05,8,241
tabular_ddqn,100,8,31,0.9870833333333333,85,0.05,9,241
tabular_ddqn,100,9,55,0.9979166666666667,95,0.05,10,241
tabular_ddqn,100,10,88,0.9991666666666666,95,0.05,11,241
tabular_ddqn,100,11,21,0.9975,95,0.05,12,241
tabular_ddqn,200,1,0,0.379375,26,0.05,2,241
tabular_ddqn,200,2,100,0.8885416666666667,37,0.05,3,241
tabular_ddqn,200,3,200,0.9254166666666667,44,0.05,4,241
tabular_ddqn,200,4,300,0.75875,47,0.05,5,241
tabular_ddqn,200,5,400,0.8289583333333334,47,0.05,6,241
tabular_ddqn,200,6,13,0.91375,49,0.05,7,241
tabular_ddqn,200,7,77,0.8647916666666666,51,0.05,8,241
tabular_ddqn,200,8,31,0.7360416666666667,57,0.05,9,241
tabular_ddqn,200,9,55,0.840625,58,0.05,10,241
tabular_ddqn,200,10,88,0.7679166666666667,60,0.05,11,241
tabular_ddqn,200,11,21,0.8366666666666667,60,0.05,12,241
tabular_ddqn,200,12,34,0.8429166666666666,62,0.05,13,241
tabular_ddqn,200,13,89,0.8327083333333334,69,0.05,14,241
tabular_ddqn,200,14,144,0.6827083333333334,69,0.05,15,241
tabular_ddqn,200,15,233,0.8502083333333333,69,0.05,16,241
tabular_ddqn,200,16,377,0.7897916666666667,69,0.05,17,241
tabular_ddqn,200,17,610,0.8527083333333333,69,0.05,18,241
tabular_ddqn,200,18,987,0.836875,69,0.05,19,241
tabular_ddqn,200,19,1597,0.895,70,0.05,20,241
tabular_ddqn,200,20,2584,0.88625,71,0.05,21,241
tabular_ddqn,400,1,0,0.44197916666666665,22,0.05,2,241
tabular_ddqn,400,2,100,0.4901041666666667,26,0.05,3,241
tabular_ddqn,400,3,200,0.509375,27,0.05,4,241
tabular_ddqn,400,4,300,0.5019791666666666,28,0.05,5,241
tabular_ddqn,400,5,400,0.498125,30,0.05,6,241
tabular_ddqn,600,1,0,0.24645833333333333,21,0.05,2,241
tabular_ddqn,600,2,100,0.2857638888888889,23,0.05,3,241
tabular_ddqn,600,3,200,0.34902777777777777,31,0.05,4,241
tabular_ddqn,600,4,300,0.3671527777777778,32,0.05,5,241
tabular_ddqn,600,5,400,0.29854166666666665,32,0.05,6,241
tabular_ddqn,600,6,13,0.3082638888888889,33,0.05,7,241
tabular_ddqn,600,7,77,0.31375,34,0.05,8,241
tabular_ddqn,800,1,0,0.151875,41,0.05,2,241
tabular_ddqn,800,2,100,0.20234375,46,0.05,3,241
tabular_ddqn,800,3,200,0.21203125,52,0.05,4,241
tabular_ddqn,800,4,300,0.220625,53,0.05,5,241
tabular_ddqn,1000,1,0,0.153125,17,0.05,2,241
tabular_ddqn,1000,2,100,0.14758333333333334,21,0.05,3,241
tabular_ddqn,1000,3,200,0.16354166666666667,26,0.05,4,241
tabular_ddqn,1000,4,300,0.15929166666666666,30,0.05,5,241
tabular_ddqn,1000,5,400,0.170375,34,0.05,6,241
tabular_ddqn,1000,6,13,0.20216666666666666,35,0.05,7,241
tabular_ddqn,1000,7,77,0.18075,36,0.05,8,241
tabular_ddqn,1000,8,31,0.18416666666666667,40,0.05,9,241
tabular_ddqn,1000,9,55,0.19420833333333334,40,0.05,10,241
tabular_ddqn,1000,10,88,0.16108333333333333,41,0.05,11,241
tabular_ddqn,1000,11,21,0.17920833333333333,41,0.05,12,241
tabular_ddqn,1000,12,34,0.186125,41,0.05,13,241
tabular_ddqn,1000,13,89,0.17475,41,0.05,14,241
tabular_ddqn,1000,14,144,0.18695833333333334,42,0.05,15,241
tabular_ddqn,1000,15,233,0.200625,43,0.05,16,241
tabular_ddqn,1000,16,377,0.18508333333333332,43,0.05,17,241
tabular_ddqn,1000,17,610,0.19320833333333334,43,0.05,18,241
tabular_ddqn,1000,18,987,0.19666666666666666,43,0.05,19,241
dqn,100,1,0,1.0,0,0.05,2,241
dqn,100,2,100,0.9679166666666666,0,0.05,3,241
dqn,100,3,200,1.0,0,0.05,4,241
dqn,100,4,300,0.9945833333333334,0,0.05,5,241
dqn,100,5,400,0.9895833333333334,0,0.05,6,241
dqn,200,1,0,0.7929166666666667,0,0.05,2,241
dqn,200,2,100,0.4816666666666667,0,0.05,3,241
dqn,200,3,200,0.39895833333333336,0,0.05,4,241
dqn,200,4,300,0.8820833333333333,0,0.05,5,241
dqn,200,5,400,0.440625,0,0.05,6,241
dqn,200,6,13,0.8614583333333333,0,0.05,7,241
dqn,200,7,77,0.770625,0,0.05,8,241
dqn,200,8,31,0.953125,0,0.05,9,241
dqn,200,9,55,0.9095833333333333,0,0.05,10,241
dqn,200,10,88,0.9479166666666666,0,0.05,11,241
dqn,200,11,21,0.8602083333333334,0,0.05,12,241
dqn,200,12,34,0.6914583333333333,0,0.05,13,241
dqn,200,13,89,0.890625,0,0.05,14,241
dqn,200,14,144,0.95625,0,0.05,15,241
