n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
100,1,0,0.9945833333333334,23,0.05,1,241
100,2,100,0.91625,61,0.05,2,241
100,3,200,0.9995833333333334,63,0.05,3,241
100,4,300,0.8441666666666666,68,0.05,4,241
100,5,400,0.8116666666666666,77,0.05,5,241
100,6,13,1.0,77,0.05,6,241
100,7,77,0.7329166666666667,82,0.05,7,241
100,8,31,0.5054166666666666,85,0.05,8,241
100,9,55,0.975,85,0.05,9,241
100,10,88,0.9845833333333334,90,0.05,10,241
100,11,0,1.0,90,0.05,11,241
100,12,100,0.9258333333333333,91,0.05,12,241
100,13,200,0.9920833333333333,91,0.05,13,241
100,14,300,0.9929166666666667,91,0.05,14,241
100,15,400,0.8758333333333334,92,0.05,15,241
200,1,0,0.9585416666666666,9,0.05,1,241
200,2,100,0.5352083333333333,21,0.05,2,241
200,3,200,0.905625,21,0.05,3,241
200,4,300,0.9689583333333334,21,0.05,4,241
200,5,400,0.9629166666666666,21,0.05,5,241
200,6,13,0.9635416666666666,21,0.05,6,241
200,7,77,0.9539583333333334,21,0.05,7,241
200,8,31,0.9275,24,0.05,8,241
200,9,55,0.7897916666666667,26,0.05,9,241
200,10,88,0.9704166666666667,26,0.05,10,241
200,11,0,0.9377083333333334,26,0.05,11,241
200,12,100,0.9639583333333334,26,0.05,12,241
200,13,200,0.956875,26,0.05,13,241
200,14,300,0.9758333333333333,26,0.05,14,241
200,15,400,0.92375,26,0.05,15,241
400,1,0,0.5366666666666666,5,0.05,1,241
400,2,100,0.5310416666666666,9,0.05,2,241
400,3,200,0.5305208333333333,9,0.05,3,241
400,4,300,0.5264583333333334,9,0.05,4,241
400,5,400,0.5326041666666667,9,0.05,5,241
400,6,13,0.5286458333333334,9,0.05,6,241
400,7,77,0.5407291666666667,9,0.05,7,241
400,8,31,0.5314583333333334,9,0.05,8,241
400,9,55,0.5320833333333334,9,0.05,9,241
400,10,88,0.52875,9,0.05,10,241
400,11,0,0.5366666666666666,9,0.05,11,241
400,12,100,0.5310416666666666,9,0.05,12,241
400,13,200,0.5305208333333333,9,0.05,13,241
400,14,300,0.5264583333333334,9,0.05,14,241
400,15,400,0.5326041666666667,9,0.05,15,241
600,1,0,0.3109722222222222,8,0.05,1,241
600,2,100,0.30972222222222223,11,0.05,2,241
600,3,200,0.3084722222222222,12,0.05,3,241
600,4,300,0.31048611111111113,12,0.05,4,241
600,5,400,0.30854166666666666,12,0.05,5,241
600,6,13,0.31048611111111113,12,0.05,6,241
600,7,77,0.30659722222222224,12,0.05,7,241
600,8,31,0.3067361111111111,12,0.05,8,241
600,9,55,0.31006944444444445,12,0.05,9,241
600,10,88,0.30909722222222225,12,0.05,10,241
600,11,0,0.3109722222222222,12,0.05,11,241
600,12,100,0.30972222222222223,12,0.05,12,241
600,13,200,0.3084722222222222,12,0.05,13,241
600,14,300,0.31048611111111113,12,0.05,14,241
600,15,400,0.30854166666666666,12,0.05,15,241
800,1,0,0.23416666666666666,9,0.05,1,241
800,2,100,0.23645833333333333,12,0.05,2,241
800,3,200,0.23302083333333334,12,0.05,3,241
800,4,300,0.23598958333333334,12,0.05,4,241
800,5,400,0.23432291666666666,12,0.05,5,241
800,6,13,0.2334375,12,0.05,6,241
800,7,77,0.23625,12,0.05,7,241
800,8,31,0.23526041666666667,12,0.05,8,241
800,9,55,0.23578125,12,0.05,9,241
800,10,88,0.23671875,12,0.05,10,241
800,11,0,0.23416666666666666,12,0.05,11,241
800,12,100,0.23645833333333333,12,0.05,12,241
800,13,200,0.23302083333333334,12,0.05,13,241
800,14,300,0.23598958333333334,12,0.05,14,241
800,15,400,0.23432291666666666,12,0.05,15,241
1000,1,0,0.19091666666666668,7,0.05,1,241
1000,2,100,0.19166666666666668,12,0.05,2,241
1000,3,200,0.18908333333333333,12,0.05,3,241
1000,4,300,0.19083333333333333,12,0.05,4,241
1000,5,400,0.19095833333333334,12,0.05,5,241
1000,6,13,0.19116666666666668,12,0.05,6,241
1000,7,77,0.19041666666666668,12,0.05,7,241
1000,8,31,0.19208333333333333,12,0.05,8,241
1000,9,55,0.19033333333333333,12,0.05,9,241
1000,10,88,0.19116666666666668,12,0.05,10,241
1000,11,0,0.19091666666666668,12,0.05,11,241
1000,12,100,0.19166666666666668,12,0.05,12,241
1000,13,200,0.18908333333333333,12,0.05,13,241
1000,14,300,0.19083333333333333,12,0.05,14,241
1000,15,400,0.19095833333333334,12,0.05,15,241
