num_stas,seed,traffic,raw_on_adaptive_generated,raw_on_adaptive_delivered,raw_on_adaptive_dropped,raw_on_adaptive_pdr,raw_on_adaptive_throughput,raw_on_adaptive_avg_delay,raw_on_adaptive_retries,raw_on_adaptive_ack_timeouts,raw_on_adaptive_tx_attempts,raw_on_adaptive_collisions,raw_on_adaptive_per_drops,raw_on_adaptive_half_duplex_collisions,raw_on_adaptive_below_sensitivity,raw_on_adaptive_unsupported_mode,raw_on_adaptive_net_duplicates,raw_on_adaptive_transport_duplicates,raw_on_adaptive_net_forwarded,raw_on_adaptive_app_in_flight_timeouts,raw_on_static_generated,raw_on_static_delivered,raw_on_static_dropped,raw_on_static_pdr,raw_on_static_throughput,raw_on_static_avg_delay,raw_on_static_retries,raw_on_static_ack_timeouts,raw_on_static_tx_attempts,raw_on_static_collisions,raw_on_static_per_drops,raw_on_static_half_duplex_collisions,raw_on_static_below_sensitivity,raw_on_static_unsupported_mode,raw_on_static_net_duplicates,raw_on_static_transport_duplicates,raw_on_static_net_forwarded,raw_on_static_app_in_flight_timeouts
100,0,periodic,6000,6000,0,1.0,20.0,0.45640655965443244,0,0,6000,0,100,0,0,0,0,0,0,0,6000,4793,2343,0.7988333333333333,15.976666666666667,4.791487212897719,0,0,4793,0,100,0,0,0,0,0,0,0
200,0,periodic,12000,12000,0,1.0,40.0,0.727483325739194,0,0,12000,0,200,0,0,0,0,0,0,0,12000,9286,3862,0.7738333333333334,30.953333333333333,3.691207848020795,0,0,9286,0,200,0,0,0,0,0,0,0
300,0,periodic,18000,18000,0,1.0,60.0,1.11114656664942,0,0,18000,0,300,0,0,0,0,0,0,0,18000,12592,7568,0.6995555555555556,41.973333333333336,4.142711042950636,0,0,12592,0,300,0,0,0,0,0,0,0
400,0,periodic,24000,24000,0,1.0,80.0,1.493074226655979,0,0,24000,0,400,0,0,0,0,0,0,0,24000,15880,11577,0.6616666666666666,52.93333333333333,4.747869212887827,0,0,15880,0,400,0,0,0,0,0,0,0
500,0,periodic,30000,30000,0,1.0,100.0,1.878385727839144,0,0,30000,0,500,0,0,0,0,0,0,0,30000,19167,15360,0.6389,63.89,5.206946462274504,0,0,19167,0,500,0,0,0,0,0,0,0
600,0,periodic,36000,35962,198,0.9989444444444444,119.87333333333333,2.3059079167683976,0,0,35962,0,600,0,0,0,0,0,0,0,36000,23959,17674,0.6655277777777778,79.86333333333333,5.019132721418254,0,0,23959,0,600,0,0,0,0,0,0,0
700,0,periodic,42000,38344,10621,0.912952380952381,127.81333333333333,3.7636760226214534,0,0,38344,0,700,0,0,0,0,0,0,0,42000,28457,19302,0.6775476190476191,94.85666666666667,4.6526699489090255,0,0,28457,0,700,0,0,0,0,0,0,0
800,0,periodic,48000,38344,18781,0.7988333333333333,127.81333333333333,4.738253898252835,0,0,38344,0,800,0,0,0,0,0,0,0,48000,31759,23141,0.6616458333333334,105.86333333333333,4.787569745790632,0,0,31760,0,800,0,0,0,0,0,0,0
900,0,periodic,54000,38343,24817,0.7100555555555556,127.81,5.075657569646371,0,0,38344,0,900,0,0,0,0,0,0,0,54000,35051,26963,0.6490925925925926,116.83666666666667,4.953134910003352,0,0,35052,0,900,0,0,0,0,0,0,0
1000,0,periodic,60000,38343,31093,0.63905,127.81,5.175020928800194,0,0,38344,0,1000,0,0,0,0,0,0,0,60000,38343,31093,0.63905,127.81,5.175020928800194,0,0,38344,0,1000,0,0,0,0,0,0,0
1100,0,periodic,66000,38343,36800,0.5809545454545455,127.81,5.157063005435259,0,0,38344,0,1100,0,0,0,0,0,0,0,66000,38344,36787,0.580969696969697,127.81333333333333,5.2245350825464545,0,0,38344,0,1100,0,0,0,0,0,0,0
1200,0,periodic,72000,38343,42520,0.5325416666666667,127.81,5.118868390626582,0,0,38344,0,1200,0,0,0,0,0,0,0,72000,38344,42698,0.5325555555555556,127.81333333333333,5.162557314552221,0,0,38345,0,1200,0,0,0,0,0,0,0
