num_stas,seed,traffic,raw_on_adaptive_generated,raw_on_adaptive_delivered,raw_on_adaptive_dropped,raw_on_adaptive_pdr,raw_on_adaptive_throughput,raw_on_adaptive_avg_delay,raw_on_adaptive_retries,raw_on_adaptive_ack_timeouts,raw_on_adaptive_tx_attempts,raw_on_adaptive_collisions,raw_on_adaptive_per_drops,raw_on_adaptive_half_duplex_collisions,raw_on_adaptive_below_sensitivity,raw_on_adaptive_unsupported_mode,raw_on_adaptive_net_duplicates,raw_on_adaptive_transport_duplicates,raw_on_adaptive_net_forwarded,raw_on_adaptive_app_in_flight_timeouts,raw_on_static_generated,raw_on_static_delivered,raw_on_static_dropped,raw_on_static_pdr,raw_on_static_throughput,raw_on_static_avg_delay,raw_on_static_retries,raw_on_static_ack_timeouts,raw_on_static_tx_attempts,raw_on_static_collisions,raw_on_static_per_drops,raw_on_static_half_duplex_collisions,raw_on_static_below_sensitivity,raw_on_static_unsupported_mode,raw_on_static_net_duplicates,raw_on_static_transport_duplicates,raw_on_static_net_forwarded,raw_on_static_app_in_flight_timeouts
100,0,onoff,29806,28709,1637,0.9631953297993693,95.69666666666667,1.8133897069825213,0,0,28709,0,100,0,0,0,0,0,0,0,29831,4793,27905,0.1606717843853709,15.976666666666667,8.167012960067579,0,0,4793,0,100,0,0,0,0,0,0,0
200,0,onoff,59754,38155,32144,0.6385346587676138,127.18333333333334,4.276616152645298,0,0,38155,0,200,0,0,0,0,0,0,0,59723,9583,55870,0.16045744520536476,31.94333333333333,8.021175877251798,0,0,9583,0,200,0,0,0,0,0,0,0
300,0,onoff,89731,38258,70007,0.4263632412432716,127.52666666666667,5.4234177186154096,0,0,38259,0,300,0,0,0,0,0,0,0,90007,14375,83994,0.15970980034886176,47.916666666666664,7.526728271203999,0,0,14376,0,300,0,0,0,0,0,0,0
400,0,onoff,120069,38343,104638,0.31934137870724333,127.81,6.3152870906685195,0,0,38343,0,400,0,0,0,0,0,0,0,119649,19140,109847,0.15996790612541684,63.8,7.226545196660309,0,0,19140,0,400,0,0,0,0,0,0,0
500,0,onoff,149522,38342,135407,0.2564304918339776,127.80666666666667,7.105667985991642,0,0,38343,0,500,0,0,0,0,0,0,0,149529,19167,141272,0.12818249302810825,63.89,8.204660232182864,0,0,19167,0,500,0,0,0,0,0,0,0
600,0,onoff,179430,38343,164983,0.21369336231399433,127.81,7.782710194749919,0,0,38343,0,600,0,0,0,0,0,0,0,179435,23959,169166,0.13352467467328002,79.86333333333333,8.081359979483318,0,0,23959,0,600,0,0,0,0,0,0,0
700,0,onoff,208852,38343,194146,0.18358933598912147,127.81,8.131870163698487,0,0,38344,0,700,0,0,0,0,0,0,0,208671,28752,196580,0.13778627600385296,95.84,8.142375790021505,0,0,28752,0,700,0,0,0,0,0,0,0
800,0,onoff,239176,38344,223871,0.1603170886711041,127.81333333333333,8.085421054685073,0,0,38344,0,800,0,0,0,0,0,0,0,238324,33544,224083,0.14074956781524312,111.81333333333333,7.923464593349546,0,0,33544,0,800,0,0,0,0,0,0,0
900,0,onoff,269096,38343,253181,0.1424881826560038,127.81,8.0626510073897,0,0,38344,0,900,0,0,0,0,0,0,0,268819,38313,250989,0.14252340794363494,127.71,7.663662113823788,0,0,38313,0,900,0,0,0,0,0,0,0
1000,0,onoff,298815,38344,282216,0.1283201981158911,127.81333333333333,8.193446060061186,0,0,38344,0,1000,0,0,0,0,0,0,0,298815,38344,282216,0.1283201981158911,127.81333333333333,8.193446060061186,0,0,38344,0,1000,0,0,0,0,0,0,0
1100,0,onoff,328656,38344,311450,0.11666910082274476,127.81333333333333,8.137577379417888,0,0,38344,0,1100,0,0,0,0,0,0,0,329362,38344,312147,0.11641901615851252,127.81333333333333,8.099531687644712,0,0,38344,0,1100,0,0,0,0,0,0,0
1200,0,onoff,358415,38343,340883,0.10697933959237198,127.81,8.129445330424605,0,0,38344,0,1200,0,0,0,0,0,0,0,358496,38345,340811,0.10696074712130679,127.81666666666666,8.167544699066584,0,0,38345,0,1200,0,0,0,0,0,0,0
