policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi,aoi_s_mean,aoi_s_ci_lo,aoi_s_ci_hi,dvr_pct_mean,dvr_pct_ci_lo,dvr_pct_ci_hi,assoc_mean_s_mean,assoc_mean_s_ci_lo,assoc_mean_s_ci_hi,assoc_max_s_mean,assoc_max_s_ci_lo,assoc_max_s_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi
no_raw,100,0.600139,0.578197,0.622081,12.290844,11.841464,12.740224,1929.827474,1866.084267,1993.570682,4610.450543,4531.785925,4689.115161,0.399861,0.377919,0.421803,0.981434,0.974761,0.988106,0.892696,0.881275,0.904117,0.847805,0.839772,0.855839,1.0,1.0,1.0,2649.135476,2648.794489,2649.476462,0.0,0.0,0.0,2344.554116,2344.537224,2344.571008,5.567484,5.363222,5.771747,183951.730536,177225.18541,190678.275662,7.4569,7.273014,7.640786,40.444444,37.946485,42.942403,2.818418,2.774095,2.862741,4.694545,4.523847,4.865243,1.0,1.0,1.0
static,100,0.498889,0.490085,0.507693,10.217244,10.036943,10.397546,3051.622688,2960.110714,3143.134663,7981.647754,7385.65809,8577.637417,0.501111,0.492307,0.509915,0.778848,0.743436,0.814259,0.472523,0.462991,0.482055,0.471491,0.463607,0.479375,1.0,1.0,1.0,436.472007,433.935735,439.008278,53.186936,53.126502,53.24737,234.323409,231.927332,236.719486,28.090828,27.444099,28.737557,36455.262263,35617.843675,37292.680852,18.613236,15.612909,21.613562,58.444444,57.505181,59.383708,1.532503,1.433381,1.631625,1.828226,1.721738,1.934714,1.0,1.0,1.0
adaptive,100,1.0,1.0,1.0,20.48,20.48,20.48,622.936285,618.831363,627.041208,1434.308776,1374.22959,1494.387961,0.0,0.0,0.0,1.0,1.0,1.0,0.212814,0.206476,0.219152,0.212814,0.206476,0.219152,1.0,1.0,1.0,387.430408,383.287778,391.573037,54.72693,54.627513,54.826347,171.132483,167.189434,175.075531,63.434111,62.75547,64.112753,16142.933653,15970.324103,16315.543203,3.036347,3.033095,3.039598,0.0,0.0,0.0,1.699481,1.574232,1.82473,2.393798,2.105682,2.681914,1.0,1.0,1.0
laca,100,1.0,1.0,1.0,20.48,20.48,20.48,686.89413,681.594628,692.193633,1682.78005,1584.277247,1781.282853,0.0,0.0,0.0,1.0,1.0,1.0,0.18288,0.158356,0.207404,0.18288,0.158356,0.207404,0.995945,0.992951,0.998938,447.63034,437.73801,457.52267,53.129985,52.918109,53.341862,235.270262,227.000608,243.539916,54.905341,53.691871,56.118811,18651.264177,18239.083752,19063.444603,3.098817,3.08943,3.108204,0.0,0.0,0.0,1.632352,1.56266,1.702043,2.110455,1.955527,2.265383,1.0,1.0,1.0
chang2019,100,1.0,1.0,1.0,20.48,20.48,20.48,746.509187,732.758133,760.260241,1598.907314,1554.696603,1643.118025,0.0,0.0,0.0,1.0,1.0,1.0,0.204457,0.194561,0.214353,0.204457,0.194561,0.214353,0.997345,0.993277,1.001413,420.830717,417.049579,424.611854,53.855001,53.776309,53.933692,206.084931,203.02705,209.142812,58.399288,57.875246,58.923329,17534.613193,17377.065787,17692.160599,3.159906,3.150118,3.169695,0.0,0.0,0.0,1.711598,1.634591,1.788604,2.410335,2.28936,2.53131,1.0,1.0,1.0
tasm_raw,100,1.0,1.0,1.0,20.48,20.48,20.48,677.455706,617.261469,737.649942,1558.800783,1405.109609,1712.491957,0.0,0.0,0.0,1.0,1.0,1.0,0.298566,0.274545,0.322587,0.298566,0.274545,0.322587,0.998888,0.99748,1.000295,401.136862,398.228674,404.045049,54.553901,54.462366,54.645436,177.183748,173.346874,181.020622,61.26622,60.82248,61.709961,16714.035903,16592.861413,16835.210394,3.091916,3.034791,3.149042,0.0,0.0,0.0,1.68728,1.617274,1.757286,2.30659,2.178213,2.434968,1.0,1.0,1.0
traw,100,1.0,1.0,1.0,20.48,20.48,20.48,970.377088,965.805793,974.948383,1946.964373,1928.528621,1965.400126,0.0,0.0,0.0,1.0,1.0,1.0,0.411261,0.39483,0.427693,0.411261,0.39483,0.427693,0.999619,0.999294,0.999945,432.566864,427.914025,437.219703,54.061447,53.998255,54.124639,195.35373,193.101749,197.60571,56.815047,56.205169,57.424924,18023.619332,17829.751025,18217.487638,3.383516,3.3753,3.391733,0.0,0.0,0.0,1.783322,1.749903,1.816741,2.429457,2.262905,2.596009,1.0,1.0,1.0
no_raw,200,0.244653,0.240312,0.248993,10.020978,9.843187,10.198769,2811.903655,2664.822249,2958.985061,4876.411438,4805.738394,4947.084482,0.755347,0.751007,0.759688,0.966897,0.96479,0.969004,0.92307,0.921616,0.924525,0.851191,0.849606,0.852777,1.0,1.0,1.0,2559.208131,2559.185097,2559.231165,0.0,0.0,0.0,2355.927578,2355.926553,2355.928602,2.349393,2.30769,2.391097,435871.957069,428166.099768,443577.81437,13.621043,13.603411,13.638676,76.166667,75.793441,76.539892,10.739657,10.330414,11.1489,24.869028,24.384702,25.353355,1.0,1.0,1.0
static,200,0.472083,0.460383,0.483783,19.336533,18.857308,19.815759,3177.111697,3141.463024,3212.760369,8318.659079,7768.736051,8868.582107,0.527917,0.516217,0.539617,0.731152,0.700557,0.761747,0.474634,0.462912,0.486356,0.474036,0.462511,0.485562,1.0,1.0,1.0,443.22147,441.677247,444.765692,52.965329,52.928243,53.002414,243.43669,241.963872,244.909507,26.176626,25.437684,26.915568,39122.257287,38010.913424,40233.60115,21.222673,20.197898,22.247447,60.375,59.099843,61.650157,3.209975,3.162699,3.25725,3.946146,3.914363,3.977929,1.0,1.0,1.0
adaptive,200,0.983542,0.96976,0.997323,40.285867,39.721381,40.850352,1548.070942,1507.584477,1588.557408,3913.998276,3713.468036,4114.528516,0.016458,0.002677,0.03024,0.998579,0.997085,1.000073,0.360309,0.34676,0.373858,0.360309,0.34676,0.373858,1.0,1.0,1.0,490.723494,484.536796,496.910191,52.384911,52.244994,52.524827,263.326739,257.821319,268.832158,49.257743,48.333813,50.181672,20789.402114,20398.447261,21180.356968,4.014302,3.862577,4.166026,2.993056,1.388309,4.597802,3.606052,3.502788,3.709316,5.128021,5.014786,5.241257,1.0,1.0,1.0
