policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj,aoi_s,dvr_pct,assoc_mean_s,assoc_max_s,assoc_frac
no_raw,100,42,0.609583,12.484267,1911.828477,4588.99523,0.390417,0.978812,0.887504,0.84415,1.0,2648.979203,0.0,2344.561867,5.655431,181064.880602,7.388792,39.333333,2.798144,4.650508,1.0
no_raw,100,7,0.592083,12.125867,1959.207386,4595.53888,0.407917,0.984179,0.896251,0.850294,1.0,2649.236481,0.0,2344.549157,5.492541,186434.657321,7.535671,41.291667,2.831719,4.659409,1.0
no_raw,100,99,0.59875,12.2624,1918.44656,4646.817517,0.40125,0.981309,0.894332,0.848972,1.0,2649.190743,0.0,2344.551323,5.554481,184355.653686,7.446237,40.708333,2.825392,4.773717,1.0
static,100,42,0.49875,10.2144,3068.711514,8219.917263,0.50125,0.782913,0.471458,0.470426,1.0,437.029689,53.174377,234.815125,28.04679,36510.416809,17.844408,58.5,1.571839,1.869901,1.0
static,100,7,0.495417,10.146133,3076.810116,7984.873725,0.504583,0.790627,0.47678,0.47506,1.0,437.092603,53.171456,234.942923,27.855333,36761.362723,17.990073,58.791667,1.533606,1.830512,1.0
static,100,99,0.5025,10.2912,3009.346435,7740.152273,0.4975,0.763003,0.469331,0.468987,1.0,435.293728,53.214974,233.212179,28.370361,36094.007258,20.005225,58.041667,1.492064,1.784265,1.0
adaptive,100,42,1.0,20.48,624.290246,1449.265606,0.0,1.0,0.212598,0.212598,1.0,389.024343,54.686278,172.755967,63.173425,16209.347607,3.037689,0.0,1.74582,2.461024,1.0
adaptive,100,7,1.0,20.48,623.423459,1447.252061,0.0,1.0,0.215467,0.215467,1.0,387.568897,54.72823,171.057157,63.410661,16148.704022,3.036277,0.0,1.706828,2.460485,1.0
adaptive,100,99,1.0,20.48,621.095151,1406.40866,0.0,1.0,0.210378,0.210378,1.0,385.697984,54.766281,169.584324,63.718249,16070.749329,3.035074,0.0,1.645795,2.259884,1.0
laca,100,42,1.0,20.48,684.433244,1637.1291,0.0,1.0,0.191452,0.191452,0.997078,451.605968,53.043351,238.65929,54.419121,18816.915334,3.094482,0.0,1.663921,2.171685,1.0
laca,100,7,1.0,20.48,688.216342,1702.592718,0.0,1.0,0.172088,0.172088,0.994679,443.642242,53.213853,232.00533,55.395987,18485.093436,3.100559,0.0,1.622848,2.04702,1.0
laca,100,99,1.0,20.48,688.032805,1708.618332,0.0,1.0,0.185099,0.185099,0.996077,447.64281,53.132752,235.146165,54.900915,18651.783761,3.101411,0.0,1.610286,2.11266,1.0
chang2019,100,42,1.0,20.48,750.901906,1578.36241,0.0,1.0,0.20904,0.20904,0.997784,422.508607,53.821143,207.393366,58.166862,17604.525282,3.16294,0.0,1.745009,2.451815,1.0
chang2019,100,7,1.0,20.48,748.33344,1608.833893,0.0,1.0,0.201824,0.201824,0.998718,420.444504,53.859948,205.911362,58.452423,17518.521009,3.161325,0.0,1.706009,2.422471,1.0
chang2019,100,99,1.0,20.48,740.292216,1609.525638,0.0,1.0,0.202506,0.202506,0.995533,419.539039,53.883911,204.950065,58.578577,17480.793288,3.155453,0.0,1.683775,2.35672,1.0
tasm_raw,100,42,1.0,20.48,701.012196,1615.794459,0.0,1.0,0.309324,0.309324,0.999455,400.860589,54.587152,175.724565,61.308097,16702.524561,3.114634,0.0,1.708945,2.364788,1.0
tasm_raw,100,7,1.0,20.48,678.749828,1567.599372,0.0,1.0,0.295775,0.295775,0.998887,402.420895,54.51429,178.801223,61.070388,16767.537281,3.09246,0.0,1.655423,2.266088,1.0
tasm_raw,100,99,1.0,20.48,652.605093,1493.008517,0.0,1.0,0.2906,0.2906,0.998322,400.129101,54.56026,177.025455,61.420177,16672.045868,3.068655,0.0,1.697472,2.288895,1.0
traw,100,42,1.0,20.48,970.234982,1954.566388,0.0,1.0,0.418605,0.418605,0.999549,434.684415,54.032442,196.389164,56.537569,18111.850632,3.380186,0.0,1.798794,2.414684,1.0
