policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,500,1.0,3,0.034872,0.02031,0.049434,17.854578,10.398755,25.3104,2369.522388,2211.706833,2527.337943,4797.874564,4734.470235,4861.278893,0.965128,0.950566,0.97969,0.939645,0.893638,0.985652,0.828298,0.690867,0.965729,0.774252,0.707744,0.840761,1.0,1.0,1.0,24105.93382,9789.021481,38422.846158,68862.092444,19362.810374,118361.374514,1010.932416,1007.253289,1014.611543,867.259173,498.408385,1236.10996,22213.873859,7778.845981,36648.901736,0.060667,0.057798,0.063535,2502.932561,2502.645881,2503.219241,38.275974,38.092762,38.459187,101.723507,101.515848,101.931166,2362.933079,2362.849192,2363.016967,0.0,0.0,0.0,27.795571,25.815634,29.775508,1.110521,1.03129,1.189753,24.370667,8.243344,40.497989,1.712023,0.997279,2.426766,610789.099954,329781.765097,891796.434812
static,500,1.0,3,0.057567,0.056259,0.058874,29.474133,28.804747,30.14352,6164.353891,6080.631698,6248.076083,10811.165506,10129.377154,11492.953857,0.942433,0.941126,0.943741,0.641228,0.626873,0.655584,0.512411,0.509215,0.515607,0.511646,0.508603,0.514689,1.0,1.0,1.0,24904.317303,23085.515785,26723.118821,51983.044889,47807.417144,56158.672634,12750.987314,12744.526591,12757.448036,5233.963739,4478.460683,5989.466795,6912.238565,5858.590201,7965.88693,1.0,1.0,1.0,770.759873,737.320174,804.199573,32.292496,32.15697,32.428022,102.765865,102.69748,102.834251,591.405098,557.04726,625.762936,44.296414,43.437283,45.155545,15.047075,14.775034,15.319117,1.952482,1.899293,2.005672,10.584667,10.213166,10.956167,9.180556,8.568194,9.792917,111592.967316,104253.921285,118932.013348
adaptive,500,1.0,3,0.058778,0.05855,0.059006,30.094222,29.977463,30.210981,5920.247483,5886.365657,5954.129308,10557.742932,10050.743905,11064.741958,0.941222,0.940994,0.94145,0.650137,0.620562,0.679711,0.506717,0.503655,0.50978,0.505767,0.502316,0.509218,1.0,1.0,1.0,35156.946238,34141.947326,36171.94515,57503.032889,56465.515038,58540.55074,12750.678513,12743.022167,12758.334859,10603.11142,10077.393939,11128.8289,11786.503525,11275.017454,12297.989597,1.0,1.0,1.0,964.171239,945.943823,982.398655,32.20225,32.027065,32.377434,102.828025,102.796016,102.860034,789.804793,770.979386,808.630201,39.336171,38.86573,39.806612,14.526554,14.257518,14.795589,1.506713,1.460829,1.552597,10.402667,10.319179,10.486154,7.491352,7.322033,7.660671,136698.515002,133597.160309,139799.869696
cluster_csv,500,1.0,3,0.06095,0.060232,0.061668,31.2064,30.838599,31.574201,5721.247244,5662.189691,5780.304798,10991.872469,10487.167587,11496.577352,0.93905,0.938332,0.939768,0.359708,0.348208,0.371208,0.486091,0.485425,0.486756,0.485438,0.485132,0.485744,1.0,1.0,1.0,31537.137507,30694.419356,32379.855657,48682.760444,46017.807652,51347.713237,12750.829919,12742.197966,12759.461872,8813.573996,8209.133344,9418.014647,9961.057685,9604.087777,10318.027594,1.0,1.0,1.0,897.503826,881.24639,913.761262,31.343664,31.259981,31.427347,102.796284,102.778735,102.813834,722.338406,705.633564,739.043247,41.025472,40.607843,41.443101,13.571421,13.48772,13.655121,1.512179,1.48551,1.538847,9.799333,9.679226,9.919441,8.345337,8.096769,8.593906,122715.063385,119042.529342,126387.597429
cluster_adaptive,500,1.0,3,0.061478,0.059978,0.062978,31.476622,30.708639,32.244605,5659.081705,5617.542319,5700.62109,10041.252798,9510.39862,10572.106975,0.938522,0.937022,0.940022,0.465972,0.445557,0.486386,0.501113,0.497772,0.504454,0.500314,0.496852,0.503775,1.0,1.0,1.0,31892.166584,30688.129524,33096.203644,51290.130222,48594.523819,53985.736626,12751.006482,12744.527111,12757.485852,8948.449912,8379.190651,9517.709173,10181.957358,9554.153611,10809.761105,1.0,1.0,1.0,903.233046,881.108624,925.357469,32.938582,32.607574,33.26959,102.81476,102.776898,102.852621,726.564463,703.616139,749.512787,40.915241,40.342032,41.48845,14.645088,14.515375,14.774801,1.621534,1.572303,1.670765,10.417333,10.33209,10.502577,8.364723,7.971832,8.757613,122448.206804,116668.167735,128228.245873
laca,500,1.0,3,0.054711,0.053524,0.055898,28.012089,27.404159,28.620019,6518.723502,6459.868745,6577.57826,12009.487659,11320.356577,12698.618741,0.945289,0.944102,0.946476,0.669903,0.659552,0.680254,0.488422,0.484174,0.492669,0.487794,0.483344,0.492244,0.980458,0.975436,0.985479,31550.165748,30496.49606,32603.835436,49584.887111,48182.634404,50987.139818,12751.062658,12747.419763,12754.705553,9017.079804,8566.528245,9467.631364,9771.4549,9166.075091,10376.834708,1.0,1.0,1.0,898.102308,878.407825,917.796791,29.140909,29.117289,29.164528,102.765012,102.730112,102.799912,725.237009,705.071084,745.402935,40.959378,40.454974,41.463781,12.86825,12.621141,13.115359,1.432852,1.412041,1.453663,9.493333,9.21525,9.771417,7.486445,7.160013,7.812877,136808.480396,130876.978477,142739.982315
chang2019,500,1.0,3,0.029289,0.02357,0.035008,14.995911,12.067795,17.924027,4658.692708,4215.140011,5102.245405,7577.016386,6336.31895,8817.713822,0.970711,0.964992,0.97643,0.332419,0.27551,0.389328,0.664694,0.62704,0.702348,0.644397,0.616073,0.672722,1.0,1.0,1.0,39303.942812,21812.863245,56795.022378,60985.423111,44565.071175,77405.775047,12751.716878,12743.030567,12760.403189,13824.475575,1300.056213,26348.894938,12692.186559,7737.6062,17646.766918,1.0,1.0,1.0,1377.378406,1152.814046,1601.942767,33.70255,33.334739,34.070362,102.513125,102.340329,102.68592,1212.392891,981.879302,1442.906479,28.769841,23.006612,34.533069,21.739952,20.450124,23.02978,1.584317,1.245396,1.923239,14.528667,14.02317,15.034163,2.611516,2.528688,2.694344,392151.844358,379778.011692,404525.677025
etaroa,500,1.0,3,0.059489,0.057739,0.061238,30.458311,29.562556,31.354066,5829.551457,5748.401236,5910.701679,10181.25141,10092.687554,10269.815266,0.940511,0.938762,0.942261,0.644018,0.620903,0.667133,0.506012,0.498228,0.513797,0.505236,0.496833,0.513639,1.0,1.0,1.0,36056.798383,35186.1824,36927.414366,60529.077778,59393.561113,61664.594443,12751.772388,12745.078726,12758.466051,10813.702425,10227.853453,11399.551397,12475.349374,11834.61564,13116.083108,1.0,1.0,1.0,981.57039,964.064492,999.076288,32.378259,32.249362,32.507157,102.840735,102.813144,102.868325,807.457125,789.6079,825.30635,38.894272,38.447774,39.340769,14.530278,14.044412,15.016145,1.480308,1.438949,1.521666,10.4,10.141199,10.658801,7.447884,7.102862,7.792905,137520.27363,131214.867104,143825.680157
no_raw,500,2.0,3,0.027389,-0.0225,0.077278,7.011556,-5.760096,19.783207,2316.298498,-1094.709584,5727.306579,4565.751423,2985.945407,6145.557438,0.972611,0.922722,1.0225,0.972508,0.901564,1.043453,0.91615,0.636204,1.196096,0.816108,0.631478,1.000738,1.0,1.0,1.0,8812.206556,-17447.074074,35071.487186,43634.169778,-91839.927056,179108.266612,1023.520758,722.802033,1324.239483,703.222647,-1100.849452,2507.294746,6994.924052,-16800.205233,30790.053337,0.060667,0.035658,0.085675,2502.349422,2500.352051,2504.346793,37.703123,34.538747,40.8675,101.61436,100.41059,102.818131,2363.031938,2362.995062,2363.068814,0.0,0.0,0.0,30.553174,24.742236,36.364113,1.22096,0.989672,1.452247,41.614,7.023081,76.204919,0.672583,-0.553107,1.898273,2037429.445349,-584169.574525,4659028.465222
static,500,2.0,3,0.111467,0.11082,0.112113,28.535467,28.369892,28.701042,5421.366722,5291.005805,5551.727639,10511.489737,9946.100622,11076.878853,0.888533,0.887887,0.88918,0.624142,0.579448,0.668836,0.520958,0.519019,0.522897,0.520001,0.517645,0.522357,1.0,1.0,1.0,25234.100618,24219.647461,26248.553774,54361.619111,52422.636334,56300.601888,12750.720415,12740.601378,12760.839452,5283.637868,4951.806003,5615.469734,7189.587308,6495.228639,7883.945976,1.0,1.0,1.0,777.501855,758.623489,796.380222,32.387194,32.301257,32.47313,102.759,102.711572,102.806427,598.23008,578.832031,617.628129,44.125582,43.640491,44.610672,14.696608,14.489608,14.903608,1.890335,1.844387,1.936283,10.42,10.260305,10.579695,8.809005,8.558186,9.059824,116254.841547,112952.556696,119557.126397
