policy,num_stas,packet_interval,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,elapsed_s
no_raw,500,1.0,42,0.03755,19.2256,2339.5081129478926,4801.251754854344,0.96245,0.9317458805285831,0.8,0.7602421796165489,1.0,22856.79088171794,78922.69866665664,1012.5679139785179,1038.0144516130185,20764.603397846826,0.062,2502.9624658133152,38.26884479999945,101.7770076799797,2362.9166133333406,0.0,27.427295999999764,1.095793339876853,21.004,1.8434731095740482,555473.2502914594,40.29
static,500,1.0,42,0.058166666666666665,29.781333333333333,6203.190646498073,11123.389325855378,0.9418333333333333,0.6476945824993935,0.5111044642189486,0.5105062439243251,1.0,24068.40110933147,50086.65066666488,12748.054885333588,4886.2434666652925,6428.688562665921,1.0,755.3390667172756,32.34707519999998,102.73648991997985,575.5629483732945,44.6925532240012,14.933740800000002,1.977091012239371,10.42,9.46266427217027,108214.76600534034,22.82
adaptive,500,1.0,42,0.05868333333333333,30.045866666666665,5904.500923538903,10434.18386167906,0.9413166666666667,0.6439727293977092,0.5055345179143607,0.5045150014564521,1.0,35623.72158132498,57781.534666665946,12747.169082666896,10847.182527998135,12010.11187999328,1.0,972.4544247411645,32.123126399999975,102.84280586664659,798.3662572798471,39.122235194670615,14.46097920000001,1.4870598387013403,10.432,7.415265761086268,138093.49967923382,21.51
laca,500,1.0,42,0.055216666666666664,28.270933333333335,6523.633783031732,11887.235934555201,0.9447833333333333,0.6704724351730247,0.4865206735710333,0.48588821250691755,0.9820833333333333,31072.45928799615,48933.135999997605,12749.37161333374,8811.504631997434,9499.749005331645,1.0,889.2049226905779,29.142566399999982,102.74927018664638,716.1258059732636,41.18728013066861,12.801110399999997,1.4396130828050397,9.374,7.6304390887420075,134199.35446582825,21.61
chang2019,500,1.0,42,0.031933333333333334,16.349866666666667,4453.082950012798,8129.043866424208,0.9680666666666666,0.31617052794763584,0.6475254475254475,0.6315198315198315,1.0,47414.490760745335,68480.16799999651,12748.055584000234,19642.910969088967,14963.349260989466,1.0,1481.4725641401255,33.539951999999964,102.59170751997962,1319.2424857779283,26.098418842218614,21.15622079999999,1.4280534997473582,14.294,2.648694343035333,386605.5751931434,56.63
no_raw,500,2.0,42,0.0152,3.8912,3170.1417110896027,4945.666599315213,0.9848,0.9852545392517342,0.9851246804130558,0.8623368861440383,1.0,3499.5085591399024,21075.81466666666,1010.708559139798,261.6245591397634,2227.175440860341,0.062,2502.8514831999732,38.49382079999994,101.31796959998002,2363.0396928000023,0.0,31.960732799999963,1.276972805399431,50.33,0.37312961087327295,2744354.6964911986,332.47
static,500,2.0,42,0.11163333333333333,28.578133333333334,5413.94982849195,10272.542734562316,0.8883666666666666,0.6369899758625586,0.5215787532275913,0.5206196975285873,1.0,25346.33144533183,54595.14133332801,12747.010845333807,5289.788855999711,7302.110978664979,1.0,779.898152254609,32.392185600000026,102.75731861331313,600.6844250132946,44.064223028001116,14.7928128,1.8967621294184924,10.452,8.794420117770533,116437.46674449224,35.98
adaptive,500,2.0,42,0.11476666666666667,29.380266666666667,5109.870065262621,10282.05333124124,0.8852333333333333,0.6433959673261147,0.5141209954024666,0.5130993213165,1.0,35150.680765330275,58001.286666663764,12749.075778666916,10501.631461331748,11888.414087998282,1.0,963.5295863812547,32.21879999999998,102.82509205331317,789.1327442132736,39.35295011466832,14.13271680000001,1.4667652140375373,10.18,7.318160334320981,139925.87661650518,20.77
laca,500,2.0,42,0.10706666666666667,27.409066666666664,5854.358766209069,12359.50170787959,0.8929333333333334,0.6792825915196208,0.4961038961038961,0.49523809523809526,0.9801664355062414,31023.4224479951,48997.43733332495,12748.156946667139,8665.591421332114,9597.316826662516,1.0,888.7998909985555,29.25263999999999,102.73560042664634,715.6117136532406,41.19993691866915,12.677270399999994,1.4263357284795837,9.334,7.401189026485481,138356.14741571536,19.5
chang2019,500,2.0,42,0.0607,15.539200000000001,3657.338898069644,8218.96744229177,0.9393,0.40382889849601167,0.6549748956933739,0.6417509369917261,1.0,46952.879967992514,67977.45466666544,12747.087901333618,19877.428391992817,14273.683143999402,1.0,1478.4552621091693,33.70954559999997,102.54469663997955,1316.022185493186,26.178834376003838,21.66911999999999,1.4656594998408508,14.48,2.5225031122548907,405945.98080976645,55.01
no_raw,500,3.0,42,0.02115,3.6096,2916.521905598735,4910.23213878969,0.97885,0.9783207759685938,0.9864027650971697,0.8635385418025303,1.0,3696.2287017532362,73491.04933328668,1194.2543508772037,301.29270175439706,2200.681649121635,0.076,2502.821643306638,38.46138239999998,101.3164849066467,2363.0437760000104,0.0,31.9705536,1.2773804192360128,51.244,0.34613093678360163,2958418.018092953,403.6
static,500,3.0,42,0.16615,28.356266666666667,4528.128390712109,10052.533207350907,0.83385,0.6432487111525355,0.5235416049748297,0.5228753331359195,1.0,25036.241898665714,52992.81999999842,12747.481880000381,5237.18236266562,7042.6722453330485,1.0,774.298505998621,32.45903040000002,102.73883103997983,594.8916384533077,44.209006105334076,14.497929600000008,1.8723953988910098,10.254,8.789251105712609,116505.9443272075,36.8
adaptive,500,3.0,42,0.16845,28.7488,4224.42175799077,9614.66712700578,0.83155,0.6889114746138205,0.5212408759124088,0.5202189781021898,1.0,35542.42487199665,61501.570666659456,12748.040224000384,10410.828738662323,12372.352408000615,1.0,972.2658979519092,32.376758399999986,102.80867775997974,797.9482045865946,39.132257205335314,14.027500800000002,1.4427638395575857,10.068,7.096527826939456,144295.91836626732,19.39
laca,500,3.0,42,0.1554,26.5216,5025.637448928676,11876.499262448939,0.8446,0.6735228001673407,0.5020048745970596,0.5012186492648794,0.9836293007769146,31013.76425866335,49011.85333332763,12749.111730666968,8647.724415998802,9598.855349330912,1.0,888.5283566025774,29.263699200000005,102.73029322664628,715.3273049599298,41.20705921600194,12.457439999999997,1.4020306619850493,9.212,7.163737603533829,142942.14231058196,18.82
chang2019,500,3.0,42,0.086,14.677333333333333,3126.655491274136,8109.014869468129,0.914,0.4960429242119383,0.6567612921269752,0.6435463571528458,1.0,47746.21257331887,69985.4413333301,12748.109256000329,20236.342370660677,14683.601293324537,1.0,1496.9070076943792,33.55014719999996,102.58021354664622,1335.0739503463926,25.702696601340328,21.958319999999983,1.4669127666000727,14.79,2.353225672599159,435147.3859576684,53.38
no_raw,500,4.0,42,0.031,3.968,2730.5994291133143,4867.441048761523,0.969,0.9743332086643445,0.9837871117799972,0.8639006704063483,1.0,4152.122231292652,97476.69066666417,1468.681986394596,345.45365986399304,2337.9865850340625,0.098,2502.9214611199723,38.56452479999994,101.32849471998006,2363.0284416000136,0.0,31.984713600000017,1.2778952155249788,48.694,0.3804833730475383,2691313.3990537333,417.95
static,500,4.0,42,0.21693333333333334,27.767466666666667,4006.152386561712,9519.509890553507,0.7830666666666667,0.6491641223714057,0.5283200236616385,0.5275805974563739,1.0,24746.639914665655,52469.051999998155,12748.160306667321,5021.309602666178,6972.22595466549,1.0,768.1929043319526,32.44043520000001,102.73736949331317,588.649988853306,44.36511078533419,14.3965056,1.874074274679705,10.2,8.67515432962169,118038.24590226683,45.11
adaptive,500,4.0,42,0.2242,28.697599999999998,3640.6300942203266,8625.306564911934,0.7758,0.6868350286946224,0.5183586892919836,0.5177004095962551,1.0,34837.019445330814,59002.883999999314,12748.242050666902,10266.506135998152,11808.261858665757,1.0,958.2524039386022,32.36430719999996,102.79958773331317,783.5973731199533,39.491135885334664,13.854422400000008,1.4458009542220462,9.982,7.187484186516369,142469.8786706218,19.12
laca,500,4.0,42,0.20626666666666665,26.402133333333335,4497.959231707796,11220.696791869846,0.7937333333333334,0.6845563501144165,0.5040522464395311,0.503186718073806,0.9802240354031254,30024.653010664304,49421.37199999182,12748.195962666887,8143.805701331743,9116.352954665672,1.0,869.8497942332576,29.281372799999993,102.72615327997971,696.1559405332766,41.686327620001514,12.227155199999995,1.4056628260489281,9.06,7.284604815691673,140570.4257002679,18.0
chang2019,500,4.0,42,0.1078,13.798399999999999,2891.3718895291504,7617.757703592909,0.8922,0.5627222640697299,0.6660611988263239,0.6522984490708398,1.0,46601.92585332776,68977.46399999586,12749.079984000375,19218.38465599329,14582.226965334095,1.0,1487.094394687891,33.66815039999997,102.55652789331285,1324.9131362132425,25.95658018133576,22.321478400000014,1.501012879863945,14.988,2.2269036934236017,459831.29087442515,951.91
