policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,100,5.0,3,0.633889,0.592427,0.675351,12.982044,12.132909,13.831179,1663.565668,1210.691457,2116.439879,4551.157161,4261.319364,4840.994959,0.366111,0.324649,0.407573,0.962482,0.921102,1.003861,0.854626,0.835977,0.873274,0.819874,0.810601,0.829147,1.0,1.0,1.0,10139.705175,2996.130121,17283.280229,81744.928889,-61945.365251,225435.223029,2710.908448,2595.173196,2826.6437,1738.900468,1638.618588,1839.182348,5640.457082,-1473.421421,12754.335585,0.98,0.930313,1.029687,2645.187458,2644.026344,2646.348571,197.225712,195.565914,198.88551,103.149863,102.685849,103.613877,2344.811883,2344.777003,2344.846762,0.0,0.0,0.0,155.42328,154.421342,156.425218,5.875699,5.839829,5.911568,88.416667,87.929627,88.903707,5.889375,5.501684,6.277066,173954.490393,162414.888421,185494.092365
static,100,5.0,3,0.488056,0.456961,0.51915,9.995378,9.358563,10.632192,3225.440581,2827.582662,3623.298499,8314.010774,7892.177134,8735.844413,0.511944,0.48085,0.543039,0.764731,0.736805,0.792657,0.485647,0.455307,0.515986,0.485262,0.454513,0.516011,1.0,1.0,1.0,3441.193667,3252.384648,3630.002685,5839.085778,5624.832748,6053.338807,2756.056996,2749.015588,2763.098403,320.163462,193.266292,447.060632,364.973209,302.725449,427.220969,1.0,1.0,1.0,472.993019,470.652406,475.333631,48.039536,47.676798,48.402274,102.979994,102.859795,103.100193,269.679401,267.381847,271.976954,52.294088,52.236387,52.351789,18.866192,18.096712,19.635672,3.988651,3.834829,4.142472,12.423333,12.10778,12.738887,25.358805,23.722301,26.99531,40398.369951,37827.750268,42968.989634
adaptive,100,5.0,3,0.983056,0.98186,0.984251,20.132978,20.108498,20.157457,662.574228,640.248012,684.900443,1595.630841,1449.092351,1742.169331,0.016944,0.015749,0.01814,0.999567,0.999557,0.999577,0.27288,0.263463,0.282296,0.272801,0.263693,0.281909,1.0,1.0,1.0,4514.545707,4099.214582,4929.876831,7748.054667,7095.028418,8401.080915,2754.580836,2746.685112,2762.476559,801.134667,646.530862,955.738471,958.011827,692.932798,1223.090855,1.0,1.0,1.0,442.558552,428.129512,456.987592,60.100496,59.745592,60.4554,103.947916,103.824775,104.071057,225.143975,210.666371,239.621579,53.366165,53.002711,53.729619,15.260736,14.940159,15.581313,3.448602,3.338656,3.558549,10.493333,10.045922,10.940744,54.597143,52.762735,56.43155,18757.860288,18124.111186,19391.60939
cluster_csv,100,5.0,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,1.0,1.0,1.0,4365.06488,3981.21599,4748.91377,7769.083111,6954.929902,8583.236321,2754.621973,2748.669568,2760.574379,740.943231,527.279791,954.606672,867.620382,686.42673,1048.814035,1.0,1.0,1.0,455.480065,444.273492,466.686638,58.747408,56.892253,60.602563,103.949079,103.880764,104.017394,239.779553,229.044047,250.51506,53.004025,52.733563,53.274487,13.775312,11.72755,15.823074,3.024031,2.599101,3.448961,9.663333,8.40823,10.918436,53.128531,51.576357,54.680704,19275.789708,18712.818406,19838.761011
cluster_adaptive,100,5.0,3,0.985694,0.978959,0.992429,20.187022,20.049088,20.324956,673.099974,647.374206,698.825743,1630.853358,1608.887704,1652.819012,0.014306,0.007571,0.021041,0.999602,0.999507,0.999697,0.258368,0.254066,0.262671,0.258287,0.253818,0.262755,1.0,1.0,1.0,4134.551782,3401.168837,4867.934728,7364.128444,6492.033879,8236.22301,2754.817796,2747.938259,2761.697332,639.483676,263.16439,1015.802961,736.490942,382.645898,1090.335987,1.0,1.0,1.0,420.305222,406.20556,434.404885,58.94792,58.337066,59.558774,103.916023,103.811081,104.020965,203.531339,188.564237,218.498442,53.90994,53.536633,54.283247,13.935664,13.322681,14.548647,3.316513,3.061957,3.57107,9.616667,9.455026,9.778308,57.643732,55.320275,59.967189,17767.390859,17055.288251,18479.493467
laca,100,5.0,3,0.985694,0.979629,0.99176,20.187022,20.062803,20.311241,732.656065,727.915296,737.396833,1819.122992,1724.525435,1913.720548,0.014306,0.00824,0.020371,0.999601,0.999522,0.99968,0.250139,0.237046,0.263231,0.249975,0.237394,0.262557,0.995622,0.99355,0.997694,4151.872129,3956.46155,4347.282708,7614.774667,6893.266307,8336.283026,2756.265111,2749.917119,2762.613103,630.938427,555.375359,706.501494,762.393258,652.816098,871.970417,1.0,1.0,1.0,496.804002,492.237944,501.370061,58.038336,57.397533,58.679139,103.930892,103.852125,104.009659,282.906815,278.725123,287.088506,51.92796,51.821743,52.034176,12.997408,12.238055,13.756761,2.616108,2.481096,2.751121,9.14,8.704709,9.575291,48.761195,48.062226,49.460164,21000.772816,20699.056233,21302.489398
chang2019,100,5.0,3,0.984583,0.980071,0.989095,20.164267,20.071859,20.256674,758.541924,717.459659,799.624188,1681.78476,1577.748628,1785.820893,0.015417,0.010905,0.019929,0.999585,0.999526,0.999644,0.256849,0.227212,0.286486,0.256849,0.227212,0.286486,0.99686,0.994792,0.998928,4357.614133,3655.723759,5059.504508,7941.773333,7407.52081,8476.025857,2756.051582,2749.694539,2762.408625,739.703347,341.643523,1137.76317,861.859204,540.256506,1183.461903,1.0,1.0,1.0,475.828862,449.644212,502.013511,58.66752,56.69692,60.63812,103.913306,103.779836,104.046776,260.768217,235.809988,285.726445,52.479819,51.850051,53.109587,13.701184,11.699894,15.702474,2.878146,2.595125,3.161167,9.506667,8.132998,10.880336,50.870263,47.889034,53.851493,20137.145822,18951.066258,21323.225385
etaroa,100,5.0,3,0.986111,0.980135,0.992088,20.195556,20.073159,20.317952,663.613727,641.686222,685.541231,1625.80016,1528.751963,1722.848357,0.013889,0.007912,0.019865,0.999607,0.999526,0.999689,0.272194,0.266112,0.278276,0.271954,0.265866,0.278042,1.0,1.0,1.0,4304.63928,3914.732722,4694.545838,7738.571556,7245.319994,8231.823118,2756.097929,2749.746107,2762.44975,691.703684,431.078045,952.329324,847.975133,721.015925,974.934342,1.0,1.0,1.0,440.033158,435.283665,444.782652,60.323856,60.109839,60.537873,103.924372,103.813162,104.035583,222.349329,217.713654,226.985005,53.435601,53.31852,53.552681,15.354992,15.115359,15.594625,3.489494,3.464533,3.514454,10.403333,9.81947,10.987197,55.075661,54.180897,55.970424,18593.13594,18290.528758,18895.743123
no_raw,200,5.0,3,0.322292,0.307175,0.337408,13.201067,12.581905,13.820228,1365.617426,1105.868952,1625.3659,4528.860852,4324.178007,4733.543698,0.677708,0.662592,0.692825,0.949779,0.790207,1.109352,0.818721,0.730385,0.907057,0.78718,0.70209,0.87227,1.0,1.0,1.0,15134.831247,-9191.355236,39461.01773,62409.589778,-59230.17424,184049.353795,2418.100963,1634.768203,3201.433723,1739.765207,-3472.035653,6951.566068,10588.656519,-6883.648537,28060.961575,0.431667,0.273402,0.589932,2555.340261,2552.292049,2558.388473,96.58836,92.383051,100.793669,102.571532,101.553195,103.58987,2356.180369,2356.041607,2356.31913,0.0,0.0,0.0,76.246032,72.083343,80.408721,2.983771,2.824385,3.143157,47.436667,42.545858,52.327475,3.099628,2.956984,3.242273,330437.455956,315292.777966,345582.133946
static,200,5.0,3,0.443819,0.435729,0.45191,18.178844,17.847469,18.51022,3047.628005,2956.37325,3138.882759,7810.925978,7016.337694,8605.514261,0.556181,0.54809,0.564271,0.737075,0.712694,0.761457,0.495506,0.491208,0.499805,0.494954,0.490225,0.499683,1.0,1.0,1.0,6459.203647,5984.873838,6933.533456,12409.841778,11419.65101,13400.032546,5253.026464,5247.394088,5258.65884,578.256587,370.045651,786.467522,626.138838,357.380806,894.89687,1.0,1.0,1.0,501.757256,493.206159,510.308353,45.183544,45.102631,45.264457,102.913569,102.838808,102.988329,302.169848,293.555979,310.783716,51.490296,51.274137,51.706454,18.215456,17.490336,18.940576,3.630311,3.505654,3.754969,12.073333,11.467041,12.679626,21.739103,21.12614,22.352067,47108.130978,45771.141773,48445.120182
