policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
no_raw,100,3,0.964375,0.953605,0.975144,20.266667,19.281166,21.252167,139.702474,108.357066,171.047882,375.003986,-561.449439,1311.457412,0.035625,0.024856,0.046395,0.962119,0.948405,0.975834,0.189714,0.173401,0.206026,0.189625,0.172994,0.206257,1.0,1.0,1.0,5714.834397,5445.29682,5984.371975,9116.254107,8380.923219,9851.584995,2747.544289,2715.233747,2779.85483,1406.17317,1092.756624,1719.589716,1558.867077,1440.756836,1676.977317,1.0,1.0,1.0,2516.929429,2514.60775,2519.251108,52.27616,49.679314,54.873006,104.014937,103.968259,104.061614,2360.638332,2360.343194,2360.933471,0.0,0.0,0.0,7.259072,5.880527,8.637617,0.288407,0.233779,0.343035,6.12,5.612684,6.627316,9.662527,9.200516,10.124539,106002.432887,100964.476664,111040.389109
static,100,3,0.48625,0.440098,0.532402,10.441956,9.695337,11.188574,2882.646465,2811.48927,2953.803661,7862.698323,7493.737958,8231.658688,0.51375,0.467598,0.559902,0.782696,0.771709,0.793682,0.461456,0.434277,0.488635,0.461063,0.432785,0.489341,1.0,1.0,1.0,3419.066476,3222.858648,3615.274303,5818.917333,5516.372895,6121.461772,2747.525076,2722.892873,2772.157278,316.045671,231.160814,400.930528,355.495729,266.346893,444.644565,1.0,1.0,1.0,470.103948,466.968462,473.239435,47.167456,46.719408,47.615504,103.003223,102.910498,103.095949,267.584575,264.689107,270.480043,52.348694,52.275509,52.421878,17.496,16.277057,18.714943,3.721568,3.485929,3.957207,11.613333,10.869552,12.357115,26.655919,24.569538,28.742299,38440.501987,35481.208374,41399.795599
adaptive,100,3,0.969485,0.954743,0.984227,20.534044,19.51154,21.556549,447.564175,374.116527,521.011823,1750.386575,660.271977,2840.501174,0.030515,0.015773,0.045257,0.964452,0.950471,0.978433,0.154224,0.138768,0.169681,0.154224,0.138768,0.169681,1.0,1.0,1.0,4741.859702,3896.665314,5587.054091,7806.686222,6817.361129,8796.011315,2748.034991,2724.494531,2771.575451,942.423436,485.386261,1399.46061,1051.401276,641.180415,1461.622136,1.0,1.0,1.0,367.744403,348.451931,387.036875,50.422864,48.687113,52.158615,103.998332,103.892695,104.103968,158.258428,138.209632,178.307224,55.06478,54.564105,55.565455,4.55824,4.321587,4.794893,1.239627,1.189,1.290255,4.58,4.166524,4.993476,67.030136,61.617654,72.442618,15287.579028,14041.335869,16533.822186
cluster_csv,100,3,0.971516,0.965209,0.977824,20.670578,20.298324,21.042832,480.955123,455.25806,506.652187,1755.34409,1277.924166,2232.764014,0.028484,0.022176,0.034791,0.960601,0.953451,0.967751,0.15325,0.144033,0.162467,0.15325,0.144033,0.162467,1.0,1.0,1.0,4559.890613,4207.810628,4911.970599,7482.854222,6637.090174,8328.618271,2747.923093,2722.583451,2773.262736,870.329956,713.524953,1027.134958,941.637564,719.623838,1163.651291,1.0,1.0,1.0,395.562421,385.82852,405.296322,50.942224,50.497894,51.386554,103.976673,103.941545,104.011801,186.280566,175.837597,196.723535,54.362958,54.10316,54.622756,4.752112,4.555704,4.94852,1.201337,1.166859,1.235815,4.643333,4.312503,4.974164,62.714392,60.071231,65.357553,16331.142863,15638.668223,17023.617504
cluster_adaptive,100,3,0.971162,0.959617,0.982706,20.997689,19.53532,22.460058,456.009927,404.218087,507.801767,1827.58633,1335.296183,2319.876478,0.028838,0.017294,0.040383,0.964223,0.961899,0.966547,0.152243,0.136063,0.168423,0.151882,0.135006,0.168758,1.0,1.0,1.0,4488.681693,4427.602509,4549.760878,7586.82,6734.277432,8439.362568,2748.14396,2722.298499,2773.989421,809.577409,768.871796,850.283022,927.935431,873.309043,982.56182,1.0,1.0,1.0,366.712001,356.854531,376.569471,51.544688,48.549119,54.540257,104.009508,103.952863,104.066153,156.040791,148.101452,163.98013,55.117014,54.913181,55.320847,4.580432,4.152933,5.007931,1.248887,1.155509,1.342265,4.543333,4.332043,4.754624,68.707678,64.865548,72.549809,14908.763574,14073.699698,15743.827451
laca,100,3,0.973591,0.966288,0.980894,20.448711,20.27605,20.621373,526.674195,466.288397,587.059992,1989.067285,1167.917846,2810.216725,0.026409,0.019106,0.033712,0.961205,0.950515,0.971896,0.152407,0.14049,0.164324,0.152407,0.14049,0.164324,0.998207,0.996751,0.999662,4355.897311,3937.983817,4773.810806,7448.496,6557.92723,8339.06477,2747.774262,2723.241843,2772.306681,764.755262,546.974581,982.535943,843.367787,624.401268,1062.334305,1.0,1.0,1.0,467.39825,459.989073,474.807428,50.379312,50.098445,50.660179,103.945689,103.889114,104.002265,260.565603,253.231397,267.899809,52.507646,52.323371,52.69192,4.603584,4.059357,5.147811,0.984792,0.882013,1.087571,4.52,3.991239,5.048761,52.502194,51.261688,53.7427,19505.128581,19042.10652,19968.150642
chang2019,100,3,0.966078,0.960473,0.971684,20.502756,19.935359,21.070153,481.979616,441.464421,522.494811,1536.900312,1244.072519,1829.728106,0.033922,0.028316,0.039527,0.960303,0.952535,0.96807,0.159287,0.154708,0.163867,0.159198,0.154876,0.16352,0.999238,0.998296,1.000181,4893.760947,4480.46219,5307.059704,8108.445333,7788.172454,8428.718213,2747.582005,2722.553806,2772.610204,1054.254378,728.511764,1379.996992,1089.16467,970.118155,1208.211185,1.0,1.0,1.0,463.837183,441.045807,486.628559,50.821264,49.240333,52.402195,103.980801,103.905603,104.055999,256.42548,234.686063,278.164898,52.609638,52.061333,53.157943,5.074624,4.6705,5.478748,1.093985,1.037354,1.150615,4.866667,4.490445,5.242889,53.049086,51.894044,54.204128,19303.86203,18885.192487,19722.531573
etaroa,100,3,0.969468,0.967013,0.971924,20.502756,20.037649,20.967862,437.629184,414.155601,461.102767,1651.95101,1076.934497,2226.967524,0.030532,0.028076,0.032987,0.962451,0.958653,0.966249,0.153331,0.144651,0.16201,0.152967,0.14485,0.161084,1.0,1.0,1.0,4643.111271,4600.434907,4685.787636,7626.333778,7212.733634,8039.933921,2747.982969,2722.569908,2773.39603,896.807124,843.006527,950.607722,994.024302,944.317466,1043.731138,1.0,1.0,1.0,365.039672,356.30423,373.775114,50.321216,48.819777,51.822655,103.977929,103.855878,104.099981,155.609066,147.83953,163.378603,55.131461,54.934468,55.328453,4.5316,4.040252,5.022948,1.241134,1.135024,1.347244,4.53,4.231879,4.828121,67.399868,66.489214,68.310523,15193.207638,14987.884084,15398.531193
no_raw,200,3,0.28654,0.262145,0.310936,12.276622,11.279936,13.273308,1397.418305,1254.183467,1540.653143,4688.469791,4512.110886,4864.828697,0.71346,0.689064,0.737855,0.925033,0.904767,0.9453,0.845501,0.839159,0.851844,0.791819,0.782763,0.800876,1.0,1.0,1.0,12625.452056,9756.903111,15494.001001,99252.630848,60194.600404,138310.661293,4535.877992,3587.227872,5484.528111,2798.466129,1812.13117,3784.801087,5283.603523,3914.188013,6653.019033,0.856667,0.666516,1.046817,2555.749295,2555.57017,2555.92842,97.087352,96.835704,97.339,102.520582,102.453162,102.588002,2356.141361,2356.133476,2356.149246,0.0,0.0,0.0,74.336904,73.192843,75.480965,2.908615,2.86403,2.953199,43.318333,42.591231,44.045436,2.88212,2.647984,3.116256,355547.895407,326607.622086,384488.168728
static,200,3,0.465007,0.435109,0.494904,19.871289,18.893725,20.848853,2610.485278,2317.838393,2903.132163,7392.360996,6500.17372,8284.548273,0.534993,0.505096,0.564891,0.754487,0.725246,0.783727,0.450195,0.428964,0.471426,0.449731,0.427783,0.47168,1.0,1.0,1.0,6597.262622,6425.307569,6769.217675,12107.507111,11630.696923,12584.317299,5249.61298,5242.373672,5256.852288,646.016858,578.475892,713.557823,701.632784,596.757352,806.508217,1.0,1.0,1.0,499.698496,497.334927,502.062066,43.94936,43.59766,44.30106,102.987676,102.967488,103.007865,301.245218,298.712254,303.778182,51.516242,51.453162,51.579322,15.740144,14.730589,16.749699,3.149931,2.948085,3.351777,10.67,9.987485,11.352515,23.859826,22.711975,25.007676,42927.946892,40884.718753,44971.175032
