policy,num_stas,packet_interval,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,elapsed_s
no_raw,100,5.0,42,0.6158333333333333,12.612266666666667,1874.0167861164448,4673.037518350812,0.38416666666666666,0.9803805762498878,0.8629870678725382,0.8241061617783788,1.0,6999.027080000972,14959.03600000199,2759.1126666670134,1768.6269866669588,2471.287426666999,1.0,2645.7241290666525,197.9932800000003,102.93491306664653,2344.795936000005,0.0,155.76019200000013,5.8872423730341295,88.44,5.7204452398214185,179007.04526837973,150.18
static,100,5.0,42,0.48125,9.856,3347.626327795129,8480.213057490026,0.51875,0.7727654521230377,0.4923166135111627,0.49202667439837633,1.0,3375.4232933335243,5801.040000000729,2757.561600000061,278.5146533334123,339.34704000005087,1.0,472.1083257532997,48.08630400000005,102.95104959998005,268.7536365333192,52.317335620000534,18.903791999999985,4.004121717158228,12.35,25.051877619672197,40875.17971890041,21.4
adaptive,100,5.0,42,0.9833333333333333,20.13866666666667,661.884036659276,1595.8495715640904,0.01666666666666672,0.9995692749461593,0.27240057498802106,0.27240057498802106,1.0,4456.383613333467,7719.613333333407,2758.2468000000354,765.1131600000473,933.0236533333851,1.0,440.8643617333005,60.21067200000003,103.925954133314,223.315999999986,53.411735600000505,15.382943999999993,3.4892691120508075,10.5,54.81595270025338,18680.693293783916,13.2
laca,100,5.0,42,0.9829166666666667,20.130133333333337,730.6455026636822,1813.6939881347098,0.01708333333333334,0.9995654985360947,0.2546477495107632,0.25415851272015655,0.9963791968400263,4242.048826666812,7948.849333333626,2757.6892000000507,664.2631200001026,813.2705066666565,1.0,498.59242935996707,58.09766400000003,103.96750239998072,284.64317226665264,51.88409069333381,13.114607999999993,2.630326340260511,9.31,48.44870996338386,21135.753682067276,12.85
chang2019,100,5.0,42,0.9866666666666667,20.206933333333335,771.3202034149671,1716.044317937261,0.013333333333333308,0.9996120935539076,0.249500998003992,0.249500998003992,0.9977206121784435,4193.70841333344,7882.026666666772,2757.3165333334173,622.5191333333939,813.8727466666293,1.0,466.5004999866338,58.32278400000004,103.86011839998069,251.60737119998598,52.71022638666719,13.319424,2.85517893343772,9.12,51.979194021645775,19700.19003321933,2.37
no_raw,200,5.0,42,0.32145833333333335,13.166933333333333,1478.414329584493,4611.332289813509,0.6785416666666666,0.9850267269056366,0.8417555246484315,0.8079894915778086,1.0,10081.436033332839,34643.34933332662,2259.7996666667364,563.6542833333906,7134.987883332696,0.4,2556.145993066661,97.69951200000007,102.30292639997907,2356.143554666672,0.0,77.31983999999997,3.024860090531753,48.5,3.0906528897130854,331321.5804363786,172.72
static,200,5.0,42,0.44083333333333335,18.056533333333334,3037.3276400983323,7807.981932485606,0.5591666666666666,0.7324721895039916,0.4952837251085492,0.49453511004641415,1.0,6637.1749200016575,12764.429333333344,5252.976873334671,657.6097333335056,726.5883133334821,1.0,504.97461202998676,45.21628800000004,102.93662426664665,305.4127534666735,51.408946296666684,18.524759999999993,3.668453731867998,12.355,21.454385511477266,47729.16937901575,42.5
adaptive,200,5.0,42,0.930625,38.1184,1459.9808006197895,3558.791243224811,0.06937499999999996,0.9969965824264772,0.3870764712052869,0.38686667365991817,1.0,9716.835393333482,17987.530666666713,5252.748873333463,2031.6018466666935,2423.008573333325,1.0,596.1868124599677,70.02770400000003,103.8892418666474,372.6176455999864,49.65222099333388,26.11432799999999,4.38022570345826,16.595,38.36220379587099,26692.939890752972,37.33
laca,200,5.0,42,0.8966666666666666,36.727466666666665,1826.0202848242775,4452.527187683422,0.10333333333333339,0.991628624041797,0.38171453628590224,0.3816049112036834,0.9935311489242019,9111.245473333516,16010.986666666824,5253.132146666901,1828.406746666701,2023.5162733332497,1.0,630.4884294599678,66.97936800000002,103.77665813331397,411.03114426665286,48.70125906000054,22.378943999999983,3.5494614895896217,14.44,34.95144235854559,29297.789473046836,37.51
chang2019,200,5.0,42,0.38895833333333335,15.931733333333334,2049.614434925553,4944.7735311316255,0.6110416666666667,0.7447098662564628,0.668994708994709,0.6623280423280423,1.0,12515.79156000031,20396.577333334055,5252.80862000015,3581.6885066668074,3666.1172933333555,1.0,790.3436513766362,68.16936000000003,102.94215466664667,574.6171022666568,44.615034443333755,42.08697600000001,5.325148867418885,25.8,12.094789378455655,84664.5582620928,102.1
no_raw,400,5.0,42,0.06072916666666667,4.974933333333333,2580.2442066993017,4798.769379479462,0.9392708333333333,0.9777067590230095,0.9762522759849688,0.8603416882965947,1.0,4621.817136612037,117499.44799999121,1765.2719125683652,428.2633879782338,2428.2818360654383,0.1525,2511.764146666633,48.44405999999998,101.41835999997946,2361.9017266666806,0.0,39.970332000000006,1.591325047498775,53.2075,0.5941959168342588,1723337.3218982045,540.27
