condition,policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi
spatial,cluster_csv,100,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,4365.06488,3981.21599,4748.91377,1.0,1.0,1.0,455.480065,444.273492,466.686638,53.128531,51.576357,54.680704
spatial,cluster_csv,200,3,0.917014,0.909543,0.924484,37.560889,37.254898,37.86688,1455.682141,1416.067745,1495.296537,3667.534106,3555.40165,3779.666563,0.082986,0.075516,0.090457,0.993642,0.992326,0.994959,0.384503,0.377892,0.391113,0.384361,0.377751,0.390971,10155.837601,9218.138061,11093.537141,1.0,1.0,1.0,608.499509,595.590324,621.408694,37.038564,36.00564,38.071488
spatial,cluster_csv,300,3,0.532824,0.532426,0.533223,32.736711,32.712232,32.76119,2663.882775,2570.812772,2756.952778,6586.149421,6142.175617,7030.123224,0.467176,0.466777,0.467574,0.864169,0.834069,0.89427,0.487615,0.486375,0.488856,0.487057,0.485307,0.488806,16891.406545,16165.918659,17616.894431,1.0,1.0,1.0,695.178641,682.914937,707.442345,18.837055,18.509088,19.165023
spatial,cluster_csv,400,3,0.381875,0.372922,0.390828,31.2832,30.54974,32.01666,3137.942407,3037.753721,3238.131094,7741.103586,7398.160159,8084.047013,0.618125,0.609172,0.627078,0.761182,0.736397,0.785967,0.50476,0.495307,0.514212,0.503739,0.493971,0.513508,24613.3092,23794.834632,25431.783768,1.0,1.0,1.0,796.453721,780.64401,812.263431,11.784142,11.363862,12.204423
spatial,cluster_csv,500,3,0.265472,0.262455,0.268489,27.184356,26.875441,27.49327,3533.21306,3466.315465,3600.110656,9421.492869,8521.502138,10321.483601,0.734528,0.731511,0.737545,0.656078,0.62711,0.685046,0.508891,0.505404,0.512377,0.508278,0.504885,0.511671,30858.1376,30659.947496,31056.327704,1.0,1.0,1.0,883.03457,879.240957,886.828183,7.388463,7.290508,7.486418
spatial,cluster_csv,600,3,0.195301,0.186612,0.20399,23.998578,22.930919,25.066237,4035.470736,4018.91837,4052.023102,10566.107149,9828.621042,11303.593256,0.804699,0.79601,0.813388,0.661988,0.629632,0.694344,0.52324,0.517791,0.52869,0.52241,0.517056,0.527764,37658.431362,35830.324489,39486.538235,1.0,1.0,1.0,993.562539,959.588904,1027.536174,4.832228,4.449239,5.215218
spatial,cluster_csv,800,3,0.132344,0.130352,0.134336,21.6832,21.356835,22.009565,4746.260303,4532.278659,4960.241947,13442.026038,12679.558405,14204.493671,0.867656,0.865664,0.869648,0.594271,0.589051,0.59949,0.518456,0.514523,0.522389,0.517311,0.513692,0.52093,52302.800739,50226.414613,54379.186866,1.0,1.0,1.0,1247.423209,1208.439249,1286.407168,2.60756,2.539632,2.675488
spatial,cluster_csv,1000,3,0.09525,0.092315,0.098185,19.5072,18.906085,20.108315,5302.512715,5117.222054,5487.803376,16387.288803,15518.761275,17255.816331,0.90475,0.901815,0.907685,0.582012,0.544884,0.619139,0.502711,0.497847,0.507576,0.501951,0.496682,0.50722,65549.501018,63946.669385,67152.332652,1.0,1.0,1.0,1483.765002,1453.292689,1514.237315,1.577618,1.559406,1.59583
spatial,cluster_adaptive,100,3,0.985,0.979523,0.990477,20.1728,20.060622,20.284978,719.371404,707.625463,731.117346,1837.063749,1788.821807,1885.305692,0.015,0.009523,0.020477,0.999591,0.999515,0.999667,0.269328,0.254949,0.283707,0.269087,0.254699,0.283475,4209.037751,3519.010682,4899.06482,1.0,1.0,1.0,424.576795,409.475097,439.678492,57.024331,54.665265,59.383398
spatial,cluster_adaptive,200,3,0.923472,0.921891,0.925053,37.825422,37.760656,37.890188,1442.5895,1416.613974,1468.565026,3606.332485,3545.362651,3667.302319,0.076528,0.074947,0.078109,0.998185,0.997617,0.998753,0.384835,0.369998,0.399673,0.384588,0.369419,0.399757,9035.72996,8402.671609,9668.788311,1.0,1.0,1.0,577.139153,572.217726,582.060581,39.323958,39.055607,39.59231
