policy,num_stas,n_seeds,critical_pdr_mean,critical_pdr_ci_lo,critical_pdr_ci_hi,high_pdr_mean,high_pdr_ci_lo,high_pdr_ci_hi,normal_pdr_mean,normal_pdr_ci_lo,normal_pdr_ci_hi,overall_pdr_mean,overall_pdr_ci_lo,overall_pdr_ci_hi,critical_throughput_share_mean,critical_throughput_share_ci_lo,critical_throughput_share_ci_hi,high_throughput_share_mean,high_throughput_share_ci_lo,high_throughput_share_ci_hi,normal_throughput_share_mean,normal_throughput_share_ci_lo,normal_throughput_share_ci_hi
no_raw,100,3,0.646465,0.610838,0.682092,0.61,0.537807,0.682193,0.641059,0.585444,0.696674,0.633889,0.592427,0.675351,0.112278,0.098699,0.125856,0.240552,0.219881,0.261223,0.64717,0.623229,0.671112
static,100,3,0.402778,0.238343,0.567213,0.548889,0.397754,0.700024,0.47895,0.423642,0.534258,0.488056,0.456961,0.51915,0.090642,0.057303,0.123982,0.280835,0.218216,0.343454,0.628523,0.533072,0.723974
adaptive,100,3,0.983586,0.978153,0.989019,0.983333,0.983333,0.983333,0.982856,0.981922,0.98379,0.983056,0.98186,0.984251,0.110059,0.109585,0.110534,0.250071,0.249767,0.250375,0.63987,0.6397,0.64004
cluster_csv,100,3,0.986111,0.980678,0.991544,0.984444,0.979663,0.989226,0.984375,0.978772,0.989978,0.984583,0.979205,0.989962,0.110171,0.110166,0.110176,0.249965,0.249813,0.250116,0.639864,0.639718,0.640011
cluster_adaptive,100,3,0.987374,0.972999,1.001748,0.985,0.980859,0.989141,0.985677,0.979207,0.992147,0.985694,0.978959,0.992429,0.110187,0.10932,0.111054,0.249824,0.249165,0.250484,0.639989,0.639732,0.640246
laca,100,3,0.987374,0.981941,0.992807,0.984444,0.97812,0.990769,0.985894,0.979771,0.992018,0.985694,0.979629,0.99176,0.110187,0.110056,0.110318,0.249683,0.24942,0.249945,0.64013,0.639971,0.640288
chang2019,100,3,0.986111,0.980678,0.991544,0.984444,0.979663,0.989226,0.984375,0.980096,0.988654,0.984583,0.980071,0.989095,0.110171,0.11005,0.110291,0.249965,0.249813,0.250117,0.639865,0.639602,0.640127
etaroa,100,3,0.987374,0.981941,0.992807,0.985556,0.980774,0.990337,0.986111,0.979574,0.992648,0.986111,0.980135,0.992088,0.110141,0.110079,0.110202,0.249859,0.249557,0.250162,0.64,0.639636,0.640364
no_raw,200,3,0.400463,0.315359,0.485567,0.352588,0.338408,0.366769,0.302436,0.284616,0.320255,0.322292,0.307175,0.337408,0.111752,0.092111,0.131394,0.240787,0.219886,0.261687,0.647461,0.634175,0.660747
static,200,3,0.351852,0.323098,0.380606,0.407197,0.385635,0.428759,0.467492,0.453962,0.481022,0.443819,0.435729,0.45191,0.071348,0.065868,0.076829,0.201849,0.191268,0.21243,0.726802,0.710919,0.742685
