policy,num_stas,seed,critical_pdr,high_pdr,normal_pdr,overall_pdr,critical_throughput_share,high_throughput_share,normal_throughput_share,elapsed_s
no_raw,100,42,0.6628787878787878,0.5966666666666667,0.615234375,0.6158333333333333,0.11840324763193505,0.2422192151556157,0.6393775372124493,37.97
no_raw,100,7,0.6401515151515151,0.59,0.6549479166666666,0.6370833333333333,0.1105297580117724,0.2315238718116416,0.657946370176586,36.85
no_raw,100,99,0.6363636363636364,0.6433333333333333,0.6529947916666666,0.64875,0.10789980732177264,0.24791265253692998,0.6441875401412974,36.83
static,100,42,0.32954545454545453,0.48833333333333334,0.5045572916666666,0.48125,0.07532467532467532,0.25367965367965367,0.670995670995671,4.2
static,100,7,0.42045454545454547,0.5483333333333333,0.4641927083333333,0.48041666666666666,0.09627059843885516,0.28534258456201217,0.6183868169991327,3.59
static,100,99,0.4583333333333333,0.61,0.4680989583333333,0.5025,0.10033167495854063,0.3034825870646766,0.5961857379767828,3.55
adaptive,100,42,0.9848484848484849,0.9833333333333333,0.9830729166666666,0.9833333333333333,0.11016949152542373,0.25,0.6398305084745762,2.46
adaptive,100,7,0.9810606060606061,0.9833333333333333,0.982421875,0.9825,0.10983884648006785,0.2502120441051739,0.6399491094147582,2.46
adaptive,100,99,0.9848484848484849,0.9833333333333333,0.9830729166666666,0.9833333333333333,0.11016949152542373,0.25,0.6398305084745762,2.39
laca,100,42,0.9848484848484849,0.9816666666666667,0.9830729166666666,0.9829166666666667,0.11021619330224672,0.24968206867316659,0.6401017380245867,2.41
laca,100,7,0.9886363636363636,0.985,0.9869791666666666,0.9866666666666667,0.1102195945945946,0.24957770270270271,0.6402027027027027,2.31
laca,100,99,0.9886363636363636,0.9866666666666667,0.9876302083333334,0.9875,0.11012658227848102,0.249789029535865,0.640084388185654,2.32
chang2019,100,42,0.9886363636363636,0.9866666666666667,0.986328125,0.9866666666666667,0.1102195945945946,0.25,0.6397804054054054,2.34
chang2019,100,7,0.9848484848484849,0.9833333333333333,0.9830729166666666,0.9833333333333333,0.11016949152542373,0.25,0.6398305084745762,2.4
chang2019,100,99,0.9848484848484849,0.9833333333333333,0.9837239583333334,0.98375,0.11012282930961458,0.24989411266412537,0.6399830580262601,2.42
no_raw,200,42,0.4166666666666667,0.35321969696969696,0.29891304347826086,0.32145833333333335,0.11665586519766688,0.24173687621516526,0.6416072585871678,42.26
no_raw,200,7,0.3611111111111111,0.35795454545454547,0.2977053140096618,0.31666666666666665,0.10263157894736842,0.24868421052631579,0.6486842105263158,39.35
no_raw,200,99,0.4236111111111111,0.3465909090909091,0.31068840579710144,0.32875,0.11596958174904944,0.23193916349809887,0.6520912547528517,43.07
static,200,42,0.3402777777777778,0.3996212121212121,0.46708937198067635,0.44083333333333335,0.06947069943289225,0.1994328922495274,0.7310964083175804,8.42
static,200,7,0.35185185185185186,0.4053030303030303,0.4731280193236715,0.44729166666666664,0.07079646017699115,0.19934792734047507,0.7298556124825337,7.67
static,200,99,0.36342592592592593,0.4166666666666667,0.4622584541062802,0.44333333333333336,0.0737781954887218,0.20676691729323307,0.7194548872180451,7.6
adaptive,200,42,0.9444444444444444,0.9393939393939394,0.9260265700483091,0.930625,0.0913364674278039,0.22207297962838593,0.6865905529438102,7.05
adaptive,200,7,0.9328703703703703,0.9384469696969697,0.9248188405797102,0.9285416666666667,0.09041956472963877,0.22234687009199014,0.6872335651783711,7.06
adaptive,200,99,0.9328703703703703,0.9270833333333334,0.9242149758454107,0.925625,0.09070447895566058,0.22034661264911096,0.6889489083952285,7.17
laca,200,42,0.8958333333333334,0.9109848484848485,0.8922101449275363,0.8966666666666666,0.08991635687732343,0.22351301115241637,0.6865706319702602,7.0
laca,200,7,0.9097222222222222,0.9100378787878788,0.8940217391304348,0.8989583333333333,0.0910776361529548,0.2227114716106605,0.6862108922363847,7.02
laca,200,99,0.8912037037037037,0.90625,0.8952294685990339,0.8972916666666667,0.08938936614813095,0.22219642442535406,0.688414209426515,6.91
chang2019,200,42,0.4097222222222222,0.4024621212121212,0.3819444444444444,0.38895833333333335,0.09480449919657204,0.22763792179967862,0.6775575790037494,19.0
chang2019,200,7,0.44907407407407407,0.4308712121212121,0.35295893719806765,0.37875,0.10671067106710672,0.25027502750275027,0.643014301430143,19.2
chang2019,200,99,0.3958333333333333,0.3768939393939394,0.3903985507246377,0.3879166666666667,0.09183673469387756,0.21374865735767992,0.6944146079484426,19.24
no_raw,400,42,0.07113821138211382,0.06704980842911877,0.05713848039215686,0.06072916666666667,0.12006861063464837,0.24013722126929674,0.6397941680960549,284.79
no_raw,400,7,0.06504065040650407,0.06896551724137931,0.053462009803921566,0.058020833333333334,0.11490125673249552,0.2585278276481149,0.6265709156193896,313.82
no_raw,400,99,0.06707317073170732,0.06992337164750957,0.05438112745098039,0.0590625,0.1164021164021164,0.25749559082892415,0.6261022927689595,341.43
static,400,42,0.258130081300813,0.3366858237547893,0.3353247549019608,0.3277083333333333,0.080737444373808,0.2234583598219962,0.6958041958041958,23.92
static,400,7,0.28760162601626016,0.32231800766283525,0.3242953431372549,0.3201041666666667,0.09209241783273674,0.21900423039375203,0.6889033517735113,15.56
static,400,99,0.31097560975609756,0.31082375478927204,0.32735906862745096,0.32208333333333333,0.09896507115135834,0.20989650711513583,0.6911384217335058,15.38
adaptive,400,42,0.38414634146341464,0.38697318007662834,0.37668504901960786,0.3796875,0.1037037037037037,0.2216735253772291,0.6746227709190672,15.29
adaptive,400,7,0.4014227642276423,0.3611111111111111,0.3759191176470588,0.3753125,0.1096308631695809,0.20927005273383292,0.6810990840965861,15.73
adaptive,400,99,0.36077235772357724,0.4257662835249042,0.375,0.38458333333333333,0.09615384615384616,0.24079089924160346,0.6630552546045504,15.46
laca,400,42,0.39227642276422764,0.36398467432950193,0.33609068627450983,0.34791666666666665,0.1155688622754491,0.2275449101796407,0.6568862275449102,1045.83
laca,400,7,0.3567073170731707,0.36398467432950193,0.34359681372549017,0.349375,0.10465116279069768,0.22659511031604054,0.6687537268932617,2057.33
laca,400,99,0.36077235772357724,0.3529693486590038,0.3431372549019608,0.34708333333333335,0.10654261704681872,0.22118847539015607,0.6722689075630253,2883.6
chang2019,400,42,0.1758130081300813,0.16954022988505746,0.17095588235294118,0.17114583333333333,0.10529519172245892,0.21545952525867315,0.6792452830188679,7316.52
chang2019,400,7,0.18292682926829268,0.16954022988505746,0.16666666666666666,0.16895833333333332,0.11097410604192355,0.218249075215783,0.6707768187422934,7191.37
chang2019,400,99,0.15548780487804878,0.17337164750957854,0.16804534313725492,0.16791666666666666,0.09491315136476426,0.22456575682382135,0.6805210918114144,8695.89
no_raw,600,42,0.039511494252873564,0.034382284382284384,0.03101503759398496,0.03263888888888889,0.11702127659574468,0.251063829787234,0.6319148936170212,949.9
no_raw,600,7,0.036637931034482756,0.03496503496503497,0.03070175438596491,0.03229166666666667,0.10967741935483871,0.25806451612903225,0.632258064516129,543.72
no_raw,600,99,0.039511494252873564,0.03583916083916084,0.03289473684210526,0.03423611111111111,0.11156186612576065,0.24949290060851928,0.6389452332657201,528.14
static,600,42,0.20905172413793102,0.20163170163170163,0.21804511278195488,0.2132638888888889,0.09475740801042006,0.2253337675024422,0.6799088244871377,45.75
static,600,7,0.17385057471264367,0.19696969696969696,0.2197159565580618,0.2098611111111111,0.0800794176042356,0.22369291859695567,0.6962276637988087,21.83
static,600,99,0.22198275862068967,0.20716783216783216,0.21271929824561403,0.21229166666666666,0.10107948969578018,0.2325809617271835,0.6663395485770363,21.39
adaptive,600,42,0.21120689655172414,0.20833333333333334,0.20582706766917294,0.20694444444444443,0.09865771812080537,0.23993288590604026,0.6614093959731544,21.38
adaptive,600,7,0.23994252873563218,0.1995920745920746,0.20749791144527988,0.20875,0.1111111111111111,0.22787757817697937,0.6610113107119095,21.26
