policy,packet_interval,seed,generated,delivered,dropped,pdr,throughput,delay,collisions,retries,ack_timeouts,tx_attempts,elapsed_s
static,1.0,42,60000,1548,57190,0.0258,12.9,17.7433774469667,0,1604,1605,6395,15.88
adaptive,1.0,42,60000,1572,57208,0.0262,13.1,8.93007320202121,0,4911,4918,9568,21.94
cluster_csv,1.0,42,60000,2564,56835,0.04273333333333333,21.366666666666667,9.383683241406843,0,4373,4382,9879,22.25
cluster_adaptive,1.0,42,60000,3206,56730,0.05343333333333333,26.716666666666665,6.394518601521034,0,6306,6320,12703,23.22
laca,1.0,42,60000,1451,57196,0.024183333333333334,12.091666666666667,9.513492094947305,0,4722,4730,9228,21.16
chang2019,1.0,42,60000,2308,57092,0.03846666666666667,19.233333333333334,5.128569731882289,0,8285,8409,13620,40.22
static,2.0,42,30000,1557,28644,0.0519,12.975,17.47154606260237,0,1610,1611,6418,15.67
adaptive,2.0,42,30000,1501,28659,0.05003333333333333,12.508333333333333,8.498618579961066,0,4978,4983,9569,20.12
cluster_csv,2.0,42,30000,2459,28190,0.08196666666666666,20.491666666666667,8.653615170208608,0,4374,4383,9825,20.2
cluster_adaptive,2.0,42,30000,3115,27967,0.10383333333333333,25.958333333333332,5.4168088222107,0,6300,6311,12608,21.44
laca,2.0,42,30000,1434,28639,0.0478,11.95,8.677674146551029,0,4704,4713,9131,19.72
chang2019,2.0,42,30000,2095,28520,0.06983333333333333,17.458333333333332,4.411170757154297,0,8514,8627,13745,37.68
static,3.0,42,20000,1553,19027,0.07765,12.941666666666666,16.14842222827391,0,1560,1560,6318,15.18
adaptive,3.0,42,20000,1516,19088,0.0758,12.633333333333333,7.897371963874187,0,5000,5007,9613,19.11
cluster_csv,3.0,42,20000,2341,18664,0.11705,19.508333333333333,8.234311412439242,0,4318,4331,9687,19.8
cluster_adaptive,3.0,42,20000,2937,18422,0.14685,24.475,4.818453056684331,0,6291,6304,12340,21.06
laca,3.0,42,20000,1404,19095,0.0702,11.7,8.20217315794221,0,4777,4785,9253,19.2
chang2019,3.0,42,20000,2093,18851,0.10465,17.441666666666666,3.5588210065588752,0,8551,8638,13776,37.11
static,4.0,42,15000,1557,14214,0.1038,12.975,15.836410806396529,0,1579,1581,6354,15.09
adaptive,4.0,42,15000,1485,14262,0.099,12.375,7.472136488968108,0,4972,4977,9511,19.12
cluster_csv,4.0,42,15000,2250,13827,0.15,18.75,8.088052704008746,0,4317,4329,9601,18.86
cluster_adaptive,4.0,42,15000,2840,13508,0.18933333333333333,23.666666666666668,4.523444181986263,0,6249,6257,12210,20.27
laca,4.0,42,15000,1393,14262,0.09286666666666667,11.608333333333333,7.923400260089543,0,4766,4776,9204,18.63
chang2019,4.0,42,15000,2022,13928,0.1348,16.85,3.094197273077944,0,8595,8692,13712,36.42
static,5.0,42,12000,1554,11182,0.1295,12.95,15.275477061236538,0,1607,1607,6422,14.86
adaptive,5.0,42,12000,1474,11244,0.12283333333333334,12.283333333333333,6.944725041447225,0,5050,5054,9638,18.67
cluster_csv,5.0,42,12000,2181,10784,0.18175,18.175,7.628615060815649,0,4284,4292,9495,18.62
cluster_adaptive,5.0,42,12000,2793,10518,0.23275,23.275,4.220300409782361,0,6215,6228,12149,20.1
laca,5.0,42,12000,1356,11290,0.113,11.3,7.2534840743361,0,4826,4837,9277,18.21
chang2019,5.0,42,12000,1980,10934,0.165,16.5,2.9978775946568548,0,8632,8720,13774,36.18
no_raw,1.0,42,60000,2253,56114,0.03755,18.775,2.3395081129478927,0,11301,11892,14865,44.42
no_raw,2.0,42,30000,456,32370,0.0152,3.8,3.170141711089603,0,25971,29669,30117,356.38
no_raw,3.0,42,20000,423,22971,0.02115,3.525,2.916521905598735,0,26483,30251,30668,456.89
no_raw,4.0,42,15000,465,17939,0.031,3.875,2.7305994291133144,0,25257,28762,29236,445.16
no_raw,5.0,42,12000,509,14745,0.042416666666666665,4.241666666666666,2.447765439656295,0,24316,27632,28202,447.75
