num_stas,seed,traffic,priority_metrics_enable,cluster_csv_generated,cluster_csv_delivered,cluster_csv_dropped,cluster_csv_pdr,cluster_csv_throughput,cluster_csv_delay,cluster_csv_collisions,cluster_csv_retries,cluster_csv_ack_timeouts,cluster_csv_tx_attempts,cluster_csv_critical_generated,cluster_csv_critical_delivered,cluster_csv_critical_pdr,cluster_csv_critical_throughput,cluster_csv_critical_delay,cluster_csv_high_generated,cluster_csv_high_delivered,cluster_csv_high_pdr,cluster_csv_high_throughput,cluster_csv_high_delay,cluster_csv_normal_generated,cluster_csv_normal_delivered,cluster_csv_normal_pdr,cluster_csv_normal_throughput,cluster_csv_normal_delay,cluster_csv_critical_throughput_share,cluster_csv_high_throughput_share,cluster_csv_normal_throughput_share,cluster_adaptive_generated,cluster_adaptive_delivered,cluster_adaptive_dropped,cluster_adaptive_pdr,cluster_adaptive_throughput,cluster_adaptive_delay,cluster_adaptive_collisions,cluster_adaptive_retries,cluster_adaptive_ack_timeouts,cluster_adaptive_tx_attempts,cluster_adaptive_critical_generated,cluster_adaptive_critical_delivered,cluster_adaptive_critical_pdr,cluster_adaptive_critical_throughput,cluster_adaptive_critical_delay,cluster_adaptive_high_generated,cluster_adaptive_high_delivered,cluster_adaptive_high_pdr,cluster_adaptive_high_throughput,cluster_adaptive_high_delay,cluster_adaptive_normal_generated,cluster_adaptive_normal_delivered,cluster_adaptive_normal_pdr,cluster_adaptive_normal_throughput,cluster_adaptive_normal_delay,cluster_adaptive_critical_throughput_share,cluster_adaptive_high_throughput_share,cluster_adaptive_normal_throughput_share,adaptive_generated,adaptive_delivered,adaptive_dropped,adaptive_pdr,adaptive_throughput,adaptive_delay,adaptive_collisions,adaptive_retries,adaptive_ack_timeouts,adaptive_tx_attempts,adaptive_critical_generated,adaptive_critical_delivered,adaptive_critical_pdr,adaptive_critical_throughput,adaptive_critical_delay,adaptive_high_generated,adaptive_high_delivered,adaptive_high_pdr,adaptive_high_throughput,adaptive_high_delay,adaptive_normal_generated,adaptive_normal_delivered,adaptive_normal_pdr,adaptive_normal_throughput,adaptive_normal_delay,adaptive_critical_throughput_share,adaptive_high_throughput_share,adaptive_normal_throughput_share,static_generated,static_delivered,static_dropped,static_pdr,static_throughput,static_delay,static_collisions,static_retries,static_ack_timeouts,static_tx_attempts,static_critical_generated,static_critical_delivered,static_critical_pdr,static_critical_throughput,static_critical_delay,static_high_generated,static_high_delivered,static_high_pdr,static_high_throughput,static_high_delay,static_normal_generated,static_normal_delivered,static_normal_pdr,static_normal_throughput,static_normal_delay,static_critical_throughput_share,static_high_throughput_share,static_normal_throughput_share
100,42,periodic,1,4000,1115,3452,0.27875,5.575,8.354835504038288,0,532,539,1600,440,53,0.12045454545454545,0.265,9.913097999240318,1000,346,0.346,1.73,7.884813870121733,2560,716,0.2796875,3.58,8.466622617291668,0.04753363228699552,0.31031390134529147,0.6421524663677131,4000,1600,2623,0.4,8.0,4.295311920316911,0,0,0,1600,440,131,0.29772727272727273,0.655,5.052252714766926,1000,397,0.397,1.985,5.347381995899376,2560,1072,0.41875,5.36,3.8131933903922928,0.081875,0.248125,0.67,4000,4000,0,1.0,20.0,1.431180387235429,0,0,0,4000,440,440,1.0,2.2,1.3734975040480415,1000,1000,1.0,5.0,1.4451907600659109,2560,2560,1.0,12.8,1.4356218308963542,0.11,0.25,0.64,4000,800,3625,0.2,4.0,11.98065441709923,0,0,0,800,440,75,0.17045454545454544,0.375,13.160329839681317,1000,177,0.177,0.885,12.51690692395924,2560,548,0.2140625,2.74,11.645996843362225,0.09375,0.22125,0.685
200,42,periodic,1,8000,2557,6307,0.319625,12.785,5.5775540345576795,0,1693,1720,4151,720,121,0.16805555555555557,0.605,8.983981261913252,1760,496,0.2818181818181818,2.48,7.287045828215697,5520,1940,0.35144927536231885,9.7,4.928025362307988,0.04732107938991005,0.1939773171685569,0.758701603441533,8000,3996,4647,0.4995,19.98,4.411370470884114,0,0,0,3996,720,437,0.6069444444444444,2.185,4.163033383881542,1760,853,0.48465909090909093,4.265,4.250967757548773,5520,2706,0.4902173913043478,13.53,4.502038180231923,0.10935935935935936,0.21346346346346345,0.6771771771771772,8000,6384,2701,0.798,31.92,4.37283895668678,0,0,0,6384,720,518,0.7194444444444444,2.59,4.110970234420873,1760,1386,0.7875,6.93,4.786324147187633,5520,4480,0.8115942028985508,22.4,4.275195546887574,0.08114035087719298,0.21710526315789475,0.7017543859649122,8000,1596,7232,0.1995,7.98,11.973908657659491,0,0,0,1596,720,154,0.21388888888888888,0.77,9.732397058366281,1760,312,0.17727272727272728,1.56,12.136585183129482,5520,1130,0.20471014492753623,5.65,12.234473003097117,0.09649122807017543,0.19548872180451127,0.7080200501253133
300,42,periodic,1,12000,3397,10222,0.28308333333333335,16.985,5.926169679514876,0,3090,3122,6301,1160,243,0.20948275862068966,1.215,7.0393614059969725,2800,850,0.30357142857142855,4.25,5.803758458383511,8040,2304,0.2865671641791045,11.52,5.853923129352772,0.07153370621136297,0.25022078304386225,0.6782455107447748,12000,5593,7253,0.46608333333333335,27.965,4.348506308624356,0,0,0,5593,1160,620,0.5344827586206896,3.1,4.470325706223933,2800,1136,0.4057142857142857,5.68,4.8648359687184515,8040,3837,0.4772388059701492,19.185,4.175955221739125,0.11085285177900947,0.20311103164670125,0.6860361165742893,12000,6383,6655,0.5319166666666667,31.915,4.465933011146249,0,0,0,6384,1160,537,0.46293103448275863,2.685,4.577998222977116,2800,1529,0.5460714285714285,7.645,4.560828073609043,8040,4317,0.5369402985074627,21.585,4.41838296035663,0.08412971956760144,0.23954253485821714,0.6763277455741814,12000,2394,10820,0.1995,11.97,11.729883135078648,0,0,0,2394,1160,231,0.19913793103448277,1.155,12.565430532309056,2800,550,0.19642857142857142,2.75,10.735469403828539,8040,1613,0.20062189054726368,8.065,11.949297954314442,0.09649122807017543,0.2297410192147034,0.6737677527151211
400,42,periodic,1,16000,4002,14239,0.250125,20.01,6.930386211001475,0,4168,4239,7916,1640,382,0.2329268292682927,1.91,5.873228549586573,3480,843,0.24224137931034484,4.215,7.558491090661106,10880,2777,0.2552389705882353,13.885,6.885136593827338,0.09545227386306847,0.21064467766116943,0.6939030484757621,16000,7188,9938,0.44925,35.94,4.444484460438331,0,0,0,7188,1640,776,0.47317073170731705,3.88,4.302540747721255,3480,1390,0.3994252873563218,6.95,4.7308257935835805,10880,5022,0.4615808823529412,25.11,4.387163446498976,0.10795770728992765,0.19337785197551474,0.6986644407345576,16000,6383,10603,0.3989375,31.915,4.423929943645945,0,0,0,6384,1640,663,0.40426829268292686,3.315,4.769608159587918,3480,1592,0.4574712643678161,7.96,4.254637417351138,10880,4128,0.37941176470588234,20.64,4.433699576565471,0.10386965376782077,0.24941250195832682,0.6467178442738524,16000,3190,14181,0.199375,15.95,11.637888002000203,0,0,0,3190,1640,333,0.2030487804878049,1.665,11.806366784469652,3480,631,0.18132183908045976,3.155,11.277612368484908,10880,2226,0.2045955882352941,11.13,11.714810953566163,0.10438871473354232,0.19780564263322883,0.6978056426332289
500,42,periodic,1,20000,4383,17841,0.21915,21.915,7.572209695270086,0,4446,4492,8494,1960,359,0.18316326530612245,1.795,7.833825226285411,4560,1010,0.22149122807017543,5.05,7.771989481231077,13480,3014,0.22359050445103856,15.07,7.474101679525196,0.08190736938170202,0.23043577458361852,0.6876568560346794,20000,9183,12211,0.45915,45.915,4.36167222452515,0,0,0,9184,1960,1057,0.5392857142857143,5.285,4.078679887110951,4560,1780,0.39035087719298245,8.9,5.153060938960521,13480,6346,0.47077151335311573,31.73,4.18682995994145,0.11510399651530001,0.19383643689426114,0.6910595665904389,20000,6383,14421,0.31915,31.915,4.448855443469675,0,1,1,6384,1960,644,0.32857142857142857,3.22,4.932471262394758,4560,1486,0.32587719298245615,7.43,4.413286556164451,13480,4253,0.31550445103857566,21.265,4.3880528991827745,0.10089299702334326,0.23280589064703117,0.6663011123296255,20000,3192,18647,0.1596,15.96,14.876656237652725,0,0,0,3192,1960,316,0.16122448979591836,1.58,15.837140706660415,4560,716,0.1570175438596491,3.58,14.397103100359173,13480,2160,0.16023738872403562,10.8,14.895103901585944,0.09899749373433583,0.22431077694235588,0.6766917293233082
600,42,periodic,1,24000,4703,22032,0.19595833333333335,23.515,8.362430841147164,0,5264,5303,9533,2320,389,0.16767241379310344,1.945,7.588528427183619,5720,1134,0.19825174825174824,5.67,8.611698712348746,15960,3180,0.19924812030075187,15.9,8.368210172307297,0.0827131618116096,0.24112268764618328,0.6761641505422071,24000,9977,15476,0.41570833333333335,49.885,4.281059022292068,0,0,0,9977,2320,1166,0.5025862068965518,5.83,4.084987516509606,5720,2000,0.34965034965034963,10.0,4.806935925944296,15960,6811,0.4267543859649123,34.055,4.160205339784051,0.11686879823594266,0.20046106043900971,0.6826701413250477,24000,6382,18415,0.2659166666666667,31.91,4.50448638183002,0,1,1,6384,2320,464,0.2,2.32,4.747121565565573,5720,1538,0.2688811188811189,7.69,4.349950672206778,15960,4380,0.2744360902255639,21.9,4.533046472274598,0.07270448135380758,0.24099028517706048,0.686305233469132,24000,3192,22529,0.133,15.96,15.025356622991515,0,0,0,3192,2320,307,0.13232758620689655,1.535,16.296875116068154,5720,713,0.12465034965034966,3.565,14.116299116186864,15960,2172,0.13609022556390976,10.86,15.144049912575854,0.09617794486215539,0.22337092731829575,0.6804511278195489
700,42,periodic,1,28000,5481,25746,0.19575,27.405,8.174938477831613,0,6166,6220,11137,2560,476,0.1859375,2.38,8.026252680036412,6680,1238,0.18532934131736528,6.19,8.590319448811751,18760,3767,0.20079957356076758,18.835,8.057214240421766,0.08684546615581099,0.22587119138843276,0.6872833424557563,28000,11974,17805,0.42764285714285716,59.87,4.4429284969389435,0,0,0,11975,2560,1201,0.469140625,6.005,4.405423449161847,6680,2699,0.40404191616766466,13.495,4.955400009616868,18760,8074,0.4303837953091684,40.37,4.277196883075006,0.10030065141139134,0.2254050442625689,0.6742943043260398,28000,6383,22285,0.2279642857142857,31.915,4.430575732542397,0,1,1,6384,2560,514,0.20078125,2.57,4.489307032781495,6680,1365,0.20434131736526945,6.825,5.825418580131791,18760,4504,0.24008528784648187,22.52,4.001146697177739,0.08052639824533918,0.21384928716904278,0.705624314585618,28000,3194,26443,0.11407142857142857,15.97,14.78028872242485,0,0,0,3194,2560,323,0.126171875,1.615,15.393184837156017,6680,729,0.1091317365269461,3.645,14.056137716045757,18760,2142,0.11417910447761194,10.71,14.934322633999168,0.10112711333750783,0.228240450845335,0.6706324358171571
800,42,periodic,1,32000,5494,29781,0.1716875,27.47,9.622335937695741,0,6234,6270,11133,2880,469,0.16284722222222223,2.345,10.277489170395821,7800,1249,0.16012820512820514,6.245,10.329289131087464,21320,3776,0.1771106941838649,18.88,9.30712105298107,0.08536585365853659,0.22733891518019658,0.6872952311612668,32000,11975,21632,0.37421875,59.875,4.286548065661022,0,0,0,11976,2880,1154,0.40069444444444446,5.77,4.050551016018518,7800,2443,0.3132051282051282,12.215,4.920338992220283,21320,8378,0.39296435272045027,41.89,4.1342431434484626,0.09636743215031315,0.20400835073068893,0.6996242171189979,32000,6383,26195,0.19946875,31.915,4.485257873573492,0,1,1,6384,2880,583,0.20243055555555556,2.915,3.8971306302235664,7800,1699,0.21782051282051282,8.495,4.410903737404084,21320,4101,0.1923545966228893,20.505,4.5996704217873,0.09133636221212596,0.2661757794140686,0.6424878583738054,32000,3194,30353,0.0998125,15.97,14.862224950905079,0,0,0,3194,2880,333,0.115625,1.665,15.285449606338283,7800,702,0.09,3.51,14.407963516904015,21320,2159,0.10126641651031895,10.795,14.944650942757551,0.10425798371947402,0.2197871008140263,0.6759549154664997
900,42,periodic,1,36000,7083,32811,0.19675,35.415,8.412663425158604,0,7821,7866,14244,3120,584,0.18717948717948718,2.92,8.837549922981875,8840,1717,0.19423076923076923,8.585,8.143807483591187,24040,4782,0.19891846921797005,23.91,8.457308330416332,0.08245093886771142,0.24241140759565155,0.675137653536637,36000,13970,24165,0.38805555555555554,69.85,4.4294044025374655,0,0,0,13970,3120,1299,0.41634615384615387,6.495,4.007805186769553,8840,3090,0.3495475113122172,15.45,4.931648691456892,24040,9581,0.39854409317803663,47.905,4.324584710284203,0.09298496778811739,0.2211882605583393,0.6858267716535433,36000,6383,30027,0.17730555555555555,31.915,4.404033558782928,0,1,1,6384,3120,627,0.20096153846153847,3.135,4.631200410404454,8840,1646,0.18619909502262444,8.23,4.821493423883453,24040,4110,0.17096505823627287,20.55,4.202191088242256,0.09822967256775811,0.2578724737584208,0.6438978536738211,36000,3194,34249,0.08872222222222222,15.97,15.06649406328924,0,0,0,3194,3120,324,0.10384615384615385,1.62,16.135899624285454,8840,707,0.07997737556561085,3.535,14.70103944089911,24040,2163,0.08997504159733777,10.815,15.025758518336417,0.10144020037570445,0.2213525360050094,0.6772072636192862
1000,42,periodic,1,40000,7818,36519,0.19545,39.09,8.215943083336153,0,8765,8814,15814,3640,628,0.17252747252747253,3.14,8.705004200482056,10040,2017,0.20089641434262948,10.085,8.260986081863582,26320,5173,0.19654255319148936,25.865,8.139008594722688,0.0803274494755692,0.25799437196213865,0.6616781785622922,40000,15567,26694,0.389175,77.835,4.3495626057184404,0,0,0,15567,3640,1397,0.3837912087912088,6.985,4.324840543697212,10040,3490,0.34760956175298807,17.45,4.574325737904775,26320,10680,0.40577507598784196,53.4,4.279348503594222,0.08974111903385366,0.22419220145178903,0.6860666795143573,40000,6383,34033,0.159575,31.915,4.5407111667276485,0,1,1,6384,3640,594,0.1631868131868132,2.97,3.9498330917722964,10040,1698,0.16912350597609563,8.49,5.048488197109648,26320,4091,0.15543313069908815,20.455,4.415748120757188,0.09305968980103399,0.2660191132696224,0.6409211969293436,40000,3194,38192,0.07985,15.97,15.02718075330135,0,0,0,3194,3640,310,0.08516483516483517,1.55,16.617253542872234,10040,692,0.06892430278884462,3.46,14.908794476410915,26320,2192,0.08328267477203648,10.96,14.839681090363944,0.09705698184095178,0.21665623043206012,0.6862867877269881
