num,filename,date,lat,lon,height,Omega,Kappa,Phi1,Phi2
1,475_0001.JPG,2023-10-19T13:07:07,38.81072315,101.08554646,2562.56,-4.46713,1.882241,88.699084,87.608991
2,475_0002.JPG,2023-10-19T13:07:13,38.80989646,101.08586194,2558.93,0.186058,-0.473764,91.394255,90.865878
3,475_0003.JPG,2023-10-19T13:07:19,38.80903944,101.08613208,2561.17,2.345285,6.431649,91.90532,88.458347
4,475_0004.JPG,2023-10-19T13:07:26,38.80814497,101.08631664,2557.25,-3.175426,5.591083,88.583385,89.467456
5,475_0005.JPG,2023-10-19T13:07:32,38.80724795,101.08643593,2552.27,-0.667638,-0.662591,88.838225,92.54074
6,475_0006.JPG,2023-10-19T13:07:37,38.80629743,101.08648548,2557.25,-1.891374,4.337987,89.47653,88.006277
7,475_0007.JPG,2023-10-19T13:07:44,38.80532993,101.08646833,2563.8,2.603959,0.403998,87.798409,88.412113
8,475_0008.JPG,2023-10-19T13:07:50,38.80433824,101.08638611,2561.21,3.925665,5.226699,88.708822,86.697516
9,475_0009.JPG,2023-10-19T13:07:55,38.80331674,101.08624633,2561.26,-1.849285,3.950648,88.303097,88.469931
10,475_0010.JPG,2023-10-19T13:08:03,38.80228358,101.08602347,2560.56,5.666181,-0.183143,89.888814,91.516479
11,475_0011.JPG,2023-10-19T13:08:11,38.80122763,101.08573712,2557.57,2.410405,4.315772,91.504572,89.128248
12,475_0012.JPG,2023-10-19T13:08:19,38.80014621,101.0853882,2556.94,3.370868,-2.347632,90.559912,91.659954
13,475_0013.JPG,2023-10-19T13:08:27,38.79904298,101.08496626,2562.15,-2.510898,-0.340068,87.51929,88.647781
14,475_0014.JPG,2023-10-19T13:08:34,38.79792624,101.08448713,2563.89,3.861854,4.097874,91.224695,91.068907
15,475_0015.JPG,2023-10-19T13:08:42,38.79680367,101.08392586,2560.31,-2.952309,-0.776907,87.74724,89.353822
16,475_0016.JPG,2023-10-19T13:08:47,38.79566829,101.08332449,2560.58,1.269543,2.955147,91.440691,88.709981
17,475_0017.JPG,2023-10-19T13:08:53,38.79450903,101.08264102,2572.16,4.183328,-3.585981,87.379301,90.240453
18,475_0018.JPG,2023-10-19T13:08:59,38.79334245,101.08189889,2560.08,4.164879,4.265675,90.583699,89.003915
19,475_0019.JPG,2023-10-19T13:09:05,38.79217424,101.08110295,2563.4,2.805801,-1.954425,90.748579,89.741844
20,475_0020.JPG,2023-10-19T13:09:10,38.79098566,101.0802281,2564.79,3.330844,5.120749,92.391682,90.369309
21,475_0021.JPG,2023-10-19T13:09:17,38.78979737,101.0793038,2564.82,-2.86775,2.928814,89.595373,91.347267
22,475_0022.JPG,2023-10-19T13:09:23,38.78860924,101.07832384,2565.28,3.563012,0.888576,90.219049,89.391696
23,475_0023.JPG,2023-10-19T13:09:31,38.78741345,101.07728877,2567.51,-2.300582,-0.871972,89.541068,90.415899
24,475_0024.JPG,2023-10-19T13:09:36,38.78621892,101.07619934,2560.21,-2.343097,3.593218,93.436535,91.357349
25,475_0025.JPG,2023-10-19T13:09:43,38.78502919,101.07503401,2563.67,2.213634,0.386896,91.013358,89.845973
26,475_0026.JPG,2023-10-19T13:09:51,38.78383943,101.07383458,2565.89,2.878229,-0.21194,90.906759,89.145777
27,475_0027.JPG,2023-10-19T13:09:58,38.7826427,101.07257622,2566.82,6.891961,-1.643527,90.643701,89.37731
28,475_0028.JPG,2023-10-19T13:10:03,38.78145435,101.0712648,2569.15,1.523487,4.225124,90.294446,90.029552
29,475_0029.JPG,2023-10-19T13:10:09,38.7802857,101.06991086,2564.48,5.379406,-3.242919,83.974449,88.809738
30,475_0030.JPG,2023-10-19T13:10:14,38.77911077,101.06852129,2565.77,-0.450979,-1.281051,95.213142,89.973142
31,475_0031.JPG,2023-10-19T13:10:20,38.77796603,101.06706908,2569.47,4.102733,-0.629326,92.605022,89.105678
32,475_0032.JPG,2023-10-19T13:10:28,38.77681516,101.0655776,2561.68,3.864886,1.494907,88.228643,86.807409
33,475_0033.JPG,2023-10-19T13:10:33,38.77568383,101.06404401,2562.46,5.49371,0.516886,89.473003,90.994403
34,475_0034.JPG,2023-10-19T13:10:39,38.77455526,101.06247424,2569.18,4.837805,2.646994,87.347765,87.810417
35,475_0035.JPG,2023-10-19T13:10:45,38.77346172,101.060868,2569.74,5.668506,-1.837229,90.084177,88.579433
36,475_0036.JPG,2023-10-19T13:10:53,38.77237734,101.05922959,2571.58,6.340848,-1.157932,91.594866,92.311605
37,475_0037.JPG,2023-10-19T13:11:00,38.77130385,101.05755231,2570.93,-0.096034,-3.026495,91.860387,92.284909
38,475_0038.JPG,2023-10-19T13:11:07,38.77026778,101.0558593,2571.68,2.333206,-0.998458,91.238963,90.747265
39,475_0039.JPG,2023-10-19T13:11:13,38.76924303,101.05411802,2565.14,5.052725,-1.675797,88.460301,90.284366
40,475_0040.JPG,2023-10-19T13:11:20,38.76824022,101.05236554,2568.88,1.474173,3.2105,89.64055,89.061747
41,475_0041.JPG,2023-10-19T13:11:26,38.76726941,101.05057734,2568.73,-0.394537,1.670448,93.634446,88.945788
42,475_0042.JPG,2023-10-19T13:11:31,38.76631711,101.04877771,2571.23,1.749491,-5.251871,88.797465,89.066978
43,475_0043.JPG,2023-10-19T13:11:38,38.76540342,101.04695884,2571.83,5.963722,-5.820473,89.183283,89.721908
44,475_0044.JPG,2023-10-19T13:11:46,38.76450093,101.04511415,2567.76,-1.094008,2.379106,90.76965,87.911267
45,475_0045.JPG,2023-10-19T13:11:52,38.7636499,101.04326173,2572.75,-1.312787,3.305145,89.22286,89.326148
46,475_0046.JPG,2023-10-19T13:11:58,38.76280715,101.04139405,2566.47,2.902198,-1.899375,93.650799,92.592608
47,475_0047.JPG,2023-10-19T13:12:06,38.76201348,101.03952977,2575.16,2.648155,-2.675307,93.385817,91.193245
48,475_0048.JPG,2023-10-19T13:12:12,38.76122744,101.03765109,2577.38,-0.600301,-2.455709,89.65491,92.988953
49,475_0049.JPG,2023-10-19T13:12:20,38.76050196,101.03575992,2569.18,-2.204942,2.517536,88.933088,86.779097
50,475_0050.JPG,2023-10-19T13:12:27,38.75980438,101.03387105,2578.99,-0.114211,-0.568455,93.892604,91.28322
51,475_0051.JPG,2023-10-19T13:12:35,38.75913173,101.03198669,2571.73,2.754806,-2.000143,89.525046,90.208722
52,475_0052.JPG,2023-10-19T13:12:42,38.7585005,101.03009972,2569.1,2.679439,-0.634875,90.570983,91.074249
53,475_0053.JPG,2023-10-19T13:12:48,38.75791292,101.02821913,2570.65,1.503908,-2.447718,91.242596,90.735065
54,475_0054.JPG,2023-10-19T13:12:55,38.757368,101.02635155,2572.72,5.109074,1.341792,87.059826,87.578021
55,475_0055.JPG,2023-10-19T13:13:00,38.75685306,101.02449683,2570.96,-0.928013,-0.148383,88.115934,91.773036
56,475_0056.JPG,2023-10-19T13:13:08,38.75637221,101.02265277,2574.93,2.503869,1.649928,93.020762,90.738097
57,475_0057.JPG,2023-10-19T13:13:13,38.75594118,101.02081262,2575.02,-1.031553,-4.083592,90.306728,88.533337
58,475_0058.JPG,2023-10-19T13:13:21,38.75555436,101.01899795,2570.68,-4.572038,-4.884246,90.714179,88.760837
59,475_0059.JPG,2023-10-19T13:13:29,38.75520476,101.01720136,2575.89,4.009508,-1.883384,91.341212,90.825407
60,475_0060.JPG,2023-10-19T13:13:37,38.75489654,101.01543757,2576.08,0.44412,-3.998705,91.434986,89.54657
61,475_0061.JPG,2023-10-19T13:13:45,38.75462027,101.01369265,2579.05,1.921294,1.010308,95.831314,90.288303
62,475_0062.JPG,2023-10-19T13:13:53,38.75441115,101.01197575,2568.45,-0.363063,-5.350807,92.604588,91.953968
63,475_0063.JPG,2023-10-19T13:13:58,38.75423119,101.01028287,2575.86,-1.275287,0.226347,88.721236,92.546124
64,475_0064.JPG,2023-10-19T13:14:03,38.75409289,101.00861355,2578.08,1.982854,2.186327,86.482387,90.015791
65,475_0065.JPG,2023-10-19T13:14:08,38.75399183,101.00700169,2576.03,-2.155287,-0.32529,91.123701,90.647949
66,475_0066.JPG,2023-10-19T13:14:13,38.75395604,101.00541812,2580.28,3.069638,1.200529,88.992676,88.281257
67,475_0067.JPG,2023-10-19T13:14:18,38.75394789,101.00386779,2581.02,-5.400082,-4.967117,88.324221,90.242293
68,475_0068.JPG,2023-10-19T13:14:23,38.75397743,101.00234867,2575.52,-5.386602,-0.872156,90.162674,91.129416
69,475_0069.JPG,2023-10-19T13:14:31,38.75404704,101.00088189,2574.73,-4.116119,-4.625434,88.846013,91.441627
70,475_0070.JPG,2023-10-19T13:14:36,38.75419102,100.99946306,2577.84,-5.002288,-1.635756,91.331834,91.82808
71,475_0071.JPG,2023-10-19T13:14:42,38.75434332,100.99807509,2579.44,-1.018507,1.963619,90.990013,89.958246
72,475_0072.JPG,2023-10-19T13:14:50,38.75456453,100.99674462,2576.87,1.867401,-3.632209,93.917337,87.431113
73,475_0073.JPG,2023-10-19T13:14:56,38.75480534,100.99546297,2577.7,-2.610354,-0.960547,88.166323,90.646232
74,475_0074.JPG,2023-10-19T13:15:03,38.75510306,100.99423008,2576.71,3.29909,-0.461092,91.847023,88.525947
75,475_0075.JPG,2023-10-19T13:15:08,38.75544222,100.99306487,2580.39,0.079786,-2.4514,88.833611,90.804133
76,475_0076.JPG,2023-10-19T13:15:13,38.75582195,100.99192662,2574.68,1.630876,-3.06095,90.269118,88.95915
77,475_0077.JPG,2023-10-19T13:15:20,38.75624338,100.99085642,2579.58,2.956666,5.081327,87.827137,88.458101
78,475_0078.JPG,2023-10-19T13:15:28,38.75670107,100.98984462,2577.12,2.876307,1.954138,92.282375,89.653917
79,475_0079.JPG,2023-10-19T13:15:33,38.75719743,100.98888661,2576.54,1.70759,0.032286,87.646318,91.42988
80,475_0080.JPG,2023-10-19T13:15:39,38.75774849,100.98799649,2573.13,3.160014,4.792078,89.089982,91.490704
81,475_0081.JPG,2023-10-19T13:15:44,38.75831856,100.98715262,2573.67,-3.967941,4.399978,86.10519,88.454292
82,475_0082.JPG,2023-10-19T13:15:49,38.75893745,100.98638262,2574.07,1.339136,4.10286,92.860757,90.142646
83,475_0083.JPG,2023-10-19T13:15:56,38.75958543,100.98567165,2575.27,1.580287,3.217459,94.469839,89.329607
