aid,cluster_id,priority,tx_rate_bps,queue_len,packet_size_bytes
1,1,high,300000,14,128
2,1,high,300000,13,128
3,1,normal,300000,0,128
4,1,normal,300000,5,128
5,1,high,300000,9,128
6,1,critical,300000,11,128
7,1,normal,300000,4,128
8,1,normal,300000,8,128
9,1,normal,300000,6,128
10,1,normal,300000,5,128
11,1,normal,300000,0,128
12,1,normal,300000,1,128
13,1,normal,300000,6,128
14,1,normal,300000,5,128
15,1,normal,300000,3,128
16,1,normal,300000,1,128
17,1,normal,300000,3,128
18,1,normal,300000,4,128
19,1,normal,300000,0,128
20,1,normal,300000,5,128
21,1,high,300000,7,128
22,1,high,300000,11,128
23,1,normal,300000,7,128
24,1,high,300000,7,128
25,1,normal,300000,6,128
26,1,normal,300000,2,128
27,1,critical,300000,9,128
28,1,high,300000,6,128
29,1,normal,300000,6,128
30,1,normal,300000,7,128
31,1,normal,300000,0,128
32,1,normal,300000,8,128
33,1,normal,300000,5,128
34,1,high,300000,6,128
35,1,critical,300000,16,128
36,1,normal,300000,1,128
37,1,normal,300000,8,128
38,1,high,300000,6,128
39,1,normal,300000,7,128
40,1,high,300000,9,128
41,1,high,300000,7,128
42,1,critical,300000,23,128
43,1,normal,300000,8,128
44,1,high,300000,11,128
45,1,high,300000,13,128
46,1,normal,300000,8,128
47,1,normal,300000,6,128
48,1,normal,300000,8,128
49,1,high,300000,7,128
50,1,high,300000,13,128
51,1,normal,300000,0,128
52,1,normal,300000,0,128
53,1,critical,300000,9,128
54,1,critical,300000,15,128
55,1,normal,300000,3,128
56,1,normal,300000,7,128
57,1,normal,300000,6,128
58,1,critical,300000,21,128
59,1,normal,300000,7,128
60,1,normal,300000,1,128
61,1,normal,300000,5,128
62,1,high,300000,7,128
63,1,high,300000,6,128
64,1,normal,300000,1,128
65,1,normal,300000,8,128
66,1,critical,300000,25,128
67,1,normal,300000,3,128
68,1,normal,300000,7,128
69,1,normal,300000,0,128
70,1,normal,300000,6,128
71,1,normal,300000,7,128
72,1,normal,300000,8,128
73,1,high,300000,8,128
74,1,normal,300000,8,128
75,1,normal,300000,0,128
76,1,normal,300000,8,128
77,1,critical,300000,24,128
78,1,normal,300000,1,128
79,1,normal,300000,3,128
80,1,high,300000,13,128
81,1,normal,300000,0,128
82,1,normal,300000,8,128
83,1,normal,300000,3,128
84,1,high,300000,10,128
85,1,normal,300000,4,128
86,1,high,300000,5,128
87,1,normal,300000,1,128
88,1,normal,300000,8,128
89,1,high,300000,9,128
90,1,normal,300000,5,128
91,1,high,300000,12,128
92,1,normal,300000,8,128
93,1,normal,300000,8,128
94,1,normal,300000,1,128
95,1,high,300000,5,128
96,1,high,300000,13,128
97,1,normal,300000,3,128
98,1,normal,300000,4,128
99,1,critical,300000,21,128
100,1,critical,300000,18,128
101,1,normal,300000,4,128
102,1,normal,300000,8,128
103,1,normal,300000,1,128
104,1,normal,300000,2,128
105,1,normal,300000,8,128
106,1,normal,300000,0,128
107,1,normal,300000,0,128
108,1,high,300000,7,128
109,1,normal,300000,8,128
110,1,normal,300000,2,128
111,1,normal,300000,2,128
112,1,critical,300000,18,128
113,1,normal,300000,3,128
114,1,high,300000,15,128
115,1,normal,300000,0,128
116,1,high,300000,11,128
117,1,high,300000,7,128
118,1,critical,300000,14,128
119,1,high,300000,5,128
120,1,normal,300000,8,128
121,1,normal,300000,8,128
122,1,normal,300000,1,128
123,1,high,300000,8,128
124,1,high,300000,10,128
125,1,normal,300000,5,128
126,1,normal,300000,8,128
127,1,normal,300000,3,128
128,1,critical,300000,21,128
129,1,normal,300000,8,128
130,1,normal,300000,1,128
131,1,normal,300000,1,128
132,1,normal,300000,6,128
133,1,normal,300000,4,128
134,1,high,300000,14,128
135,1,normal,300000,2,128
136,1,normal,300000,0,128
137,1,high,300000,10,128
138,1,normal,300000,7,128
139,1,normal,300000,2,128
140,2,high,300000,14,128
141,2,critical,300000,15,128
142,2,high,300000,7,128
143,2,critical,300000,15,128
144,2,normal,300000,1,128
145,2,normal,300000,3,128
146,2,normal,300000,3,128
147,2,normal,300000,0,128
148,2,normal,300000,3,128
149,2,normal,300000,8,128
150,2,critical,300000,15,128
151,2,normal,300000,7,128
152,2,normal,300000,7,128
153,2,normal,300000,8,128
154,2,normal,300000,7,128
155,2,high,300000,7,128
156,2,normal,300000,8,128
157,2,normal,300000,4,128
158,2,critical,300000,17,128
159,2,high,300000,9,128
160,2,high,300000,7,128
161,2,normal,300000,3,128
162,2,normal,300000,5,128
163,2,normal,300000,3,128
164,2,normal,300000,0,128
165,2,normal,300000,5,128
166,2,normal,300000,6,128
167,2,normal,300000,4,128
168,2,normal,300000,6,128
169,2,normal,300000,6,128
170,2,normal,300000,2,128
171,2,normal,300000,0,128
172,2,normal,300000,2,128
173,2,high,300000,8,128
174,2,high,300000,11,128
175,2,high,300000,10,128
176,2,normal,300000,6,128
177,2,normal,300000,7,128
178,2,normal,300000,0,128
179,2,high,300000,5,128
180,2,normal,300000,3,128
181,2,normal,300000,2,128
