aid,cluster_id,priority,tx_rate_bps,queue_len,packet_size_bytes
1,1,normal,300000,0,128
2,1,normal,300000,0,128
3,1,normal,300000,0,128
4,1,normal,300000,0,128
5,1,normal,300000,0,128
6,1,normal,300000,0,128
7,1,normal,300000,0,128
8,1,normal,300000,0,128
9,1,normal,300000,0,128
10,1,normal,300000,0,128
11,1,normal,300000,0,128
12,1,normal,300000,0,128
13,1,normal,300000,0,128
14,1,normal,300000,0,128
15,1,normal,300000,0,128
16,1,normal,300000,0,128
17,1,normal,300000,0,128
18,1,normal,300000,0,128
19,1,normal,300000,0,128
20,1,normal,300000,0,128
21,1,normal,300000,0,128
22,1,normal,300000,0,128
23,1,normal,300000,0,128
24,1,normal,300000,0,128
25,1,normal,300000,0,128
26,1,normal,300000,0,128
27,1,normal,300000,0,128
28,1,normal,300000,0,128
29,1,normal,300000,0,128
30,1,normal,300000,0,128
31,1,normal,300000,0,128
32,1,normal,300000,0,128
33,1,normal,300000,0,128
34,1,normal,300000,0,128
35,1,normal,300000,0,128
36,1,normal,300000,0,128
37,1,normal,300000,0,128
38,1,normal,300000,0,128
39,1,normal,300000,0,128
40,1,normal,300000,0,128
41,1,normal,300000,0,128
42,1,normal,300000,0,128
43,1,normal,300000,0,128
44,1,normal,300000,0,128
45,1,normal,300000,0,128
46,1,normal,300000,0,128
47,1,normal,300000,0,128
48,1,normal,300000,0,128
49,1,normal,300000,0,128
50,1,normal,300000,0,128
51,1,normal,300000,0,128
52,1,normal,300000,0,128
53,1,normal,300000,0,128
54,1,normal,300000,0,128
55,1,normal,300000,0,128
56,1,normal,300000,0,128
57,1,normal,300000,0,128
58,1,normal,300000,0,128
59,1,normal,300000,0,128
60,1,normal,300000,0,128
61,1,normal,300000,0,128
62,1,normal,300000,0,128
63,1,normal,300000,0,128
64,1,normal,300000,0,128
65,1,normal,300000,0,128
66,1,normal,300000,0,128
67,1,normal,300000,1,128
68,1,normal,300000,1,128
69,1,normal,300000,1,128
70,1,normal,300000,1,128
71,1,normal,300000,1,128
72,1,normal,300000,1,128
73,1,normal,300000,1,128
74,1,normal,300000,1,128
75,1,normal,300000,1,128
76,1,normal,300000,1,128
77,1,normal,300000,1,128
78,1,normal,300000,1,128
79,1,normal,300000,1,128
80,1,normal,300000,1,128
81,1,normal,300000,1,128
82,1,normal,300000,1,128
83,1,normal,300000,1,128
84,1,normal,300000,1,128
85,1,normal,300000,1,128
86,1,normal,300000,1,128
87,1,normal,300000,1,128
88,1,normal,300000,1,128
89,1,normal,300000,1,128
90,1,normal,300000,1,128
91,1,normal,300000,1,128
92,1,normal,300000,1,128
93,1,normal,300000,1,128
94,1,normal,300000,1,128
95,1,normal,300000,1,128
96,1,normal,300000,1,128
97,1,normal,300000,1,128
98,1,normal,300000,1,128
99,1,normal,300000,1,128
100,1,normal,300000,1,128
101,1,normal,300000,1,128
102,1,normal,300000,1,128
103,1,normal,300000,1,128
104,1,normal,300000,1,128
105,1,normal,300000,1,128
106,1,normal,300000,1,128
107,1,normal,300000,1,128
108,1,normal,300000,1,128
109,1,normal,300000,1,128
110,1,normal,300000,1,128
111,1,normal,300000,1,128
112,1,normal,300000,1,128
113,1,normal,300000,1,128
114,1,normal,300000,1,128
115,1,normal,300000,1,128
116,1,normal,300000,1,128
117,1,normal,300000,1,128
118,1,normal,300000,1,128
119,1,normal,300000,1,128
120,1,normal,300000,1,128
121,1,normal,300000,1,128
122,1,normal,300000,1,128
123,1,normal,300000,1,128
124,1,normal,300000,1,128
125,1,normal,300000,1,128
126,1,normal,300000,1,128
127,1,normal,300000,1,128
128,1,normal,300000,1,128
129,1,normal,300000,1,128
130,1,normal,300000,1,128
131,1,normal,300000,1,128
132,1,normal,300000,1,128
133,1,normal,300000,1,128
134,1,normal,300000,1,128
135,1,normal,300000,1,128
136,1,normal,300000,1,128
137,1,normal,300000,1,128
138,1,normal,300000,1,128
139,1,normal,300000,1,128
140,1,normal,300000,1,128
141,1,normal,300000,1,128
