aid,cluster_id,priority,tx_rate_bps,queue_len,packet_size_bytes
1,1,normal,300000,5,128
2,1,normal,300000,0,128
3,1,normal,300000,2,128
4,1,normal,300000,0,128
5,1,normal,300000,4,128
6,1,high,300000,13,128
7,1,normal,300000,0,128
8,1,normal,300000,1,128
9,1,normal,300000,0,128
10,1,critical,300000,15,128
11,1,normal,300000,2,128
12,1,high,300000,4,128
13,1,normal,300000,4,128
14,1,normal,300000,5,128
15,1,high,300000,5,128
16,1,normal,300000,2,128
17,1,normal,300000,3,128
18,1,high,300000,6,128
19,1,normal,300000,1,128
20,1,normal,300000,1,128
21,1,normal,300000,3,128
22,1,high,300000,6,128
23,1,normal,300000,6,128
24,1,normal,300000,5,128
25,1,normal,300000,7,128
26,1,normal,300000,5,128
27,1,normal,300000,7,128
28,1,high,300000,10,128
29,1,normal,300000,4,128
30,1,normal,300000,6,128
31,1,critical,300000,21,128
32,1,normal,300000,8,128
33,1,high,300000,10,128
34,1,normal,300000,5,128
35,1,normal,300000,6,128
36,1,normal,300000,8,128
37,1,normal,300000,0,128
38,1,normal,300000,2,128
39,1,normal,300000,1,128
40,1,high,300000,11,128
41,1,high,300000,7,128
42,1,normal,300000,1,128
43,1,normal,300000,4,128
44,1,high,300000,14,128
45,1,critical,300000,25,128
46,1,normal,300000,3,128
47,1,normal,300000,1,128
48,1,normal,300000,7,128
49,1,normal,300000,6,128
50,1,high,300000,15,128
51,1,normal,300000,2,128
52,1,normal,300000,0,128
53,1,high,300000,6,128
54,1,critical,300000,11,128
55,1,normal,300000,6,128
56,1,normal,300000,8,128
57,1,critical,300000,21,128
58,1,critical,300000,13,128
59,1,normal,300000,8,128
60,1,critical,300000,21,128
61,1,normal,300000,4,128
62,1,normal,300000,6,128
63,1,normal,300000,2,128
64,1,critical,300000,24,128
65,1,normal,300000,7,128
66,1,normal,300000,5,128
67,1,normal,300000,2,128
68,1,high,300000,13,128
69,1,normal,300000,1,128
70,1,normal,300000,1,128
71,1,high,300000,4,128
72,1,normal,300000,4,128
73,1,normal,300000,7,128
74,1,normal,300000,7,128
75,1,normal,300000,3,128
76,1,normal,300000,8,128
77,1,normal,300000,3,128
78,1,high,300000,9,128
79,1,high,300000,10,128
80,1,normal,300000,8,128
81,1,normal,300000,1,128
82,1,normal,300000,8,128
83,1,normal,300000,3,128
84,1,normal,300000,5,128
85,1,normal,300000,8,128
86,1,normal,300000,8,128
87,1,high,300000,5,128
88,1,high,300000,8,128
89,1,high,300000,15,128
90,1,high,300000,11,128
91,1,high,300000,9,128
92,1,high,300000,10,128
93,1,normal,300000,1,128
94,1,high,300000,12,128
95,1,normal,300000,6,128
96,1,critical,300000,23,128
97,1,high,300000,4,128
98,1,normal,300000,4,128
99,1,normal,300000,7,128
100,1,normal,300000,4,128
101,1,normal,300000,3,128
102,1,normal,300000,2,128
103,1,normal,300000,7,128
104,1,normal,300000,0,128
105,1,normal,300000,6,128
106,1,normal,300000,5,128
107,1,normal,300000,1,128
108,1,normal,300000,5,128
109,1,normal,300000,2,128
110,1,critical,300000,10,128
111,1,high,300000,8,128
112,1,critical,300000,15,128
113,1,high,300000,12,128
114,1,normal,300000,1,128
115,1,critical,300000,13,128
116,1,critical,300000,14,128
117,1,normal,300000,4,128
118,1,normal,300000,6,128
119,1,normal,300000,5,128
120,1,high,300000,6,128
121,1,normal,300000,6,128
122,1,normal,300000,3,128
123,1,normal,300000,4,128
124,1,normal,300000,4,128
125,1,normal,300000,7,128
126,1,normal,300000,7,128
127,1,normal,300000,6,128
128,1,normal,300000,4,128
129,1,high,300000,5,128
130,1,normal,300000,3,128
131,1,normal,300000,4,128
132,1,high,300000,13,128
133,1,normal,300000,0,128
134,1,high,300000,6,128
135,1,normal,300000,8,128
136,1,normal,300000,3,128
137,1,high,300000,13,128
138,1,high,300000,7,128
139,1,high,300000,10,128
140,1,high,300000,5,128
141,1,normal,300000,7,128
142,1,high,300000,9,128
143,1,critical,300000,10,128
144,1,normal,300000,3,128
145,1,high,300000,11,128
146,1,normal,300000,0,128
147,1,normal,300000,0,128
148,1,normal,300000,3,128
149,1,high,300000,12,128
150,1,normal,300000,4,128
151,1,high,300000,7,128
152,1,high,300000,13,128
153,1,normal,300000,8,128
154,1,normal,300000,4,128
155,1,normal,300000,7,128
156,1,high,300000,10,128
157,1,normal,300000,5,128
158,1,normal,300000,4,128
159,1,normal,300000,0,128
160,1,high,300000,11,128
161,2,high,300000,9,128
162,2,normal,300000,5,128
163,2,high,300000,6,128
164,2,normal,300000,0,128
165,2,normal,300000,8,128
166,2,normal,300000,6,128
167,2,normal,300000,3,128
168,2,normal,300000,6,128
169,2,normal,300000,0,128
170,2,high,300000,7,128
171,2,high,300000,5,128
172,2,normal,300000,2,128
173,2,normal,300000,3,128
174,2,high,300000,11,128
175,2,normal,300000,3,128
176,2,normal,300000,5,128
177,2,normal,300000,5,128
178,2,high,300000,14,128
179,2,critical,300000,25,128
180,2,normal,300000,3,128
181,2,critical,300000,20,128
182,2,normal,300000,4,128
183,2,normal,300000,1,128
184,2,normal,300000,7,128
185,2,normal,300000,2,128
186,2,normal,300000,7,128
187,2,normal,300000,2,128
188,2,normal,300000,2,128
189,2,high,300000,14,128
190,2,normal,300000,7,128
191,2,normal,300000,7,128
192,2,normal,300000,8,128
193,2,normal,300000,1,128
194,2,high,300000,6,128
195,2,normal,300000,3,128
196,2,high,300000,9,128
197,2,normal,300000,2,128
198,2,normal,300000,0,128
199,2,high,300000,4,128
200,2,normal,300000,1,128
201,2,high,300000,14,128
202,2,high,300000,13,128
203,2,normal,300000,0,128
204,2,normal,300000,6,128
205,2,high,300000,5,128
206,2,normal,300000,4,128
207,2,normal,300000,3,128
208,2,normal,300000,3,128
209,2,normal,300000,0,128
210,2,high,300000,14,128
211,2,normal,300000,1,128
212,2,normal,300000,1,128
213,2,normal,300000,4,128
214,2,high,300000,11,128
215,2,normal,300000,4,128
216,2,normal,300000,0,128
217,2,critical,300000,9,128
218,2,normal,300000,7,128
219,2,high,300000,10,128
220,2,normal,300000,8,128
221,2,normal,300000,8,128
222,2,normal,300000,7,128
223,2,normal,300000,7,128
224,2,normal,300000,4,128
225,2,critical,300000,9,128
226,2,normal,300000,0,128
227,2,normal,300000,2,128
228,2,high,300000,15,128
229,2,normal,300000,8,128
230,2,critical,300000,14,128
231,2,high,300000,13,128
232,2,normal,300000,4,128
233,2,normal,300000,2,128
234,2,critical,300000,23,128
235,2,normal,300000,8,128
236,2,normal,300000,0,128
237,2,normal,300000,0,128
238,2,normal,300000,3,128
239,2,high,300000,13,128
240,2,normal,300000,7,128
241,2,critical,300000,18,128
242,2,normal,300000,8,128
243,2,normal,300000,0,128
244,2,normal,300000,1,128
245,2,normal,300000,3,128
246,2,normal,300000,4,128
247,2,normal,300000,2,128
248,2,normal,300000,5,128
249,2,normal,300000,8,128
250,2,normal,300000,7,128
251,2,normal,300000,8,128
252,2,normal,300000,3,128
253,2,normal,300000,8,128
254,2,normal,300000,5,128
255,2,normal,300000,5,128
256,2,normal,300000,6,128
257,2,normal,300000,5,128
258,2,normal,300000,6,128
259,2,normal,300000,4,128
260,2,normal,300000,0,128
261,2,critical,300000,13,128
262,2,critical,300000,14,128
263,2,normal,300000,6,128
264,2,normal,300000,7,128
265,2,critical,300000,9,128
266,2,normal,300000,5,128
267,2,high,300000,9,128
268,2,normal,300000,4,128
269,2,normal,300000,1,128
270,2,normal,300000,7,128
271,2,normal,300000,7,128
272,2,critical,300000,20,128
273,2,normal,300000,3,128
274,2,normal,300000,7,128
275,2,normal,300000,0,128
276,2,high,300000,12,128
277,2,normal,300000,5,128
278,2,high,300000,12,128
279,2,high,300000,11,128
280,2,normal,300000,6,128
281,2,normal,300000,2,128
282,2,normal,300000,4,128
283,2,normal,300000,8,128
284,2,normal,300000,7,128
285,2,normal,300000,5,128
286,2,normal,300000,4,128
287,2,critical,300000,11,128
288,2,critical,300000,22,128
289,2,normal,300000,4,128
290,2,high,300000,6,128
291,2,normal,300000,8,128
292,2,normal,300000,5,128
293,2,high,300000,9,128
294,2,normal,300000,1,128
295,2,high,300000,9,128
296,2,normal,300000,8,128
297,2,normal,300000,5,128
298,2,normal,300000,3,128
299,2,high,300000,8,128
300,2,critical,300000,17,128
301,2,normal,300000,5,128
302,2,high,300000,12,128
303,2,normal,300000,3,128
304,2,normal,300000,1,128
305,2,high,300000,5,128
306,2,normal,300000,2,128
307,2,critical,300000,18,128
308,2,normal,300000,8,128
309,2,high,300000,14,128
310,2,normal,300000,7,128
311,2,normal,300000,8,128
312,2,normal,300000,7,128
313,2,normal,300000,2,128
314,2,normal,300000,5,128
315,2,normal,300000,1,128
316,2,normal,300000,2,128
317,2,critical,300000,25,128
318,2,normal,300000,3,128
319,2,normal,300000,3,128
320,2,normal,300000,8,128
321,2,normal,300000,1,128
322,2,high,300000,6,128
323,3,high,300000,10,128
324,3,normal,300000,2,128
325,3,normal,300000,8,128
326,3,normal,300000,1,128
327,3,normal,300000,6,128
328,3,high,300000,4,128
329,3,high,300000,8,128
330,3,normal,300000,3,128
331,3,normal,300000,5,128
332,3,normal,300000,8,128
333,3,normal,300000,6,128
334,3,normal,300000,0,128
335,3,normal,300000,5,128
336,3,normal,300000,5,128
337,3,critical,300000,14,128
338,3,high,300000,9,128
339,3,normal,300000,2,128
340,3,high,300000,4,128
341,3,normal,300000,6,128
342,3,normal,300000,2,128
343,3,high,300000,6,128
344,3,high,300000,15,128
345,3,critical,300000,23,128
346,3,normal,300000,3,128
347,3,normal,300000,2,128
348,3,normal,300000,3,128
349,3,normal,300000,0,128
350,3,normal,300000,6,128
351,3,normal,300000,0,128
352,3,normal,300000,6,128
353,3,normal,300000,8,128
354,3,high,300000,12,128
355,3,critical,300000,11,128
356,3,normal,300000,4,128
357,3,high,300000,15,128
358,3,high,300000,7,128
359,3,normal,300000,0,128
360,3,high,300000,5,128
361,3,normal,300000,1,128
362,3,critical,300000,18,128
363,3,normal,300000,3,128
364,3,critical,300000,18,128
365,3,normal,300000,3,128
366,3,normal,300000,1,128
367,3,high,300000,7,128
368,3,normal,300000,1,128
369,3,high,300000,11,128
370,3,high,300000,11,128
371,3,normal,300000,7,128
372,3,high,300000,5,128
373,3,normal,300000,6,128
374,3,normal,300000,1,128
375,3,normal,300000,3,128
376,3,normal,300000,7,128
377,3,normal,300000,1,128
378,3,high,300000,5,128
379,3,normal,300000,6,128
380,3,high,300000,7,128
381,3,normal,300000,1,128
382,3,normal,300000,7,128
383,3,critical,300000,15,128
384,3,normal,300000,8,128
385,3,normal,300000,8,128
386,3,normal,300000,5,128
387,3,normal,300000,1,128
388,3,normal,300000,7,128
389,3,high,300000,7,128
390,3,normal,300000,1,128
391,3,normal,300000,6,128
392,3,normal,300000,3,128
393,3,high,300000,10,128
394,3,high,300000,14,128
395,3,normal,300000,0,128
396,3,high,300000,5,128
397,3,critical,300000,15,128
398,3,normal,300000,8,128
399,3,normal,300000,3,128
400,3,high,300000,5,128
401,3,high,300000,12,128
402,3,normal,300000,2,128
403,3,high,300000,14,128
404,3,normal,300000,1,128
405,3,normal,300000,2,128
406,3,critical,300000,25,128
407,3,normal,300000,2,128
408,3,high,300000,7,128
409,3,normal,300000,8,128
410,3,normal,300000,1,128
411,3,normal,300000,8,128
412,3,high,300000,8,128
413,3,critical,300000,19,128
414,3,high,300000,5,128
415,3,high,300000,4,128
416,3,normal,300000,5,128
417,3,normal,300000,2,128
418,3,high,300000,11,128
419,3,normal,300000,6,128
420,3,normal,300000,0,128
421,3,normal,300000,6,128
422,3,high,300000,4,128
423,3,normal,300000,4,128
424,3,normal,300000,5,128
425,3,normal,300000,3,128
426,3,normal,300000,5,128
427,3,normal,300000,6,128
428,3,normal,300000,0,128
429,3,critical,300000,23,128
430,3,normal,300000,5,128
431,3,normal,300000,2,128
432,3,normal,300000,1,128
433,3,high,300000,10,128
434,3,normal,300000,0,128
435,3,high,300000,11,128
436,3,normal,300000,1,128
437,3,normal,300000,5,128
438,3,normal,300000,0,128
439,3,normal,300000,1,128
440,3,normal,300000,3,128
441,3,high,300000,8,128
442,3,high,300000,8,128
443,3,normal,300000,1,128
444,3,normal,300000,2,128
445,3,high,300000,9,128
446,3,normal,300000,5,128
447,3,normal,300000,4,128
448,3,normal,300000,4,128
449,3,high,300000,4,128
450,3,critical,300000,10,128
451,3,normal,300000,7,128
452,3,normal,300000,5,128
