aid,cluster_id,priority,tx_rate_bps,queue_len,packet_size_bytes
1,1,normal,300000,0,128
2,1,normal,300000,0,128
3,1,normal,300000,5,128
4,1,normal,300000,2,128
5,1,high,300000,6,128
6,1,normal,300000,6,128
7,1,normal,300000,7,128
8,1,high,300000,4,128
9,1,normal,300000,8,128
10,1,normal,300000,3,128
11,1,normal,300000,7,128
12,1,normal,300000,1,128
13,1,normal,300000,1,128
14,1,normal,300000,8,128
15,1,high,300000,15,128
16,1,high,300000,8,128
17,1,normal,300000,1,128
18,1,normal,300000,4,128
19,1,high,300000,14,128
20,1,critical,300000,12,128
21,1,normal,300000,0,128
22,1,high,300000,9,128
23,1,high,300000,5,128
24,1,normal,300000,5,128
25,1,normal,300000,1,128
26,1,high,300000,6,128
27,1,high,300000,7,128
28,1,normal,300000,5,128
29,1,normal,300000,5,128
30,1,normal,300000,3,128
31,1,normal,300000,8,128
32,1,normal,300000,7,128
33,1,normal,300000,3,128
34,1,normal,300000,5,128
35,1,high,300000,10,128
36,1,normal,300000,7,128
37,1,high,300000,5,128
38,1,normal,300000,8,128
39,1,high,300000,4,128
40,1,high,300000,7,128
41,1,normal,300000,2,128
42,1,normal,300000,3,128
43,1,normal,300000,1,128
44,1,normal,300000,1,128
45,1,critical,300000,21,128
46,1,normal,300000,1,128
47,1,normal,300000,8,128
48,1,high,300000,7,128
49,1,normal,300000,8,128
50,1,normal,300000,1,128
51,1,normal,300000,3,128
52,1,normal,300000,2,128
53,1,normal,300000,4,128
54,1,high,300000,13,128
55,1,normal,300000,3,128
56,1,normal,300000,6,128
57,1,high,300000,13,128
58,1,normal,300000,4,128
59,1,normal,300000,7,128
60,1,high,300000,7,128
61,1,normal,300000,7,128
62,1,normal,300000,6,128
63,1,high,300000,10,128
64,1,normal,300000,8,128
65,1,normal,300000,7,128
66,1,normal,300000,0,128
67,1,normal,300000,5,128
68,1,normal,300000,4,128
69,1,normal,300000,0,128
70,1,high,300000,4,128
71,1,normal,300000,6,128
72,1,high,300000,13,128
73,1,normal,300000,7,128
74,1,normal,300000,5,128
75,1,normal,300000,7,128
76,1,normal,300000,6,128
77,1,critical,300000,25,128
78,1,normal,300000,7,128
79,1,high,300000,4,128
80,1,normal,300000,4,128
81,1,critical,300000,19,128
82,1,high,300000,5,128
83,1,normal,300000,0,128
84,1,high,300000,7,128
85,1,normal,300000,0,128
86,1,normal,300000,1,128
87,1,normal,300000,1,128
88,1,normal,300000,5,128
89,1,normal,300000,8,128
90,1,critical,300000,8,128
91,1,normal,300000,5,128
92,1,critical,300000,14,128
93,1,high,300000,7,128
94,1,normal,300000,4,128
95,1,normal,300000,7,128
96,1,high,300000,10,128
97,1,critical,300000,11,128
98,1,normal,300000,3,128
99,1,normal,300000,0,128
100,1,high,300000,11,128
101,1,normal,300000,0,128
102,1,normal,300000,1,128
103,1,critical,300000,22,128
104,1,normal,300000,8,128
105,1,normal,300000,4,128
106,1,normal,300000,6,128
107,1,high,300000,14,128
108,1,high,300000,15,128
109,1,normal,300000,8,128
110,1,normal,300000,7,128
111,1,critical,300000,18,128
112,1,normal,300000,3,128
113,1,normal,300000,7,128
114,1,normal,300000,6,128
115,1,high,300000,9,128
116,1,normal,300000,2,128
117,1,normal,300000,4,128
118,1,high,300000,10,128
119,1,normal,300000,6,128
120,1,normal,300000,1,128
121,1,critical,300000,14,128
122,1,normal,300000,4,128
123,1,normal,300000,0,128
124,1,critical,300000,20,128
125,1,normal,300000,7,128
126,1,normal,300000,8,128
127,1,normal,300000,7,128
128,1,high,300000,15,128
129,1,normal,300000,1,128
130,1,normal,300000,1,128
131,1,normal,300000,2,128
132,1,normal,300000,8,128
133,1,critical,300000,20,128
134,1,normal,300000,7,128
135,1,normal,300000,8,128
136,1,normal,300000,4,128
137,1,normal,300000,6,128
138,1,high,300000,5,128
139,1,normal,300000,5,128
140,1,high,300000,6,128
141,1,normal,300000,8,128
142,1,normal,300000,4,128
143,1,normal,300000,8,128
144,1,normal,300000,6,128
