aid,cluster_id,priority,tx_rate_bps,queue_len,packet_size_bytes
1,1,normal,300000,3,128
2,1,high,300000,15,128
3,1,critical,300000,14,128
4,1,high,300000,13,128
5,1,normal,300000,7,128
6,1,high,300000,7,128
7,1,normal,300000,1,128
8,1,normal,300000,7,128
9,1,normal,300000,2,128
10,1,normal,300000,3,128
11,1,normal,300000,5,128
12,1,high,300000,11,128
13,1,high,300000,6,128
14,1,normal,300000,6,128
15,1,normal,300000,6,128
16,1,normal,300000,1,128
17,1,normal,300000,1,128
18,1,normal,300000,6,128
19,1,normal,300000,8,128
20,1,normal,300000,8,128
21,1,high,300000,4,128
22,1,normal,300000,4,128
23,1,normal,300000,8,128
24,1,normal,300000,2,128
25,1,high,300000,12,128
26,1,critical,300000,25,128
27,1,high,300000,7,128
28,1,normal,300000,7,128
29,1,critical,300000,21,128
30,1,normal,300000,6,128
31,1,normal,300000,2,128
32,1,normal,300000,8,128
33,1,high,300000,8,128
34,1,normal,300000,6,128
35,1,normal,300000,3,128
36,1,high,300000,14,128
37,1,high,300000,9,128
38,1,normal,300000,5,128
39,1,normal,300000,6,128
40,1,high,300000,15,128
41,1,high,300000,6,128
42,1,normal,300000,2,128
43,1,normal,300000,2,128
44,1,critical,300000,15,128
45,1,normal,300000,2,128
46,1,critical,300000,11,128
47,1,normal,300000,2,128
48,1,high,300000,9,128
49,1,critical,300000,21,128
50,1,normal,300000,0,128
51,1,normal,300000,5,128
52,1,normal,300000,1,128
53,1,normal,300000,4,128
54,1,high,300000,10,128
55,1,normal,300000,8,128
56,1,normal,300000,8,128
57,1,normal,300000,1,128
58,1,normal,300000,1,128
59,1,normal,300000,4,128
60,1,normal,300000,2,128
61,1,normal,300000,4,128
62,1,normal,300000,4,128
63,1,normal,300000,2,128
64,1,normal,300000,2,128
65,1,normal,300000,7,128
66,1,normal,300000,7,128
67,1,high,300000,9,128
68,1,normal,300000,5,128
69,1,high,300000,10,128
70,1,critical,300000,10,128
71,1,normal,300000,0,128
72,1,normal,300000,2,128
73,1,normal,300000,4,128
74,1,normal,300000,2,128
75,1,normal,300000,4,128
76,1,normal,300000,7,128
77,1,normal,300000,5,128
78,1,critical,300000,23,128
79,1,normal,300000,6,128
80,1,high,300000,15,128
81,1,normal,300000,1,128
82,1,normal,300000,8,128
83,1,normal,300000,0,128
84,1,high,300000,4,128
85,1,normal,300000,6,128
86,1,high,300000,14,128
87,1,high,300000,8,128
88,1,high,300000,13,128
89,1,normal,300000,0,128
90,1,normal,300000,1,128
91,1,normal,300000,2,128
92,1,normal,300000,8,128
93,1,high,300000,5,128
94,1,high,300000,5,128
95,1,normal,300000,7,128
96,1,critical,300000,25,128
97,1,normal,300000,8,128
98,1,normal,300000,6,128
99,1,high,300000,9,128
100,1,normal,300000,5,128
101,1,normal,300000,8,128
102,1,high,300000,14,128
103,1,normal,300000,1,128
104,1,high,300000,5,128
105,1,high,300000,14,128
106,1,normal,300000,0,128
107,1,high,300000,13,128
108,1,critical,300000,21,128
109,1,normal,300000,5,128
110,1,normal,300000,6,128
111,1,normal,300000,5,128
112,1,normal,300000,7,128
113,1,normal,300000,1,128
114,1,normal,300000,1,128
115,1,normal,300000,5,128
116,1,normal,300000,5,128
117,1,normal,300000,8,128
118,1,normal,300000,2,128
119,1,high,300000,10,128
120,1,normal,300000,2,128
121,1,high,300000,6,128
122,1,critical,300000,23,128
123,1,normal,300000,5,128
124,1,critical,300000,19,128
125,1,high,300000,4,128
126,1,normal,300000,7,128
