aid,cluster_id,priority,tx_rate_bps,queue_len,packet_size_bytes
1,1,normal,300000,1,128
2,1,normal,300000,5,128
3,1,high,300000,6,128
4,1,normal,300000,0,128
5,1,normal,300000,3,128
6,1,normal,300000,4,128
7,1,normal,300000,8,128
8,1,normal,300000,2,128
9,1,high,300000,11,128
10,1,high,300000,7,128
11,1,high,300000,7,128
12,1,normal,300000,6,128
13,1,high,300000,14,128
14,1,critical,300000,12,128
15,1,normal,300000,0,128
16,1,high,300000,11,128
17,1,critical,300000,23,128
18,1,normal,300000,1,128
19,1,normal,300000,0,128
20,1,high,300000,5,128
21,1,high,300000,13,128
22,1,normal,300000,3,128
23,1,high,300000,4,128
24,1,normal,300000,1,128
25,1,normal,300000,1,128
26,1,normal,300000,3,128
27,1,normal,300000,5,128
28,1,high,300000,7,128
29,1,high,300000,13,128
30,1,normal,300000,6,128
31,1,high,300000,5,128
32,1,normal,300000,6,128
33,1,normal,300000,7,128
34,1,normal,300000,3,128
35,1,normal,300000,8,128
36,1,normal,300000,3,128
37,1,critical,300000,11,128
38,1,normal,300000,0,128
39,1,normal,300000,6,128
40,1,normal,300000,4,128
41,1,normal,300000,0,128
42,1,normal,300000,6,128
43,1,normal,300000,5,128
44,1,high,300000,14,128
45,1,normal,300000,1,128
46,1,normal,300000,0,128
47,1,normal,300000,3,128
48,1,high,300000,5,128
49,1,normal,300000,5,128
50,1,normal,300000,6,128
51,1,normal,300000,7,128
52,1,normal,300000,6,128
53,1,normal,300000,0,128
54,1,normal,300000,8,128
55,1,normal,300000,0,128
56,1,normal,300000,3,128
57,1,normal,300000,7,128
58,1,normal,300000,4,128
59,1,normal,300000,3,128
60,1,normal,300000,1,128
61,1,normal,300000,8,128
62,1,normal,300000,1,128
63,1,high,300000,5,128
64,1,normal,300000,6,128
65,1,normal,300000,7,128
66,1,normal,300000,6,128
67,1,high,300000,15,128
68,1,high,300000,10,128
69,1,normal,300000,1,128
70,1,normal,300000,3,128
71,1,high,300000,4,128
72,1,normal,300000,1,128
73,1,normal,300000,0,128
74,1,high,300000,9,128
75,1,high,300000,12,128
76,1,normal,300000,5,128
77,1,normal,300000,8,128
78,1,high,300000,7,128
79,1,normal,300000,8,128
80,1,critical,300000,25,128
81,1,normal,300000,5,128
82,1,normal,300000,4,128
83,1,high,300000,9,128
84,1,high,300000,7,128
85,1,normal,300000,8,128
86,1,high,300000,10,128
87,1,normal,300000,6,128
88,1,normal,300000,3,128
89,1,normal,300000,6,128
90,1,critical,300000,15,128
91,1,normal,300000,6,128
92,1,normal,300000,2,128
93,1,normal,300000,1,128
94,1,normal,300000,4,128
95,1,high,300000,10,128
96,1,normal,300000,4,128
97,1,normal,300000,7,128
98,1,normal,300000,8,128
99,1,high,300000,10,128
100,1,critical,300000,20,128
101,1,normal,300000,5,128
102,1,high,300000,4,128
103,1,high,300000,14,128
104,1,high,300000,11,128
105,1,normal,300000,1,128
106,1,normal,300000,4,128
107,1,normal,300000,4,128
108,1,normal,300000,2,128
109,1,normal,300000,2,128
110,1,normal,300000,7,128
111,1,normal,300000,0,128
112,1,critical,300000,11,128
113,1,high,300000,4,128
114,1,normal,300000,5,128
115,1,normal,300000,7,128
116,1,normal,300000,7,128
117,1,high,300000,11,128
118,1,high,300000,6,128
119,1,normal,300000,3,128
120,1,high,300000,6,128
121,1,normal,300000,6,128
122,1,normal,300000,7,128
123,1,normal,300000,5,128
124,1,high,300000,4,128
125,1,normal,300000,1,128
126,1,normal,300000,3,128
127,1,normal,300000,5,128
128,1,normal,300000,4,128
129,1,normal,300000,8,128
130,1,normal,300000,3,128
131,1,high,300000,14,128
132,1,normal,300000,5,128
133,1,normal,300000,8,128
134,1,normal,300000,1,128
135,1,normal,300000,7,128
136,1,normal,300000,8,128
137,1,normal,300000,4,128
138,1,normal,300000,8,128
139,1,high,300000,5,128
140,1,high,300000,5,128
141,1,normal,300000,3,128
142,1,normal,300000,3,128
143,1,high,300000,13,128
144,1,high,300000,13,128
145,1,normal,300000,7,128
146,1,normal,300000,2,128
147,1,normal,300000,3,128
148,1,normal,300000,4,128
149,1,high,300000,7,128
150,1,normal,300000,3,128
151,1,normal,300000,6,128
152,1,normal,300000,6,128
153,1,normal,300000,7,128
154,1,normal,300000,5,128
155,1,high,300000,14,128
156,1,normal,300000,4,128
157,1,high,300000,9,128
158,1,normal,300000,6,128
159,1,critical,300000,11,128
160,1,critical,300000,15,128
161,2,normal,300000,7,128
162,2,critical,300000,21,128
163,2,critical,300000,16,128
164,2,critical,300000,8,128
165,2,normal,300000,1,128
166,2,normal,300000,2,128
167,2,normal,300000,6,128
168,2,high,300000,14,128
169,2,high,300000,5,128
170,2,normal,300000,1,128
171,2,high,300000,5,128
172,2,normal,300000,4,128
173,2,high,300000,5,128
174,2,normal,300000,1,128
175,2,high,300000,13,128
176,2,normal,300000,8,128
177,2,normal,300000,4,128
178,2,normal,300000,3,128
179,2,normal,300000,4,128
180,2,normal,300000,2,128
181,2,normal,300000,1,128
182,2,normal,300000,8,128
